{'短评内容': '位置好，服务超好。 物有所值， 下次还来', '短评打分': 5}
{'短评内容': '房间还可以，但是空间很小。到店的时候虽然给我办理入住，但是并没有我的预定。而且房间的位置都不是很好。一个房间有异味，一个房间外边是空调机噪音很大！但是，酒店地理位置确实很好，距离地铁站很近。如果，为了出行方便选择这里是可以的。', '短评打分': 5}
{'短评内容': '订的是标准间，房间太小了。最多就15个平方。两张1.2 x 1.8米的床一放。房间里基本上就转不开身了。酒店外面的装修不错，但是室内的装修普通了。跟如家差不多。马桶很旧。早餐10元一位。但是早餐太简单，水果都没有。主食就只有面包和包子，馒头。比一般的连锁酒店都要不如。这个酒店唯一的优劣，就是离地铁近，平安里站。离酒店走路3分钟。而且这个酒店就在护国寺小吃街里面。小吃很方便。', '短评打分': 1}
{'短评内容': '条件不错，地理位置也挺好的，设施环境也还可以。', '短评打分': 5}
{'短评内容': '前台的工作人员认真负责，服务态度热情周到。', '短评打分': 5}
{'短评内容': '已入住，还不错，真的很迷你的房间。交通方便。', '短评打分': 3}
{'短评内容': '服务还好，就是服务员送水不敲门，刷门卡就进房间，希望改进。', '短评打分': 5}
{'短评内容': '北京护国寺宾馆位于京城古街——西城护国寺街，邻近梅兰芳纪念馆，具有老北京民俗特色。\n', '短评打分': 5}
{'短评内容': '位置不错，离地铁站、恭王府、后海都挺近，就是房子稍小', '短评打分': 5}
{'短评内容': '房间很小，隔音不好。每个房门像个盒子，交通很方便，停车免费。总的来说还算值得。', '短评打分': 5}
{'短评内容': '交通方便，临近四号线地铁，靠近护国寺小吃店，各色小吃尽在品尝，房间有点小。', '短评打分': 5}
{'短评内容': '价格也不是很便宜，关键是房间太小，公共区域也小，就是交通方便', '短评打分': 1}
{'短评内容': '位置很好，出行吃饭方便，就是房间小点！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间虽小，但是服务较规范，而且位置特别好，出行餐饮均极方便.推荐!', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好\n就是房间小点', '短评打分': 5}
{'短评内容': '位置很好，酒店环境也不错，新装修的。感觉性价比挺高。', '短评打分': 5}
{'短评内容': '总体感觉不错，安静、交通方便。唯一的不足是隔音效果不好。', '短评打分': 5}
{'短评内容': '酒店离地铁站很近，大约5分钟。酒店干净。交通很方便。好评。', '短评打分': 5}
{'短评内容': '位置非常好，紧邻地铁站，但酒店很老了，房间不大，装修过，挺古色古香的。', '短评打分': 5}
{'短评内容': '这已经是我第二次住在这里了。宾馆很有中国风，楼下是小吃一条街，出门左转就是地铁口，去哪里都很方便，价格也还合理，并且也推荐一楼的餐厅，菜很有味道。总之就是满意。只有一点就是标间A的空间比较小，如果喜欢住大空间的客房的话可以选择标间B。', '短评打分': 5}
{'短评内容': '刚刚重新装修，位置很好！性价比蛮不错！但喜欢大房间的别来，房间很小，只是适合当做歇脚的地方！', '短评打分': 5}
{'短评内容': '护国寺宾馆给我留下了极其好的回味。方便舒适，虽然房间有点小，但干净、整洁。有安全感，不影响休息。更重要的是离恭王府很近，到了恭王府，再到故宫非常方便。那一条街道，小吃及其丰富，南北风味俱全。', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '距离地铁四号线平安里站走路只需1分钟，护国寺街的小吃也很有老北京特色。品尝了老北京爆肚、王胖子驴肉火烧等等。', '短评打分': 5}
{'短评内容': '+酒店位置很好,出门就是餐饮一条街,离地铁四号线也就两分钟,只是房间太小了点儿,床也太小.', '短评打分': 5}
{'短评内容': '位置好，走2分钟即到4号线平安里地铁站，出行很方便；整体很安静，但房间隔音效果不好，隔壁的什么声音都听的一清二楚；附近很多小吃，护国寺小吃很有名，但没有想象中好吃。', '短评打分': 5}
{'短评内容': '出门一分钟就到平安里地铁口了，而且周围也很安静，但是房间和床实在是小，浴室也太小了放洗面奶的洗手台位置都几乎没有，比较干净舒适的。隔音不好。但这个价位这个位置也差不多了', '短评打分': 5}
{'短评内容': '+还行', '短评打分': 5}
{'短评内容': '位置很好，出行方便）', '短评打分': 5}
{'短评内容': '很不错的小酒店，装修风格很好，干净卫生，环境不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '+房间太小', '短评打分': 5}
{'短评内容': '位置很方便。卫生也可以。就是稍微有点装修的味道。', '短评打分': 3}
{'短评内容': '位置很方便。卫生也可以。就是有点装修的味道。', '短评打分': 5}
{'短评内容': '我于9月22日入住的210，为什么不提供洗澡穿的拖鞋呢', '短评打分': 3}
{'短评内容': '＋洗澡没有拖鞋，晕，光脚洗的', '短评打分': 5}
{'短评内容': '位    置: 好!  \r\n房间小，设施一般。', '短评打分': 5}
{'短评内容': '卫生间很小，淋浴没有隔断，甚至没有浴帘。洗澡后整个卫生间“湿天湿地”，用厕、洗漱都成困难，甚为不便。', '短评打分': 1}
{'短评内容': '缺点:1、房间实在太小，我还定的是B标准间，床宽1米，太窄，两张床相距很近，其中一张离窗户的距离顶多30公分。在房间内转个身感觉都有点困难。2、窗户没窗纱，开后蚊子会进开，不开透气性差。3、在修路，很难走，这非酒店原因，估计过几天会好些。\r\n优点：1、交通很方便，走路三五分钟可以到地铁口。2、附近吃饭方便，小吃不少。', '短评打分': 1}
{'短评内容': ',装修不喜欢…还不如原先风格…', '短评打分': 5}
{'短评内容': '+服务什么的都还不错，只不过门前修路没法停车，以后应该会好点', '短评打分': 5}
{'短评内容': '在北京我认为护国寺宾馆是百姓入住最为方便，经济，实惠，安全的宾馆。在二环内和平里，离4号地铁只有50米的距离。与1号、2号地铁交换极其方便。到飞机场只有46分钟！而且小吃、川味、湘味等在护国寺大街极其丰富。到恭王府步行只有20分钟！到故宫后门也极其方便。', '短评打分': 5}
{'短评内容': '交通很方便，离地铁四号线仅20-30米。卫生不错，设备也比较齐全，就是房间小点，不过算是物有所值了！网上评论的护国寺小吃街，没有找到，只找到几个饭店，和想象中的差距比较大，可能是正在改造的原因！下次再去的时候还是会选择的！', '短评打分': 5}
{'短评内容': '房间、床都太小，服务态度较差，还不如快捷酒店。', '短评打分': 1}
{'短评内容': '该宾馆服务还可以，只是洗澡没浴帽，这点希望酒店能改进一下，要不洗澡不是很方便。房间有几种房型，丰俭由人。如果是三口之家，不建议选择标A房，因为床太小，睡两个人有点挤。前台服务还可以，一般提出的问题只要是他们的服务范围，都能很快解决。酒店位置超佳，闹中带静。出酒店左手边走大约五分钟，有家护国寺小吃，要是对北京地道小吃有兴趣的，那里是最佳选择。再走大约十几二十分钟，就是著名的恭王府，连打车都省了。出酒', '短评打分': 5}
{'短评内容': '来北京旅行不错的选择,古色古香,交通便利,推荐!', '短评打分': 5}
{'短评内容': '从酒店到圆明园和颐和园，北京大学，非常方便，地铁4线直接抵达。门口小吃店和饭店都很实惠，老板也都很实在，四川人开的饭店不少。适合来北京旅游的客人。房子的确小，来回走动很不方便。如果胖一点的客人建议事先看看房子再住。酒店服务很好。客房服务很贴心，赞一个！总台也挺好，热情，效率高，以后来玩还会住.\r\n木头与石头', '短评打分': 5}
{'短评内容': '感觉地理位置很好，离后海很近，出门就是四号线地铁口，感觉算是比较经济的酒店吧', '短评打分': 5}
{'短评内容': '酒店交通便利，临近地铁四号线平安里站，出地铁口拐个弯就是，门口还有很多公交，对自助游游客来说非常方便。酒店装修有点特色，但是房间太小，卫生间浴帘都没有。', '短评打分': 5}
{'短评内容': '酒店标准间是--麻雀虽小，五脏俱全，什么都有。刚入住，感觉还可以。周围环境特好，地铁就几步远。小吃和普通饭菜的饭店很多(相国寺小吃店品种很多，价格合理。目前就发现总机有点问题，接电话和打出去电话不那么快.', '短评打分': 5}
{'短评内容': '+房间多通风', '短评打分': 5}
{'短评内容': '比较老的宾馆了,虽然翻修过,但房间比较小,比较粗糙.', '短评打分': 1}
{'短评内容': '真的挺不错&#183;&#183;房间小，但听温馨！\r\n下次再去北京，我会优先考虑这家的。\r\n呵呵&#183;&#183;', '短评打分': 5}
{'短评内容': '环境不错，新装修的风格很喜欢。交通真是太方便了，卫生也不错。', '短评打分': 3}
{'短评内容': '明明是提高前很久订的B标间，但17号那天却安排我在一楼。要不是到朋友房间去串门我还不知原来同样的B标间我的差别人那么多= =', '短评打分': 1}
{'短评内容': '房间小，但是干净。交通十分方便，', '短评打分': 5}
{'短评内容': '酒店位置很好，交通很方便，卫生条件很好，住的很舒适，餐厅的厨师手艺很高，菜很好吃。', '短评打分': 5}
{'短评内容': '离地铁站很近，大约3分钟就到平安里地铁站。卫生状况好，值得推荐。', '短评打分': 5}
{'短评内容': '很有北京特色的一家宾馆，房间、走廊以及房门的布置设计都带有老北京风味。值得一提的是，这里离北京最著名的护国寺小吃店仅有几步之遥。还有宾馆的位置非常好，紧邻地铁四号线，距离胡同集中区、什刹海、恭王府、北海这些北京经典景点都非常近。总之，这个地方值得推荐，我已经带亲友住过好几次了。不过，也要指出，它的房间空间实在是太小了，A型房简直就像火车软卧，B型也大不到哪里去，对空间要求高的朋友就要受委屈了。', '短评打分': 5}
{'短评内容': '位置很好，地铁站口，服务周到。不足之处，房间小。', '短评打分': 5}
{'短评内容': '前台服务人员的态度很差。误会我们没交回房卡，其实是他们根本就没理会客人，我们把房卡放在台上，也告知了，但没理人。当时也没有其他客人能令他们忙碌，怎么会这么没礼貌。', '短评打分': 1}
{'短评内容': '房间空气很不好,潮湿味重.', '短评打分': 1}
{'短评内容': '1，服务不专业，虽说是网上订的房，去了安排在341房，角落尽头的房间，而且房间味很重，油漆味吧，要求换个房间，答复没房。\r\n2，在酒店借把伞，质量很差，出了点小问题，酒店要求陪100元，那破伞外面30元买的都比它好的多，提出陪他们把新伞或者陪点伞的修理费，协商不通，态度很横。\r\n3，以上2点，导致我提前1天就退房了，本来还打算继续住4-5天，感觉他们酒店对客户很无所谓。', '短评打分': 1}
{'短评内容': '刚装修过，环境很有调调，就是空间感不足，不过房间配置很贴心。交通优势也是不得不说的优点。住的很开心', '短评打分': 5}
{'短评内容': '护国寺宾馆位置很方便，服务态度也很好，设施较齐全，就是房间面积太小了点。', '短评打分': 5}
{'短评内容': '房间非常小,我住的那间有好像锅炉或排风管一类的声音.宾馆周围都在修,很脏.出宾馆左转有家&quot;护国寺小吃&quot;店,很不错.就在4号线平安里站出来3,4分钟,附近也有到颐和园,圆明园,前门的公交,交通实在是很方便.', '短评打分': 5}
{'短评内容': '房间别致，配置丰富，唯一不足，房间面积较小。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，旁边就是地铁站，交通很方便，虽然入住时，有点小麻烦，（由于误了火车，跟酒店方电话联系好，延长入住时间，但店方未做变更记录，导致预定房间出售给了别人）但店方还是很积极的给我们安排了别的房间，（虽然比我们预定的小，网络也不能用，）但第二天给我们调了房，总的来说，各方面的服务还是比较不错的', '短评打分': 5}
{'短评内容': '感觉不错，交通便利，离后海、恭王府等特近', '短评打分': 3}
{'短评内容': '第一次住，感觉挺好，主要是交通太便利了，服务也很好，适合到北京旅游的人居住', '短评打分': 3}
{'短评内容': '酒店位置很好，交通很便利，古典的装修风格很有特色，就是房间有点小，总体上比很多知名连锁酒店好多了', '短评打分': 5}
{'短评内容': '优点：位置较好，交通便利。最大的缺点旁边酒店施工噪音太大，而且是早上7点不到就开始了，非常影响休息。', '短评打分': 1}
{'短评内容': '优点：位置较好，交通便利。缺点：房间太小，性价比不高，令人很愤怒的是在房间消费的的28元洗漱套装，竟然不能结到房费内，结账时前台解释说是代卖品。让人很不理解的是，既然是代卖为什么不明示，而且结账时还没有发票，如果需要只能邮寄。本人可能是乡村辟野之人，出门大多住小城市酒店，算起来住过的酒店已有上百家，同样牌子的洗漱套装俺偶尔也消费过。到了京城才算学到了什么是国际惯例，现在才明白自己按照京城人的称呼你', '短评打分': 1}
{'短评内容': '地点不错,走两步路就到地铁站,总的来说地理位置在三环内,打车基本40块能到你基本想去的地方,鼓楼,后海,西单都是不错的,酒店的房间有点小,不过有窗口,能看到阳光,下次来北京还是会优先考虑这', '短评打分': 5}
{'短评内容': '第二次入住了！', '短评打分': 5}
{'短评内容': '总的看还是不错的。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 1}
{'短评内容': '位置相当好，吃的很多都是北京的老字号，桂香村、护国寺小吃店、新川面馆。简直太喜欢了！去北海也相当方便。总之非常满意', '短评打分': 5}
{'短评内容': '房屋不大，但是很温馨，胡同内的宾馆，设计风格老北京，周边小吃非常多。交通便利，有机会下次入主', '短评打分': 5}
{'短评内容': '住在这里就是非常方便，购物或者逛胡同吃小吃都不错，离着后海北海也很近，基本可以步行！\r\n装修前曾经住过，这次再住确实比以前干净多了！\r\n我喜欢周边的小吃', '短评打分': 5}
{'短评内容': '房间太小！！！！', '短评打分': 5}
{'短评内容': '交通方便，不论公交车、出租车、地铁均在100米内。除了房间面积小无其他问题。性价比高', '短评打分': 5}
{'短评内容': '地理位置和服务态度都不错，就是房间好像有股刚装修过的味道。还有就是早餐种类再丰富点就更好了，品种太少了。', '短评打分': 5}
{'短评内容': '交通方便，价格适中，服务满意，若价格能再优惠，则信价比更高，早餐有待改进。', '短评打分': 5}
{'短评内容': '房间整体比较小，隔音设施不是很好，楼下的KTV大半夜都能听见哀号~我是实在受不大了~', '短评打分': 1}
{'短评内容': '离地铁真是超近！推荐一下，房间中式老北京调子，挺不错的，价格在低些会更好，门外小吃店挺多，都是老字号的老北京小吃！', '短评打分': 3}
{'短评内容': '都算可以了，下次我应该还会订这里的', '短评打分': 5}
{'短评内容': '补充：热水有点问题，放了半个多小时水还不热，都不忍心继续放了。', '短评打分': 3}
{'短评内容': '很不错的一家宾馆', '短评打分': 5}
{'短评内容': '我觉得交通挺方便的，就是房间有点小，房间环境还可以', '短评打分': 3}
{'短评内容': '虽然房间有点偏小，但设施还不错，比较温馨，关键是交通很便利，就在地铁旁边，偷闲还可以去和大人家利去逛逛，哈哈！', '短评打分': 5}
{'短评内容': '酒店是不错的，很有特色，不过前台有点冷漠，洗澡水需要调整一下，总是忽冷忽热。房间也比较小，但是住着没什么影响。总的来说值得推荐。', '短评打分': 5}
{'短评内容': '在护国寺附近，位置还不错，出行还是很方便的，房间的卫生和设施还好，服务也可以，整体感觉这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '房间房间非常小很压抑，早餐不是很好，不过要是去积水潭医院很方便', '短评打分': 5}
{'短评内容': '位置极佳，房间极小，其余一般。', '短评打分': 5}
{'短评内容': '装修和设施都挺好的,但是房间是小了一些空间不是很大,地理位置还是挺不错的交通很方便,服务态度还行,性价比还不错,感觉还是挺好的一家酒店.下次也是值得在选择的.', '短评打分': 3}
{'短评内容': '交通便捷', '短评打分': 3}
{'短评内容': '地铁站前，交通便捷，新价比高！', '短评打分': 5}
{'短评内容': '除了房间小点没任何毛病，5.1才装修完重新营业', '短评打分': 5}
{'短评内容': '酒店整体都还是不错的，就是缺乏一些员工专业的培训，房间隔音也不错，最关键是地铁四号线平安里就步行50米即到！太方便了！下次还会来！', '短评打分': 5}
{'短评内容': '酒店还是比较经济实惠了,位置也不错,蛮方便的,也靠近市中心,挺满意的,可以推荐.', '短评打分': 3}
{'短评内容': '位置很好，这边交通很方便，房间的卫生和设施也都还不错，服务也还算周到热情我觉得这是一家性价比较高的酒店，整体感觉还是值得推荐的。', '短评打分': 3}
{'短评内容': '立足优越位置，加强服务功能。', '短评打分': 5}
{'短评内容': '酒店很一般了,我觉得还不如如家形式的好呢.', '短评打分': 3}
{'短评内容': '位置比较好，出行方便，地铁四号线平安里站就近在咫尺，吃饭的也方便。我感觉不足的地方就是，房间比较小，价格比较高，电梯反应迟钝。', '短评打分': 5}
{'短评内容': '交通及饮食均极为方便，推荐!', '短评打分': 5}
{'短评内容': '酒店位置很好交通方便旁边就是护国寺小吃.设施很齐全,卫生服务非常满意.', '短评打分': 3}
{'短评内容': '比较好，略贵。', '短评打分': 5}
{'短评内容': '该酒店具有历史的感觉，装潢十分古典，设施比较新，唯一的缺点是房间太小。', '短评打分': 5}
{'短评内容': '我住的是195的A型标间,房间出奇的小,灯光有点暗,想想这个价格还是得忍了,宾馆在一个胡同的里面,旁边有很多小吃,还有很多发廊.位置不错,去西单打车刚好起步价.不过建议住的客人选择230的B型标间,房间大,宽带还免费.', '短评打分': 3}
{'短评内容': '中男。国', '短评打分': 3}
{'短评内容': '地理位置尚可，离后海酒吧街不远，卫生条件比较差，服务态度也不是很热情（前台除外），房间比较小，而且有些潮湿，给人比较压抑的感觉，只不过房价比较便宜！', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;首先，早饭不好吃，馒头我是硬吞下去的， 豆浆我是硬灌进去的！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;其次，设施差也就算了，但最不可原谅的是竟让我脚趾甲受伤！绝对不是本人脚趾甲太长的关系！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;但是不可否认的是，价格比较合', '短评打分': 5}
{'短评内容': '十一月初在这里住过6晚,总的感觉还不错。因为离西单很近，有些深藏闹市的僻静感。房间虽然小了点，网友反映的小蟑螂，也如约而至了，但一分钱一分货，架不住房价便宜，总体还满意吧。只是我不好彩，正好赶上装修期间，早上刺耳的声音把闹钟省了。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;挺干净的房间，就是有蟑螂！房间小点儿，一楼餐厅还是挺好吃的！&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '我是11月21日入住的，住的是大床房，除了房间小了点，还有卫生间裹的洗手台是架设在木箱上以外，其他都很好。因为我觉得洗手台是很重的，架在木箱上，很容易发生危险。交通十分便利到西单很近。如果下次去北京，我还会选护国寺宾馆。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我要了张大床住B标~房间比较小,很干净&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;屋里有网口和网线,是免费宽带,速度很快很快,离后海酒吧街不远,步行的话15分钟能到,打车的话大概就一个起步价.&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;说下缺点:没浴缸,这个问题', '短评打分': 5}
{'短评内容': '每次都和女友去这里,经济实惠,交通很方便.大床很舒服,它里面有的带躺椅,好象还是宜家风格,不错!', '短评打分': 5}
{'短评内容': '大床间可以和女友一起住吗？大床间有24小时热水吗？谢谢。请速回邮件至sinwang@vip.sina.com', '短评打分': 3}
{'短评内容': '总体感觉不错，位置可以，设施稍微旧了一些，觉得A标准间也太小了一点，房间里面转身都困难，只能在床上躺着了。暖气足，不错。门上还有内锁，睡觉放心。', '短评打分': 5}
{'短评内容': '比起西桥宾馆要好多了，至少没有按摩电话和持续到晚上1点钟的舞厅音乐，不过周遍环境确实不好。', '短评打分': 3}
