{'descr': '太棒辣，房间又大又干净，性价比太高！', 'star': 5}
{'descr': '1、位置离机场近，适合较早的航班，但位置不好找，走到很近了都没有路标指示。\r\n2、外线打总台常常没人接，最后114告知经理手机才打通。\r\n3、房间设施简陋，象招待所，不如莫泰268、7天这样的经济型酒店（420元订的三人间给的四人间，不知同等价格三人间是否条件好些？）\r\n4、送机发车时间不准时（迟发5分钟），到T3实际车程要15分钟（不象介绍的5分钟）。\r\n5、价格并不便宜，我住7天的朝阳门店也才', 'star': 1}
{'descr': '很好的公寓式酒店，四人间是套房式的，两人一间床很舒适，房间也很干净。只是卫生间有点简易，电热水器的热水量不够四人用。网上订房比实际房价便宜很多。酒店位置有点偏僻，交通有些不便。', 'star': 3}
{'descr': '很好的公寓式酒店，床很舒适，房间也很干净。网上订房比实际房价便宜很多。酒店位置有点偏僻，交通有些不便。', 'star': 3}
{'descr': '很好的公寓式酒店，四人间是套房式的，两人一间床很舒适，房间也很干净。只是卫生间有点简易，电热水器的热水量不够四人用。网上订房比实际房价便宜很多。酒店位置有点偏僻，交通有些不便。', 'star': 5}
{'descr': '酒店位置在小区内，有些不好找，不过免费的机场接送服务很是有用啊。', 'star': 5}
{'descr': '什么破酒店，卫生差，床小，房间破，不会在去', 'star': 3}
{'descr': '什么破酒店，卫生差，床小，房间破，在也不会去，', 'star': 1}
{'descr': '值得入住', 'star': 5}
{'descr': '离机场很近，接送服务也不错，关键是价钱比较合理', 'star': 5}
{'descr': '就是出差或旅游在机场换机方便，位置不明显，不太好找，有免费送机服务，房间超小，应该是单身公寓楼类型的，其他的设施也很一般，性价比不高。', 'star': 1}
{'descr': '不错的一家', 'star': 5}
{'descr': '一般，酒店早餐比较垃圾点其他都还可以', 'star': 5}
{'descr': '位置还不错，价格不高，', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '离机场近，位置方便，外观可以，服务也不错，但设施相对陈旧，地毯感觉比较脏，但总的说来，性价比还是不错！', 'star': 5}
{'descr': '同事5人入住，102~109房，第二天都说一晚没睡着，隔音太差。\r\n由于是机场附近的，很多客人来的更晚（12点后），有几个房间是彻底没法睡，除非你对噪音极不敏感\r\n房间很小，价格暴贵（298这价），也就是北京了。居然发现是四星级的，不知道是不是自己印得。反正下次肯定不会再来。', 'star': 1}
{'descr': '非常好的酒店，性价比很高', 'star': 5}
{'descr': '如果在北京转机去其他地方，这家酒店是比较好的选择。下次转机还住。', 'star': 5}
{'descr': '帮朋友订了个特价房  价格在同等酒店里算很便宜的了 整体服务挺好 但是之前说好的接机没有及时来人 电话过后才有人来的 希望能改进一下 时刻关注航班的实际到港时间', 'star': 5}
{'descr': '床太小，不舒服。', 'star': 1}
{'descr': '总体来说不错，地理位置稍差。', 'star': 3}
{'descr': '卫生不错很干净,设施完善,地理位置交通也蛮方便的,服务热情周到,性价比不错的酒店,值得推荐', 'star': 3}
{'descr': '总体来说还行，价格还好！地理位置稍差。', 'star': 5}
{'descr': '地理位置偏，房间里的设施布局也不好，卫生还可以，服务也不错，性价比一般，价位高', 'star': 3}
{'descr': '酒店不错 床上用品比较粗糙~关节处住后难受', 'star': 3}
{'descr': '宾馆隔音稍微差了点~~', 'star': 5}
{'descr': '转机者还可以考虑入住，接机和送机服务很不错。房间太小，性价比一般。卫生间比较小，热水淋浴感觉很好。', 'star': 1}
{'descr': '不错 就是位置稍微偏僻了点！其他都还好 房间挺别致的 不错', 'star': 3}
{'descr': '入住的是B户型，通风不是很好！但是离机场很近，接机服务比较好！', 'star': 5}
{'descr': '性价比可以，在机场附近，转机方便', 'star': 3}
{'descr': '接送机服务还比较令人满意，以后有机会还会入住。', 'star': 5}
{'descr': '酒店不错 就是位置稍微偏了一点 上网是无线的 有点麻烦', 'star': 5}
{'descr': '太乱，而且整个楼里有一股臭味，所谓的数码房的电脑根本无法使用，我急的发邮件根本无法操作，挂三星级就得有三星级的标准。', 'star': 1}
{'descr': '酒店还是挺靠近机场的,而且内部环境也还算比较理想,蛮干净舒适的,而且价格也蛮便宜的.', 'star': 3}
{'descr': '离机场很近,而且免费松到机场,很方便,房间里面各方面条件也不错,早餐吃的也挺好,价格合适,下次去北京还住这家.', 'star': 3}
{'descr': '三星级的酒店吧，比想象中要好很多，下次还回来住！', 'star': 5}
{'descr': '对于转机的朋友来说，这的确是一家性家比很高的酒店。离机场很近，而且有专车接送。我们是早上6点去机场，竟然坐满了两辆大巴车，足以说明人气很旺。房间的设施和卫生条件，完全对得起这个价格和地理位置，要知道这可是在北京，虽然旧了一点，但也还干净，推荐。', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', 'star': 3}
{'descr': '酒店还是不错的,干净舒适,价格也很适中,酒店还提供班车；总体感觉性价比还是较高的,下次有机会过去,还会选择这家酒店；', 'star': 5}
{'descr': '酒店就是位置比较不错，离机场和展会的场馆近，所以我们当时选的这里，觉得挂星的酒店，应该不错的，但是我们所有同事到了酒店以后，真的没有想到，哪么差，我觉得这样的酒店如果在东莞的话，也就100一天晚上，而且我们住的时候人比较多，所以房间打扫的也不及时，内部的设施也不行，太差了', 'star': 1}
{'descr': '房间稍微小了，但服务环境都很好，不过酒店的地理位置挺差的，不是很好找，其他方便还可以', 'star': 5}
{'descr': '对酒店还是挺满意的，服务人员的态度很热情，而且酒店去机场也很方便，价格也比较合理', 'star': 3}
{'descr': '接送服务很好，对转机的人比较好。', 'star': 5}
{'descr': '酒店离机场比较近，但周边没有什么餐饮设施，吃饭不是很方便，房间蛮干净的，价格也比较合理，还是挺不错的一家', 'star': 5}
{'descr': '房间设施简陋了点，也有点小，不过酒店有班车去机场，还是比较方便的', 'star': 5}
{'descr': '酒店服务挺好，离机场挺近，这附近酒店也挺多的，我觉得同等价位来说，他们的硬件比较旧了，我下次会选个比较新的。', 'star': 1}
{'descr': '卫生环境不错,服务也很好,送机时车很少,人坐不下,价格有点高', 'star': 5}
{'descr': '酒店的隔音不好，很吵，连隔壁说话都能听见，服务比较一般主要就是位置好，挨着机场，赶飞机比较方便，价格也适中。', 'star': 5}
{'descr': '靠近机场乘飞机挺方便的,而且他们餐厅的饭菜比较不错,挺合我口味的.值得推荐', 'star': 5}
{'descr': '靠近机场乘飞机挺方便的,而且他们餐厅的饭菜比较不错,挺合我口味的.值得推荐', 'star': 5}
{'descr': '我们在这就住了一个晚上，因为转机在这里很方便，价格也比较合适，感觉上他的硬件和服务还算可以，毕竟就一个晚上。', 'star': 5}
{'descr': '酒店是在机场附近一小区里面，有专车接送机场，还算比较方便。但是服务质量很差！我开间电脑房，结果一晚换了3台主机。所幸的是酒店的餐饮实在是太让我满意了，菜肴口味很正，价格也不贵！服务也相当棒！而且是正宗赣菜', 'star': 5}
{'descr': '服务卫生方面还是可以的,价格也挺合适的,位置有点偏了,但离机场挺近的.', 'star': 5}
{'descr': '服务卫生方面还是可以的,价格也挺合适的,位置有点偏了,但离机场挺近的.', 'star': 5}
{'descr': '酒店位置比较偏,距离机场比较近.因为当时需要转机所以选择这家酒店,环境设施都还不错.价格也很优惠.', 'star': 5}
{'descr': '酒店提供接送机,非常适合转机时住.\n但离市区较远,若是旅行参观会很不方便.', 'star': 5}
{'descr': '离机场很近，环境不太好，服务态度也一般', 'star': 5}
{'descr': '位置很方便，设施和服务也很好', 'star': 5}
{'descr': '性价比合理，非常干净', 'star': 5}
