{'短评内容': '非常好，以后还会来', '短评打分': 5}
{'短评内容': '交通还算便利，算是福田区的中心位置，附近就是家乐福，JUSCO,大家乐。离皇岗口岸也比较近。就是房间有点小，房间的隔音差点，而且与周围楼间距挺近。其他的方面都还好。', '短评打分': 5}
{'短评内容': '过得去', '短评打分': 5}
{'短评内容': '不错~', '短评打分': 3}
{'短评内容': '不错，就是位置有点不大好找~', '短评打分': 5}
{'短评内容': '位置还不错，周围吃饭的地方也挺多，就是房间有点小，特价房嘛， 还能接受。', '短评打分': 5}
{'短评内容': '环境还好，服务也不错，就是位置比较难找', '短评打分': 5}
{'短评内容': '边上有个家乐福，而且比汉庭还便宜 ，洗浴在房间正中间的一个透明圆圈里有点意思', '短评打分': 5}
{'短评内容': '房间比较小，性价比还可以，属于经济适用型。', '短评打分': 5}
{'短评内容': '卫生间比较小，淋浴间和洗手盆位置不合理，房间感觉很窄', '短评打分': 5}
{'短评内容': '住得很舒服，虽然空间不大，但是布局显得很精致，尤其是房间偏中央的冲凉房是圆形透明的，非常有特点。\r\n\r\n位置不算偏，在福强路和新洲路交叉口世纪工艺处，但也不是非常容易找。问了几个人才知道。\r\n\r\n服务还不错，一切都很干净。总体来说，性价比还不错。\r\n', '短评打分': 3}
{'短评内容': '沐浴室很有特色，圆形透明的，房间舒适度也还不错，位置一般般，不过周边环境也还不错。寻找酒店途中，问了周边的人，有个来了2年多的保安表示该处绝对没有这个酒店，问了几个人才找到地方。', '短评打分': 5}
{'短评内容': '性价比不错，到福田工业园和华强北都挺方便。', '短评打分': 5}
{'短评内容': 'except the inconvenient location in terms of commuting, everything else is satisfactory. ', '短评打分': 3}
{'短评内容': '房间很干净，很个性，住着不错，位置有点偏，还好出租车司机能找到', '短评打分': 5}
{'短评内容': '交通不是很方便，其他的都还不错', '短评打分': 5}
{'短评内容': '就是非常难找，环境一般\r\n服务态度挺好', '短评打分': 5}
{'短评内容': '非常不错，下次还会选择', '短评打分': 5}
{'短评内容': '还不错，就是很难找', '短评打分': 5}
{'短评内容': '走了好久才找到的一家酒店，刚去的时候，床单都没有换新的，有异味，服务员说是换了，但是明显没有换,要求换了一条没有味道的新的床单..房间有异味。不是很喜欢', '短评打分': 1}
{'短评内容': '卫生间的设置不太好，是磨砂玻璃就好些。\r\n', '短评打分': 5}
{'短评内容': '酒店很安静，玻璃圆柱形的冲凉房很有个性', '短评打分': 5}
{'短评内容': '干净卫生，这个价位和所在的位置很合适，只是卫生间总是有滴答滴答的水声好像是上面再洗澡流下的水声很吵', '短评打分': 5}
{'短评内容': '还好，很方便，就是不在临街。', '短评打分': 5}
{'短评内容': '酒店的位置还可以，内部条件在经济型酒店里来说算是不错的了，环境也挺好的，价格适中。', '短评打分': 3}
{'短评内容': '离地铁还有一段距离，公交车倒比较方便。酒店周围的餐馆有几家不错的，装修挺讲究，适合商务宴请。', '短评打分': 5}
{'短评内容': '性价比还可以了,住起来感觉还可以的,值得推荐', '短评打分': 3}
{'短评内容': '挺不错的，圆形的浴室很酷', '短评打分': 5}
{'短评内容': '房间虽小，但是内部设计还是比较合理的，卫生也蛮不错的，但是就是设施上稍微欠缺了些，我住的那间的圆形浴室的地板已经裂了，还好有防滑垫，可以挡一下，要不很容易就会划伤脚的！还有我住的那间的网线有问题！不过我也不是非要用到，所以也就没有一直要服务员来查找问题，不过可以肯定的是，总体的服务还是不错的，因为在办理入住的时候把身份证落在了总台，还好总台的服务员帮忙保管了，才不至于丢失！呵呵，虽然有些些小问题，', '短评打分': 5}
{'短评内容': '我竟然在房间里发现蟑螂，只是给我换了房间没其他说法', '短评打分': 1}
{'短评内容': '卫生服务方面做的都非常好,住着会那舒适,就是酒店饮食上不太和我的口味,而且酒店是在个胡同里,不是很方便,不过离我办事的地方还比较近.', '短评打分': 3}
{'短评内容': '装修很别致', '短评打分': 5}
{'短评内容': '酒店服务.设施都算不错.酒店有一边面向工厂宿舍可能不太方便开窗通风.其它各方面都比较符合我的要求,酒店位置不错', '短评打分': 3}
{'短评内容': '价格适中，周围有很多小吃', '短评打分': 3}
{'短评内容': '比较方便，价位适中', '短评打分': 5}
{'短评内容': '来深圳一直住这里，傍边的小巷子小吃很多。', '短评打分': 3}
{'短评内容': '地理位置不是很好，但比较安静。相对来说还是不错的。', '短评打分': 5}
{'短评内容': '還不錯。', '短评打分': 5}
{'短评内容': '酒店条件很差，位置虽然不错，价格也还可以，但是酒店里的东西都太久了，服务和卫生条件也不行。', '短评打分': 1}
{'短评内容': '酒店环境还可以,就是位置有些偏,性价比也不高.', '短评打分': 1}
{'短评内容': '价格觉得有点高了，环境感觉不太好，房间里的设施条件有点简陋', '短评打分': 1}
{'短评内容': '就是房间相对比较小了点，不过服务还是不错的，位置稍微有点偏，不怎么容易找，价格也挺便宜的。', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的.价格也挺适合的.就是位置有点儿偏了不太好找.', '短评打分': 5}
{'短评内容': '很偏的一个位置，不好找。房间里弄了个透明的淋浴房，圆的，用起来不是很方便。内部装修一般，比社会上小旅馆强一点。不推荐去住。窗外十几米就是一个很大的宿舍楼，有瞭望爱好的朋友说不定可以发现点什么。。', '短评打分': 1}
{'短评内容': '酒店在市场里面，要是打车要出来走一段才有车，不是很方便，其他的环境，设施服务都挺不错的。', '短评打分': 5}
{'短评内容': '屋子内部整体感觉很舒适,布局很合理.送餐服务也很快.', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，干净卫生，服务也不错，就是位置有点偏', '短评打分': 5}
{'短评内容': '现在酒店正在翻新，所以环境差点，不过还是很喜欢如家的风格，舒服，相信翻新后还是不错的。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '性价比还是蛮好', '短评打分': 5}
