{'短评内容': '服务态度很好，订酒店方便。', '短评打分': 5}
{'短评内容': '非常好的酒店，值得推荐。\r\n非常好的餐厅，虽然是低价房，还送水果。非常好的装修，很现代时尚。\r\n如果地理位置适合出差需要，非常值得推荐的住宿酒店。\r\n除地理位置，一切都非常好。如果网速快点就更好了。', '短评打分': 5}
{'短评内容': '我住的所谓的海景单人房，只是从房间里远远的能看到海边的几个吊架。有点上当的感觉。不过其他设施方面还是可以的。', '短评打分': 5}
{'短评内容': '性价比一般，21楼供水压力太小，位置较偏。', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '此酒店的下面是办公楼，共用电梯，不是很方便，但上部酒店客房楼层要房卡感应才能上去，所以安全方面没有问题。房间装修风格挺漂亮的，餐厅的早餐不错，服务很好。楼下有一个便利店，挺方便的。', '短评打分': 3}
{'短评内容': '此酒店的下面是办公楼，共用电梯，不是很方便，但上部酒店客房楼层要房卡感应才能上去，所以安全方面没有问题。房间装修风格挺漂亮的，餐厅的早餐不错，服务很好。楼下有一个便利店，挺方便的。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '酒店里的装修风格还不错，服务也不错', '短评打分': 5}
{'短评内容': '整体感觉很差,原本帮朋友预订了住3夜,结果住了一晚,第二天一早就换酒店了,性价比很普通', '短评打分': 1}
{'短评内容': '酒店各方面条件比较均衡，楼下有一家茶餐厅实惠且味道不错，周边有大型购物超市，很方便。服务人员热情，服务周到，很不错。房间内设施感觉很好（海景大床房），床上用品舒适。入夜环境比较安静，适宜休息。总体感觉良好。', '短评打分': 5}
{'短评内容': '下雨的天气,强皮居然掉下来一大块,幸亏我反应快没有砸到,恐怖的经历,注了这么多次酒店第一次遇到这种事!!!!!!', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '本人在该酒店住了3天。总的感觉是服务很好，尤其是行李员，周到又礼貌，给我留下了深刻的印象。但是房间里有很大的烧饭的味道，换了一间房后，稍有改善，但是必须开着窗，但是开窗后又非常吵，噪音很大。 空调制冷效果不好，噪音非常之大，尤其是卫生间里的排风扇，就像火车开动了似的。酒店位置很偏，打的不方便。附近没有像样的商场，水果店也没有。而且周围的卫生环境比较差，旁边有一街头菜市场，每天清晨就看到商贩和顾客在', '短评打分': 3}
{'短评内容': '我们刚刚入住了这家酒店,地理位置在深圳西站的附近,我觉得有点偏,不过楼不错,我们选的是海景房,大堂在16楼,有点怪,不过上去之后,环境蛮好了,很干净的感觉,而且17楼以上要有房卡才能上去,这样感觉比较安全.房间挑高不错,也蛮大,总体说来很舒服的感觉.虽然基本看不到海了.早餐的还可以,价格也不高.&lt;br /&gt;\n不喜欢的就是他们的划卡系统,信用卡要是预授权之后,如果要使用现金支付,要一个月', '短评打分': 3}
{'短评内容': '电梯刷卡比较安全', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
