{'短评内容': '总体感觉很不错，早餐很好', '短评打分': 5}
{'短评内容': '服务亲切，训练有素；实木的家具，功能及性能完善的设备，硬软体非常棒。每天都送两人份水果，四瓶软饮，报纸。同时每天免费洗一件衣物，很贴心。四楼的餐厅的口味也很好。我连住四天，被他们的服务及热忱打动，我的心也被掳获。唯一的缺点是少了南宁应有的绿化。当然，将来再次到南宁时，一定再次光临凤凰。好的酒店，是值得推荐的。', '短评打分': 5}
{'短评内容': '位置比较好，由于机场大巴下来就是这家酒店，然后我们是坐汽车去越南直接也只在这家酒店街对面，对于我们来说，交通很好。\r\n服务也非常好，免费洗了两条牛仔裤，而且本来应该第二天早上才能送来，但是我跟服务员说了第二天我们需要一大早走，她便答应尽量晚上就洗好送给我们。', '短评打分': 5}
{'短评内容': '位置非常好，离机场巴士约150米，离火车站约300米。\r\n有免费的水果。早餐没吃，不做评价。\r\n很中规中矩的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '不错，早餐特好，价格实惠，还有免费水果和饮料', '短评打分': 5}
{'短评内容': '凤凰总体上来说还是不错的,住着很安全,性价比很不错,靠近火车站交通很方便离机场远了一些.', '短评打分': 3}
{'短评内容': '非常超值的一家酒店，地理位置不错，离朝阳广场就10分钟路程。酒店设施蛮新，应有尽有，房内有免费使用的电脑配备，还有饮料，水果送。服务员的服务也很热情，周到。早餐比酒店其他方面稍差，但也还不错。再到南宁一定会再次入住这家酒店，推荐！', '短评打分': 5}
{'短评内容': '环境不错，价格也合适，就服务欠缺，我们是4个人预订了两个房间，当时到前台时他们说我只预订了一个房间，交涉了半天才给安排两个房间', '短评打分': 3}
{'短评内容': '闹中取静的地方，交通方便。', '短评打分': 5}
{'短评内容': '酒店很方便,条件也不错,住着还算舒适吧,而且价格合适.', '短评打分': 3}
{'短评内容': '很不错的酒店，性价比高。就是房源紧张，提前预定也不一定有房。', '短评打分': 5}
{'短评内容': '住的很舒服，下次去还会住', '短评打分': 5}
{'短评内容': '很不错，就是早餐还是要提高。', '短评打分': 5}
{'短评内容': '其它的设施还行，就是中午退房的速度有些慢', '短评打分': 5}
{'短评内容': '常来南宁，前2天住了凤凰，也是在南宁第一次住凤凰酒店。感觉不错，绿色房房间比较舒适，酒店服务也不错。', '短评打分': 5}
{'短评内容': '不错的酒店，方便卫生', '短评打分': 5}
{'短评内容': '不错!干净、舒适、交通方便！', '短评打分': 5}
{'短评内容': '酒店虽然旧了点,但是位置不错,离市区很近,交通很方便,而且价格也蛮便宜', '短评打分': 5}
{'短评内容': '酒店各方面都挺好的,就是早餐品种太少了,不像是四星级酒店的标准,不过酒店不是在市中心的,所以也要看个人需求了', '短评打分': 5}
{'短评内容': '还不错，地段非常好，闹中取静，出入比较方便，每次出差南宁都住那里。', '短评打分': 5}
{'短评内容': '酒店的位置还不错，房间的设施还可以！去机场比较方便，5分钟的路程就可以到机场大巴的停车站！', '短评打分': 5}
{'短评内容': '&lt;font color=&quot;Red&quot;&gt;Sample Text&lt;/font&gt;连续住了4天,酒店装修比较老,但房间内干净.舒服,免费上网且网速很好.地理位置非常好,离火车站.民航站不到一站地,离中山路小吃街有多条公交车,非常方便.每天可免费洗一件衣服,并且第一天晚上还送了一份水果,但遗憾的是后3天就没有了.服务员答曰:连续住没有,每天重新在网上办订房手续可以有', '短评打分': 5}
{'短评内容': '每天可免费洗一件衣服,并且第一天晚上还送了一份水果,但遗憾的是后3天就没有了.服务员答曰:连续住没有,每天重新在网上办订房手续可以有.汗！原来不鼓励长住！鼓励客户给自己找麻烦！', '短评打分': 5}
{'短评内容': '位置靠近中心区，价格便宜量又足，总体来说还算不错，下次来还要住这里', '短评打分': 5}
{'短评内容': '我于4月26日通过E-LONG网入住凤凰宾馆10317房, 虽然只有一晚,但留下极好印象.是这次游玩最满意的酒店.&lt;br /&gt;\n1. 位置好: 5分钟就可以到南宁火车站, 乘火车出行很方便, 紧靠朝阳路, 朝阳路是南宁最主要的商业街, 街上有很多店铺 和商场. 买东西很方便.&lt;br /&gt;\n2. 房间设施齐全: 应有尽有, 保险箱, 免费上网, 免费饮料,(两瓶水,2听软饮)', '短评打分': 5}
{'短评内容': '国庆期间入住该酒店六个晚上，豪华双人房290一晚。房间还可以，冰箱的饮料是免费的，每天可乐和芬达各一听，矿泉水二瓶。每天免费洗二件衬衣或西裤。房间里配有保险柜，浴衣(检查了还是蛮干净的），体称，吹风机，化妆用的正反两面镜。房间蛮大，有一个办公桌，可惜上网要收费。床还是蛮舒服。房间的电视电影点播也是免费的。窗是不能开的。地毯有点污迹。隔音还行。服务也可以，入住和结帐挺快。房间服务蛮客气的，注意到总台', '短评打分': 3}
{'短评内容': '离火车站很近，新装修的设施一般，服务还行,价格要是再低点就好了，要是上网也免费就好', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;290的价格确实不错&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;离火车站很近，新装修的设施也很全，服务也很好，最棒的是房间的小吃和冰箱的饮料都是免费的，还含双早，确实很划算，我住过两次了，不错。要是上网也免费就好了&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '我是自己找的这间饭店，给我留下的只有他们的服务，不错，他们的服务是很好的，令我还有我的BOSS都很满意，下次上司来这里进行商业谈判的话还住这间宾馆。', '短评打分': 3}
