{'短评内容': '干净整洁，服务态度好，经常住', '短评打分': 5}
{'短评内容': '交通便利，逛江滩都很方便，来武昌也就过个桥的事！就是价格贵了点，请客人住还可以，要是自己住就有点奢侈了，呵呵...！', '短评打分': 5}
{'短评内容': '酒店早餐还是可以的，就是房间实在是太小了，感觉不舒服。。。。', '短评打分': 5}
{'短评内容': '酒店地理位置比较方便 就是房间还是老了 要在装修下就好了', '短评打分': 5}
{'短评内容': '还可以，就是贵了点…………………………………………………………………………', '短评打分': 5}
{'短评内容': '在装修,吵死了', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '旁边都是大商场，关门都到晚上九，十点钟， 北方来的朋友， 客人都喜欢住这里。所以我一般都安排他们住这里， 选择豪华房间就不显得那么小。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '距离公司很近，与机场高速和附近商圈融为一体，保证了出差的便利。房间客房服务也很温馨，下次还会再住。', '短评打分': 5}
{'短评内容': '房间太小，好在交通方便！', '短评打分': 3}
{'短评内容': '第一次入住此店，不推荐，设施老，地方吵，价格还不便宜。', '短评打分': 1}
{'短评内容': '。性价比一般。卫生条件好。房間太小,隔音欠佳', '短评打分': 5}
{'短评内容': '相当不错，而且我去的时候没有豪华房了，直接给我免费升级到了行政房。', '短评打分': 5}
{'短评内容': '我在那的709快住了一个星期,什么都还好,就是洗澡的水在洗了一小段时间后,就会变的一会热一会冷的,有点郁闷.看来老了的酒店要多做下保养啊...呵呵\r\n', '短评打分': 5}
{'短评内容': '地理位置好，交通便利,设备陈旧，服务一般', '短评打分': 5}
{'短评内容': '+要了间商务的单人间，床很不错。背街面的，很安静。就是枕头有点薄。', '短评打分': 5}
{'短评内容': '地理位置很好，其他就很一般了，一个人住也无所谓了', '短评打分': 1}
{'短评内容': '酒店地理位置好 环境不错 服务不错 卫生好 推荐', '短评打分': 5}
{'短评内容': '所谓的四星酒店设备陈旧，服务一般', '短评打分': 5}
{'短评内容': '武汉长江大酒店房间条件尚可，酒店地理位置不错。早餐就很一般了。', '短评打分': 5}
{'短评内容': '+4星的长讧酒店面向解放路，出入打的不方便\n酒店设施不到4星标准\n服务一般，可以接受', '短评打分': 5}
{'短评内容': '环境不错  服务挺不错', '短评打分': 5}
{'短评内容': '位置和条件都不错，出行方便，就是外面车水马龙的，太吵了，但房间里还是挺安静。', '短评打分': 5}
{'短评内容': '挂牌4星级，实际上一点服务都没有。我订的行政豪华房，行李架都没有，问服务员说没有叫放地上。房间标注有擦鞋服务，打电话一样说没有。真奇怪4星级是怎么评上的。', '短评打分': 1}
{'短评内容': '房间条件尚可，酒店地理位置不错。早餐就很一般了。', '短评打分': 3}
{'短评内容': '房间还可以，位置不错。早餐很一般', '短评打分': 5}
{'短评内容': '性价比不高，服务态度一般，周围饮食，公交也很方便。。。', '短评打分': 5}
{'短评内容': '位置相当的好，太方便了，交通便利，适合逛商店。', '短评打分': 5}
{'短评内容': '蛮干净的，交通便捷，商圈中购物也方便，以后还会入住。', '短评打分': 5}
{'短评内容': '地理位置方便,设施略老化，但是出行都很方便的。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 5}
{'短评内容': '酒店位置可以，但是设施陈旧，房间面积是我住过的酒店里面最小的（日本、欧洲和香港除外）。', '短评打分': 1}
{'短评内容': '武汉长江大酒店比较旧 破破烂烂的', '短评打分': 1}
{'短评内容': 'nice', '短评打分': 5}
{'短评内容': '设施太老，家具陈旧', '短评打分': 1}
{'短评内容': '整体还不错， 就是设备有点老，马桶附近有点发黑。 房间小小，一个人住也无所谓。', '短评打分': 5}
{'短评内容': '让人无语的一家酒店\r\n1、地处几条马路边，灰尘和噪音24小时不间断（据前台说468的豪华房只有靠马路的）\r\n2、房间很小，卫生间确和房间差不多的面积，面积小你就把卫生间设计小点不行？毕竟旅客的主要活动区域不是卫生间。\r\n3、地毯很脏，很旧，跟十几年没换过的一样。\r\n4、服务太差，服务员爱理不理的，像你欠他钱似的，早上让宾馆帮叫个出租车，门童出去叫了15分钟没叫到，回来很强硬的跟我说现在是高峰期，叫', '短评打分': 1}
{'短评内容': '比较旧 破破烂烂的', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '房间实在太小，而且设备顶多三星级标准，价格却是四星的价格，唯一的优点就是位置好', '短评打分': 1}
{'短评内容': '走廊里总会碰到服务员，她们把门一敲响就会进来。', '短评打分': 1}
{'短评内容': '值得夸奖的：入住结帐快，隔音很好(我住的是靠近马路的房间，没有外面车辆的噪音)，位置好，去什么地方都很方便\r\n值得批评的：设施陈旧，服务一般(实在是不懂，服务员经常在只敲一声门的情况下就开门要进来：刚刚听到敲门声，还没来得及回答，就已经听到服务员用开门的声音了！)', '短评打分': 5}
{'短评内容': '就是房间小点,写字台前的空间小了些.', '短评打分': 5}
{'短评内容': '不好的性价比', '短评打分': 3}
{'短评内容': '这酒店真得有点旧了。准备用房里得吹风机，居然吹风机有问题导致电源短路，还冒了火星，吓到我了。不过在这个价位找4星得，很难得了。不过下次我宁愿多出点钱也换家酒店。。', '短评打分': 1}
{'短评内容': '门市价大床房才380，此价1.2米的小床，有点过份。', '短评打分': 1}
{'短评内容': 'So so hotel at a high price.  ', '短评打分': 1}
{'短评内容': '装饰有点陈旧', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '住的豪华商务房，房间很小，配置非常陈旧，网络非常不好，老是掉线。', '短评打分': 1}
{'短评内容': '位置不错，设施稍老，性价比不高', '短评打分': 5}
{'短评内容': '酒店最大的优点就是位置非常好，就是武广旁边，新世界的对面。硬件条件一般，大床间空间有点小，比一般的标间小一点，不过用品还算不错，中等偏上一点。不好的地方是房间和楼道的隔音不好，可以听见楼道里面人的说话。人员服务也还不错，退房顺利。可以下午2点退房。', '短评打分': 5}
{'短评内容': '酒店很旧，在武汉，是性价比很不合理的酒店', '短评打分': 1}
{'短评内容': '\r\n   早餐和晚餐太差，显然不适合宴请！商务间太小，空间低！', '短评打分': 1}
{'短评内容': '距离我想办公的地方很近，虽然房费还是比预计的高了些，但是好在车费剩下了。值得！', '短评打分': 5}
{'短评内容': '要改进的地方台多，性价比不高！', '短评打分': 1}
{'短评内容': '感觉比较人性化，就是空调制冷效果不太好', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '总体还可以', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '酒店太老，除了地理位置好，其他都很差', '短评打分': 3}
{'短评内容': '总体不错！', '短评打分': 5}
{'短评内容': '酒店管理水平太差，早上六点多钟赶飞机、火车要退房的客人很多，前台却只有一个服务员在那里不紧不慢的办理退房手续，根本不顾大家要赶时间。服务员素质也差，不断的出错误，大家都怨声载道也没人来处理！', '短评打分': 3}
{'短评内容': '前台服务员素质太差，酒店管理水平太差，对于事情的处理没有预案！', '短评打分': 3}
{'短评内容': '除了位置好点，其他一般！', '短评打分': 3}
{'短评内容': '打扫不及时', '短评打分': 5}
{'短评内容': '早餐太差', '短评打分': 5}
{'短评内容': '除了位置好点，其他都很一般，特别是设施', '短评打分': 1}
{'短评内容': '还可以，服务态度很好。', '短评打分': 5}
{'短评内容': '位置好，其他一般', '短评打分': 5}
{'短评内容': '酒店太舊, 沒有四星的質感', '短评打分': 1}
{'短评内容': '不错的酒店  ', '短评打分': 5}
{'短评内容': '在市中心，交通方便。房间比较旧，特别是卫生间设施很旧。', '短评打分': 1}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '离武广很近，走路即到。', '短评打分': 5}
{'短评内容': '闹中取静，是个好地方！', '短评打分': 3}
{'短评内容': '交通便捷，商务单人间小得来不得了，设施相当成旧，酒店内装修的味道极重', '短评打分': 1}
{'短评内容': '酒店有点老了，房间比较小，价格也不低。不过交通方便，闹中取静。', '短评打分': 3}
{'短评内容': '酒店的地理位置相当优越，但是设施比较陈旧，浴室不是让人很舒适，水不是很好。', '短评打分': 5}
{'短评内容': '衣架居然还是塑料的，只有纸茶包，没有咖啡！\r\n没有润肤露与刮胡刀，估计要单独要。\r\n最大的优势是地点，市中心的中心', '短评打分': 3}
{'短评内容': '雨伞不行，里面的杆都生锈了！\r\n含午餐的话还是比较合算的，尤其是周末价真是超值！\r\n就是电视查了些。\r\n', '短评打分': 5}
{'短评内容': '交通方便，酒店服务不够', '短评打分': 3}
{'短评内容': 'good!', '短评打分': 3}
{'短评内容': '还可以。通过网络订的房间面积太小，早知如此，不如多花点钱订别的房间啦。\r\n酒店应该在网上写清楚哦。', '短评打分': 3}
{'短评内容': '老板点名预定的酒店，性价比相当高！！', '短评打分': 5}
{'短评内容': '环境太差的', '短评打分': 1}
{'短评内容': '老酒店，卫生状况还行，餐厅需要装修了。\r\n酒店价格偏贵，花了288元房费竟给提供个约15年的老电视看，晕！\r\n希望真正为顾客着想。', '短评打分': 5}
{'短评内容': '老的国营饭店，交通便利，但服务差强人意。', '短评打分': 1}
{'短评内容': '酒店地理位置非常好，周边很热闹，但是由于可能建筑年代比较早，感觉酒店老了点。。。。。不过性价比还是不错的。。。。', '短评打分': 5}
{'短评内容': '酒店设施陈旧。订的大床房，入住后发现床是1.8米*1.5米的小双人床，马桶、浴缸釉质脱落。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '设施有点旧，屋里没暖气，没敢洗澡。', '短评打分': 1}
{'短评内容': '房间装潢还不错就是隔音效果很不好,前台服务人员服务态度很差老是板着脸而且说话都特硬,而且我住的房间里面热水忽冷忽热的,位置还是挺好找的.性价比很一般.', '短评打分': 3}
{'短评内容': '设施有些陈旧房间的卫生还是比较好的,服务还是比较满意的,位置挺不错的出行很方便,性价比还是比较好的.', '短评打分': 3}
{'短评内容': '老四星，位置不错，设施落后了，大厅不错，较温馨。建议房间内部新装修。推荐', '短评打分': 5}
{'短评内容': '订的是行政楼层，但是太让人失望了。广告宣称的“欢乐下午茶”根本就是骗人的。去了行政楼酒吧，坐了半天，没有人过来招呼一下，后来去问门口的一个服务员，才说可以找她。又问可以喝什么，她说只有茶了，其他都没有。至于糕点，也只有放在桌子上的两小盘蛋糕。所以第二天就没去了。不推荐大家去住行政楼层。', '短评打分': 1}
{'短评内容': '作为一家老的国营酒店，总体上还是不错的。交通方便，地处繁华闹区。房间隔音不错。300多元的4星级也算可以了。前后一共住过3次。', '短评打分': 5}
{'短评内容': '酒店的位置非常便利，但是有点吵。服务很不错，房间面积有点小。不过总计来说，非常适合短期出差。', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '已经多次入住该酒店了，总体上感觉还可以。虽然酒店比较老了，但是性价比比较不错。相比附近的亚洲大酒店来说，我有一点比较印象深刻的就是这家酒店的隔音效果挺好。有几次是在靠着马路的房间，总体上来说，基本上很安静。亚洲大酒店就不行了，即使在背靠马路一边，在高层都非常的吵，特别是晚上，很难入睡。', '短评打分': 5}
{'短评内容': '服務員很細心有禮,可以說有家的感覺!', '短评打分': 5}
{'短评内容': '去武汉出差都是住长江，主要看中的是位置优越和服务温馨。缺点在于商务单间过小了点，人在房间感觉走不开，也没有行李架。', '短评打分': 5}
{'短评内容': '地域不错，房间设施格局差了些', '短评打分': 3}
{'短评内容': '路段不错，但房间内设施摆放不科学', '短评打分': 3}
{'短评内容': '地段不错，但房间小，房间内设施摆放位置不好', '短评打分': 5}
{'短评内容': '价格是偏高了,进去酒店的时候感觉还不错,就是房间里面的设施很陈旧了,感觉和它的实际价格不是很符合,其他的都还好,挺不错的.', '短评打分': 3}
{'短评内容': '我住的是 468元/天 的行政商务单人间，入住时前台说可以免费使用行政楼层会议室1小时\r\n可是当我需要使用时，大堂经理却说我的房价没有资格免费使用会议室。\r\n', '短评打分': 3}
{'短评内容': '我住的是行政商务单人间，免费享用商务酒廊每晚欢乐时光等免费服务感觉很方便。\r\n但是预定时承诺的“每日免费使用行政楼层会议室2小时（需提前预订）”服务，酒店拒绝提供，坚持收费。', '短评打分': 5}
{'短评内容': '1,卫生条件还不错，打扫较为及时\r\n2，服务没有感觉到哪里有问题，总之还不错\r\n3，谈谈性价比吧，这个商务单价的性价比稍微有点低，这个房间如果是260左右可能接受程度会更高一些。毕竟房间太小了。\r\n\r\n总之，我还是推荐给大家，如果在附近出差，还是不错的选择。', '短评打分': 5}
{'短评内容': '这个酒店太旧了，东西设施比较陈旧，感觉就不太干净，虽然他的位置不错，不过以这样的设施来说，价格偏高。', '短评打分': 3}
{'短评内容': '90年代在那边上学就知道这个酒店很有名气的了,但那个时候是穷学生哇,不可能去体验.\r\n这次有机会去检验了,感觉不错的.位置比较好,正好住的是临解放大道的房间,尽管低层,但窗外是绿叶,很不错.因为带着孩子,但小家伙住得不错,说比较喜欢,晚上睡觉也很踏实.\r\n只是有一点,因为是夏天,没注意到给蚊香片没有,自己也忘记了要,第二天发现小孩子脸上被蚊子咬了.\r\n另外,附近的民航班车搬迁到新华路了,这一点有些', '短评打分': 5}
{'短评内容': '酒店有点老了设施还可以,周边环境很好,卫生服务一般,地理位置挺好的.', '短评打分': 5}
{'短评内容': '呵呵，收到酒店退回的洗衣费了，钱虽不多，但是酒店方面的诚意令人感动，多次来电道歉，态度很诚恳\r\n我想以后到武汉的话，还是会住这里的\r\n同时，也希望长酒加强管理，住一次酒店就发生那么多的乌龙事件，不能不说是在管理和培训上的欠缺，另外说明，换房收费一事，是在我们退房时，据理力争的结果，确实没有多收款\r\n好，再次感谢长酒解决问题的诚意', '短评打分': 3}
{'短评内容': '房间比较干净，位置也挺方便的，价格也比较适中，值得推荐\n', '短评打分': 5}
{'短评内容': '酒店位置好，只是陈旧了点，价格也算公道。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行交通方便，位置比较占优势价格合理适中。服务卫生硬件设施舒适度也很达标，可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '房间面积有些偏小，房间的配置硬件，位置上占优势。停车场也很小。整体来讲酒店的配置不太有4星级的标准，主要是酒店的位置太好了市中心地段。还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '酒店比较陈旧了，房间不是很赶紧的，设施一般的，感觉象招待所，位置还可以的，价格高了', '短评打分': 5}
{'短评内容': '酒店的位置还可以挺方便的，设施环境一般吧，不过还是能推荐的', '短评打分': 5}
{'短评内容': '商务单人间的空间太小，服务也很一般，进房间后看到床单都上脏的，有让他们该换的，整体感觉很一般', '短评打分': 1}
{'短评内容': '这家酒店自己之前也有住过,各方面的住宿条件都挺不错的,就是早餐方面差了点,品种太少了.', '短评打分': 5}
{'短评内容': '酒店房间太小了，转不开身，而且房间不隔音，走廊有人说话都听的很清楚，虽然还挺干净的，但是里面的东西都太旧了，他本身在市中心，可是很吵影响休息，肯定不会再去了。', '短评打分': 1}
{'短评内容': '酒店的地理位置很不错！服务也很好，但设施比较老，浴室的喷头用着也很不习惯，房间也比较小，房费也不含早餐，对于这些房价应该适当廉价点！还有就是应该设立火车订票点，方便住店的旅客！大厅消费的地方，服务有待改善！', '短评打分': 5}
{'短评内容': '酒店服务确实不错，我房间电视收看CCTV-10效果不好，客房部的在调试没有改善的情况下，为我换了台电视……呵呵，动作挺大的。后来晚上因为楼下银行施工，我嫌吵，酒店又主动为我换了另一朝向的房间，陪同协助我换房的服务生态度非常好，很有亲和力，好像是大学的实习生。', '短评打分': 5}
{'短评内容': '酒店太老，房间太小，对于该地段价格偏高，服务还将究，周围购物吃饭还算方便。如果是个人旅游的话，建议选择附近的圣淘沙酒店，价格便宜还包早餐。', '短评打分': 1}
{'短评内容': '酒店房间比较小,感觉不到4星级服务和设施,酒店在立交桥旁边非常吵.与酒店照片不符,下次再也不住这个酒店', '短评打分': 1}
{'短评内容': '位置在闹市区，交通比较的方便，价格也适中', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行交通都很方便,价格有些偏高,位置还是非常好的,周围环境也很不错.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很达标就是房间面积很小,服务卫生都挺好的,位置很好,出行也很方便,价格合理.', '短评打分': 5}
{'短评内容': '现在正在搞活动，通过预定中心订房，而且连续入住两晚以上时，再给予9折优惠。虽然酒店老了一点，但而且我这次住的房间正对着青年路的高架桥，但隔音不错，一点不吵。LS谈到的卫生问题什么的，没碰到。', '短评打分': 5}
{'短评内容': '我是因为地理位置方便才选择这家酒店的，进来后觉得大厅装修不错，房间楼层虽然不高，但走廊比较宽敞。酒店是个老酒店，总体感觉性价比不错。晚上我准备出去走走，向前台服务员咨询，服务员特别热情的告诉我附近什么地方有好吃的，什么地方可以购物，让我感觉特别亲切，下次出差我还是会选择这家酒店。', '短评打分': 5}
{'短评内容': '又老又破的酒店。一个豪华大床间，在里面转身都很困难；网线的接口大约是一万年前留下的，接触非常不好，要重复多次才能接上，不小心碰到网线又断了；房间的毛巾都变了色，而且还只有一件，只能自己到到便利店买；洗澡的喷头，不能把水散开的；前台服务员看到你走到跟前也不会把眼皮抬起，好像是客人在祈求她们一样。晚上11点回酒店，保安会凶巴巴的把你拦住，询问。早餐不洋不中，没有多少可以选择。\r\n', '短评打分': 1}
{'短评内容': '房间里比较冷，空调是坏的，找服务员调也没调好，服务员也主动给调换房间，我们有朋友冻感冒了，主要酒店的位置很方便，象这种服务、设施我们下次不会在住了', '短评打分': 1}
{'短评内容': '酒店的服务卫生还是不错的，价格也能接受。', '短评打分': 5}
{'短评内容': '酒店的位置很好很方便,环境设施都很不错就是价格有些偏高.', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是可以。整体来说性价比还是可以的。', '短评打分': 5}
{'短评内容': '酒店各方面都比较不错', '短评打分': 5}
{'短评内容': '老品牌酒店的服务确实不错，在这里支持一下！', '短评打分': 5}
{'短评内容': '我是一名商务人士，要经常来回各个城市，住酒店也是经常的事情，这次来武汉经朋友的介绍我选择了长酒，我个人认为长酒的房间虽然小了点，但是很温馨很舒适，还听说长酒是现在武汉为数不多的老品牌之一，口碑一直都很好，值得像大家推荐下，以后来武汉一定会再住这里。', '短评打分': 5}
{'短评内容': '本來訂的是豪華房,可是給我的卻是一個轉角的房間,房號是525廁所的地上都是黑色一塊塊的痕蹟,整個洗手間是慘不忍賭,第一天太累太晚就算了,第二天打了電話說會投拆才幫我換到7樓的房間,那裏才是豪華房,如果非要入住這間酒店的話,請不要住525房,還有問清楚房的標准是他們內部的還是對外的,因為他們不承認給錯我房,堅稱他們內部稱那只要是一張床的房就是豪華房,可明顯5樓和7樓是完全不同的.', '短评打分': 3}
{'短评内容': '房间有点旧，再次，又再次入住关键是他的位置，对我来说很方便', '短评打分': 3}
{'短评内容': '早餐太差', '短评打分': 3}
{'短评内容': '电梯太慢.设施有点旧.', '短评打分': 3}
{'短评内容': '该酒店除了地理位置以外没有任何优势。&lt;br /&gt;\n1、房间面积太小，设施陈旧。&lt;br /&gt;\n2、停车没位子。&lt;br /&gt;\n3、餐厅吃饭没位子（我去吃中餐服务员说没位子，让我吃自助餐）。&lt;br /&gt;\n4、餐厅服务员素质太低。', '短评打分': 3}
{'短评内容': '不错，推荐。下次还住', '短评打分': 5}
{'短评内容': '酒店还行.设施较新,距离市中心近,交通方便.就是房间太小,但考虑到黄金地段寸土寸金也就理解了.重要的是没有乱七八糟的电话骚扰.我已经住过3次了,以后会继续住.', '短评打分': 3}
{'短评内容': '本人于19号下午用长江大酒店俱乐部赠送的免费券入住该酒店,因为当时标间没有了,所以酒店的工作人员给我免费升级到套房,这点很满意.到现在为止觉得酒店服务态度最好的部门是棋牌室跟贵宾俱乐部的工作人员.说一件让我很生气的事情,我19号下午5点多在3楼的电梯门口等电梯,由于人太多,等了两趟.电梯到了的时候,来了一位穿黑色制服的女性工作人员,我还问了她最近的数码洗印店在哪里,她很简单的回答了我.然后一个人不', '短评打分': 3}
{'短评内容': '我想知道贵酒店的商务间是什么样的标准！&lt;br /&gt;\n\u3000\u3000一张大床的房间\u3000叫什么房间！', '短评打分': 3}
{'短评内容': '商务单人间太小。楼层好像没有服务员。就是门童的服务态度最耐心了。', '短评打分': 3}
{'短评内容': '这家酒店我是第一次入住，离市中心近，方便，设施都是新装修的，房价也比较便宜，西餐做的比较好，在中餐九楼宴请客户很好，足疗技师技术一流，很舒服，建议大家试试', '短评打分': 3}
{'短评内容': '大家快来会馆办健身游泳卡哦，一个月只要300块钱。可以游30次呢！太划算了，嘿嘿！~而且设施也不错，推荐给大家！~~~', '短评打分': 3}
{'短评内容': '我经常住这不管是服务还是环境都很好。装修过后真的不错大家可以试一下', '短评打分': 3}
{'短评内容': '这家酒店的自助晚餐满划算的，88元/位！~而且有好多东西吃，建议朋友们可以来试试！~', '短评打分': 3}
{'短评内容': '房间还不错，刚装修过的，地处武汉中心地带，就是早餐不是自助餐', '短评打分': 3}
