{'短评内容': '一直在这住 还不错', '短评打分': 5}
{'短评内容': '其实挺不错的，比较可爱。可惜只能住1天。早餐的时间有点晚', '短评打分': 5}
{'短评内容': '酒店新装修  稍微有点异味  房间过小   根据观察和实际体会性价比不高   价格稍微有点高', '短评打分': 1}
{'短评内容': '酒店设施比较现代，干净整洁，服务态度也不错。就是房间隔音效果较差，先是隔壁房间的电视声音听的一清二楚难以入睡，然后半夜入住的客人在走廊里进出的声音也很大，建议如果不是入住率很高的话，隔一间安排客人入住会比较好。热水不是很好调，要么很烫，要么很凉，不好把握中间的温度。整体感觉还是可以的。', '短评打分': 5}
{'短评内容': '酒店硬件设施达不到标准，比如空调没有热风，300-400元的价格过高。', '短评打分': 1}
{'短评内容': '酒店总的来说还是不错的，比较满意！', '短评打分': 3}
{'短评内容': '房间布置有特色，服务态度好', '短评打分': 3}
{'短评内容': '性價比高,內部的裝修很美,服務人員的態度很好,', '短评打分': 5}
{'短评内容': '条件还不错，挺干净的，卫生间很个性，感觉怪怪的', '短评打分': 5}
{'短评内容': '前几天入住该酒店，是公主房（想要大床），房间很温馨！服务没的说，赞一个！\n特别要提一件事，退房时在前台等候服务员查房，服务员发现我的电脑落在房间里（我居然没有发现，晕），前台的服务员亲自上楼去取了一趟送给我，这样的行为绝对要赞！也希望酒店对当天的楼层及前台服务员给予表彰！我也再次说声谢谢！', '短评打分': 5}
{'短评内容': ' 酒店很新，房间装修很吸引人，但整体服务和设施不尽如人意。早餐还不错。', '短评打分': 3}
{'短评内容': '酒店还不错。圆床很有感觉。服务也不错。就是预订太麻烦了。', '短评打分': 5}
{'短评内容': '设备都很新，住起还算舒服。前台服务态度不错，只不过规定当日下午两点前退房即可，可是时间还不到，房卡就不能用。', '短评打分': 5}
{'短评内容': '新盖酒店，环境比较好。比较卫生。床比较大。', '短评打分': 5}
{'短评内容': '酒店的装修很别致，装饰画和装饰品的渲染效果不错，房间色调很柔和，床不错，电气控制也很方便，但是卫生间的淋浴房不封闭，水会溅出来，而且水量小，另外卫生间和淋浴室是透明的，如果同住的人不太熟就会有些尴尬。\n房间里备有一台电脑并有效果不错的音响，注意：只要断电，电脑里所有新装的东西就会自动删除。\n酒店现在只能提供早餐，不过外面的餐馆很多。', '短评打分': 5}
{'短评内容': '卫生设施不错房间很好，位置算是比较好找的，前台服务还可以。不过价格要是再便宜些就更好了。', '短评打分': 5}
{'短评内容': '各方面都还好了，就是初期，目前的结账系统不是很好，希望能尽快改进！', '短评打分': 5}
{'短评内容': '建议近期不要入住，原因如下：\n1、酒店的前台很不专业，但自我感觉很好——和朋友一起入住，定的一样的房型，居然给了我们两个极其不一样的待遇，无论是房间面积还是硬件设施，下来理论时提出见大堂经理，得到前台的回复是“有什么事情和我说就可以”晕啊...\n2、酒店还没有正式营业，入住时莫名其妙的停了两次电，原因是“消防检查”\n3、二楼还在装修中，没有见到所谓的“艺术走廊”', '短评打分': 1}
{'短评内容': '酒店还不错，床很舒服，赠送免费矿泉水', '短评打分': 3}
