{'短评内容': '其他都还好，就是床有点太软，还有这是一楼有蚊子！', '短评打分': 5}
{'短评内容': '酒店不是很好,设施有些老旧,卫生很一般,空气不是很好,位置到是很好.不太推荐的酒店.', '短评打分': 3}
{'短评内容': '整体来讲还是一家很不错的酒店,卫生打扫的很干净,交通也很方便,就是房间有些小,感觉不太方便,很不宽敞.', '短评打分': 3}
{'短评内容': '这次是介绍给朋友去住的，什么感觉我也不知道，不过既然愿意介绍给朋友去住，我方面觉得还是可以肯定的。', '短评打分': 5}
{'短评内容': '位置非常好离西湖很近,出去玩都很方便,卫生和服务方面做的还都不错,就是设施上有些陈旧如果再能提高一下就更好了,而且我当时使用了消费券还是有优惠的.', '短评打分': 3}
{'短评内容': '该酒店不错，离西湖很近，附近吃的逛的也不少，晚上还有附近的吴山路夜市人气很旺。院内停车位少，最多停7-8辆，停满了就要自己找地方解决了。门前和周围几条路多是单行道，开车要注意。10元的早餐能吃饱，品种虽不多，但比较清爽。比较安静，房间太小。', '短评打分': 5}
{'短评内容': '如果价格在150到180之间就非常好了，可是若要250到380就太不值了。在那里住的第二天就提价一百多块，同样的房间不一样的价格，虽然昰市场行情，可心里总觉得很不舒服。', '短评打分': 5}
{'短评内容': '酒店的地理位置非常好,离西湖的湖滨广场很近,可能这也是它价格高的原因.但卫生条件真的不敢恭维,有蚊子,房间很小,隔音一般,这个条件实在配不上收的那么高的房费.', '短评打分': 1}
{'短评内容': '位置很不错，坐车方便，环境安静，酒店不大但装修和设施应达三星标准，小小的服务台服务小姐很热情温柔，感到很温暖，入了房间，什么都满意就是太小了，几乎只有立足之地，不知其它房间是不是这样（希望不要是专门对待提前预定而留的），早餐是简陋了些但能吃饱。', '短评打分': 5}
{'短评内容': '不错，有电脑的商务房较贵，如果所有房间都有上网终端就好了，投不了多少钱，但人气会更旺。', '短评打分': 5}
{'短评内容': '位置很好,价位适中,值得推荐', '短评打分': 5}
{'短评内容': '   好 小些 价格贵些。其他还可以', '短评打分': 5}
{'短评内容': '位置非常好,离西湖很近,从酒店到家乐福、奎元馆解放路店步行也很近，差不多六七分钟的样子，我在杭州两天，每天晚上就是步行到家乐福买明天游玩要准备的东西。从酒店到城站火车站、汽车北站、吴山广场、武林广场、断桥、岳庙、灵隐都有直达公交车。唯一遗憾的是我所住的那间房正好是靠着国货路，外面有一幅巨大的玻璃广告把整个窗户都遮住了，感觉不通风。', '短评打分': 5}
{'短评内容': '位置相当的华丽而且性价比极高，房内的设施很对得起这个价格。只是毛巾浴巾年代比较久远显得有些发黑不是特别干净了，有这方面顾虑的朋友请自备毛巾浴巾入住。对于住宿经费每天在200左右而且想步行游览西湖景区的老饕们来说，这里在各方面都很值得推荐。', '短评打分': 5}
{'短评内容': '酒店下面可能有个餐厅,到了中午油烟比较大,其他方面还可以,房间蛮干净的,价格也还算实惠吧.', '短评打分': 5}
{'短评内容': '地理位置很好，离西湖很近，靠近解百。我们订了两个房间，其中一个房间的空调制冷有些问题。房内卫生状况还可以，设施一般。缺点是不能用信用卡结帐。', '短评打分': 5}
{'短评内容': '酒店的房间空间有点小，比较拥挤，地理位置还可以，服务也还行，推荐度一般', '短评打分': 5}
{'短评内容': '房间比较小，光线又比较暗，不过卫生还可以，酒店的位置特别好，外出方便，价格比较适中，可以推荐', '短评打分': 5}
{'短评内容': '酒店位置靠近西湖边上还可以,可能是位置原因所以价格比较高,性价比不是很好,各方面很一般.', '短评打分': 1}
{'短评内容': '每次出差都比较喜欢入住此酒店，现也常推介朋友入住。', '短评打分': 5}
{'短评内容': '酒店房间非常小,除了一张床两个床头柜,连张椅子都放不下了,并且早餐样式很少,我还了我女儿去吃,我女儿四岁,他们还要我加七块钱,四岁的孩子能吃什么啊,而且又没什么好吃的.总的来说性价比不高', '短评打分': 1}
{'短评内容': '酒店的地段很好离西湖很近，酒店房间的卫生间有点闷', '短评打分': 5}
{'短评内容': '酒店的整体觉得还可以，位置不明显，没有指示牌，卫生条件不特别好，毛巾看起来不是很干净，别的都还可以，价格实惠，设施条件也可以', '短评打分': 5}
{'短评内容': '酒店的卫生条件很好，服务地理位置也不错，交通也很便捷，整体来说很不错', '短评打分': 5}
{'短评内容': '酒店的卫生服务都很不错，就是房间的硬件配置设施太过于简陋了。酒店的环境硬件设施都很不错，价格合理适中整体来讲算是比较不错的酒店可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店本身价格就很便宜,所以对它各方面的条件就不会有太高的要求,不过还可以,离西湖挺近的.', '短评打分': 5}
{'短评内容': '酒店老了一些,位置不错出行比较方便,酒店的设施卫生这些比较一般,只能说得过去比不上那些经济型酒店.', '短评打分': 1}
{'短评内容': '酒店比较安静，就在西湖边，位置特别好，酒店环境比较一般，要是卫生能做的再好一边就更好了', '短评打分': 5}
{'短评内容': '酒店的设施有点陈旧了，房间的面积小了，服务和卫生都还可以的，酒店的位置不错的，交通很便利的，性价比还可以的酒店', '短评打分': 5}
{'短评内容': '酒店的整体都可以的，卫生服务以及设施都很好的，性价比不错的酒店的', '短评打分': 5}
{'短评内容': '酒店真的是非常一般，无论是他的环境，还是硬件设施，哪怕是地理位置都是很一般的。', '短评打分': 1}
{'短评内容': '酒店的卫生环境实在是不怎么样，不过硬件设施和他的地理位置都还不错，服务非常好，如果下次卫生方面能改善一下，我觉得还是不错的。', '短评打分': 5}
{'短评内容': '酒店在西湖边上，比较方便，服务也还可以，卫生，设施一般。价格比较适中', '短评打分': 5}
{'短评内容': '酒店整体住着还可以,位置也不错,就是早餐品种少一些.', '短评打分': 5}
{'短评内容': '酒店的服务还是挺热情周到的,按照价格来讲,设施条件还是可以的,离西湖边上有点远.', '短评打分': 5}
{'短评内容': '酒店的硬件设施只能说是一般不是很好也不差，在这个价位也就这样了，他的价格其实挺合适的，在这个位置来说挺方便的，离西湖也比较近。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还错，位置出行交通都很方便，距离喜欢非常近，步行就可以到酒店，价格也比较合理适中。服务卫生也比较达标。', '短评打分': 5}
{'短评内容': '这家酒店在台前结账不能刷卡,很不方便幸亏当时带了一些现金,房间比较小,位置很好离西湖很近,早餐很好,其它比较一般.', '短评打分': 5}
{'短评内容': '酒店的地段很好，但房间感觉有点脏，地板也不平，酒店对面有个锦江之星酒店感觉比这家酒店要好些', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都还不错,位置非常地好,其它都很一般,价格和设施比比较偏高,设施也不能说是太陈旧,也不是太简陋就是感觉不是很好,很一般的酒店.下次过去应该会考虑其它酒店的入住.', '短评打分': 1}
{'短评内容': '酒店位置不错，离西湖几分钟路。房间偏小些，卫生间用磨砂玻璃隔出来的，不太习惯。酒店停车位少，早餐不怎么样。', '短评打分': 5}
{'短评内容': '服务非常好,还是比较干净的，下次还会住', '短评打分': 5}
{'短评内容': '网线坏了,没办法上网,我当时入住的是电脑商务房居然不能上网,环境硬件设施都比较不错,位置出行也很方便,价格吗只能说是比较一般了,也不算是很优惠.', '短评打分': 5}
{'短评内容': '这家酒店也是朋友介绍给我的，觉得非常不错，环境挺好的我很喜欢，前两天还介绍给我妹妹去住了呢', '短评打分': 5}
{'短评内容': '酒店很干净，就餐也方便，而且也不贵，位置离湖比较近，也挺安全的', '短评打分': 5}
{'短评内容': '房间比想象中的要小，不过还比较干净，服务也不错。酒店的停车场也不大，停车有点不方便', '短评打分': 5}
{'短评内容': '除了地段比较好之外，没什么太大的特色，要个电吹风打了3个电话，等了n久，头发都快自然干了，吹风机才送到。。。。。。晕', '短评打分': 1}
