{'短评内容': '比较方便 学校周边', '短评打分': 5}
{'短评内容': '房间太小，隔音不好，卫生还不错。', '短评打分': 1}
{'短评内容': '入住的房间超小，约8平方，没有窗，转身的地方都没有！房内总有一股异味！', '短评打分': 1}
{'短评内容': '多次入住此店。这次不太理想。电工在客人不在房间时进入房间，动了客人物品。酒店前台没有给出任何解释。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '隔音太差了，给了个楼梯口房间。每天早上一堆女人不知道在干嘛，吵死了。', '短评打分': 5}
{'短评内容': '比较了附近的几家宾馆，这家的性价比还是不错的！！前台态度一般，打扫卫生的人态度还不错！要住的话得早预定，要是当天住去找，前台说的都比较贵哦！总体来说还凑和！', '短评打分': 5}
{'短评内容': '性价比较好的低端酒店！', '短评打分': 5}
{'短评内容': '总体来说还可以', '短评打分': 5}
{'短评内容': '卫浴下水反臭味，空调季节未到就不给暖风了。', '短评打分': 1}
{'短评内容': '房间太小了，除了床根本就没地方了，卫生间有味道', '短评打分': 1}
{'短评内容': '位置比较偏远。但是附近有个小商品市场，吃东西买东西还是挺方便的。店如其名农军宾馆，很农民很军人（自行理解吧）。隔音一般。太远了，以后不会再去了。', '短评打分': 1}
{'短评内容': '房子有味道', '短评打分': 1}
{'短评内容': '整体不错，隔音的确差了点，还有就是电视太不清楚。性价比挺好的', '短评打分': 5}
{'短评内容': '地理位置比较偏僻 前台服务态度一般 卫生比较好 除了屋内水杯不太干净  空调功率太小 开热风一整天也升不了一度 不过热水洗浴还可以 在马连洼地方可以推荐下', '短评打分': 3}
{'短评内容': '位置比较偏僻 但是卫生状况良好 性价比高', '短评打分': 3}
{'短评内容': '位置较偏僻 但属于偏僻位置宾馆中较好的一家 卫生状况还算良好 性价比可以  可以推荐', '短评打分': 5}
{'短评内容': '隔音效果不好', '短评打分': 1}
{'短评内容': '房间隔音不好。早晨很吵。', '短评打分': 5}
{'短评内容': '178元的标准间，房间很小，床本身并不大，但是放了两张后没有什么空间了。床也很老，床品很一般。电视特别小。地毯很脏。卫生间还可以，有两个喷头，高低各一个。而且水温是恒定的。\r\n总之，住的很不爽，本来是因为离农大近才住的，结果也要走十分钟。不如远一点在中关村附近住连锁酒店了。价钱差不多，但是条件和服务就好多了。\r\n', '短评打分': 3}
{'短评内容': '实际距离农大有一段距离，要走十分钟的样子。标准间也蛮小的，地毯很脏。床品也挺旧的，不过看上去还算干净。电视太小。总之整体感觉很低档。这个价和如家，佳乐家之类的连锁店比起来差很多。\r\n如果再住，也实在是因为只有这家离农大近一点。不过会考虑在中关村附近住连锁店，再乘车过来也很方便。', '短评打分': 1}
{'短评内容': '卫生比较差！刷牙的杯子全是水渍！没法使！电水杯也特脏！不过在中国农大西区考试很方便', '短评打分': 5}
{'短评内容': '在同价位的宾馆里面，算是不错的了，比那些快捷酒店要好', '短评打分': 5}
{'短评内容': '价格合理 就是面积太小 有点挤  卫生很好 床太老了 ', '短评打分': 5}
{'短评内容': '位置较远，如果游颐和园还可以', '短评打分': 1}
{'短评内容': '性价比比较高  推荐标准间  不推荐单人间', '短评打分': 3}
{'短评内容': '这里是距离309医院比较近的一家宾馆  也没有别的选择  感觉还行   ', '短评打分': 5}
{'短评内容': '我住的是特价房,房间也就5平米左右,窗户是走道的小气窗,房间有些憋闷.最重要的是隔音不好,隔壁**的声音很大,无奈了.\r\n地理位置临近百望山,周末想换个环境可以选责此地小憩.', '短评打分': 5}
{'短评内容': '位置较偏，房间有点小，卫生间有味 ，不过价格便宜。性价比好。', '短评打分': 5}
{'短评内容': '非常卫生 舒适 隔音效果差了点', '短评打分': 5}
{'短评内容': '一开始住的特价房，结果也就6~7平米吧，被子是脏的，房间有股臭味儿，后来洗澡时候结果喷头掉了，出的水是凉水。叫来客服的小伙子搞了半天也没修好，跟前台反映后倒是后来给我们换了个标准间。后来标准间的设施倒是正常，空间也够，可是当时我们被洗澡的问题折磨的到凌晨了，也就没注意就睡了。当时是在农大有事才住的这里，跟农大就边儿上的距离，旁边的包子铺倒是不错。', '短评打分': 5}
{'短评内容': '房间太小，隔音差，走廊经常很嘈杂，洗浴设备还不错', '短评打分': 5}
{'短评内容': '位置很不错，吃饭停车购物公交都很方便，宾馆设施一般，服务还可以，存在性价比', '短评打分': 3}
{'短评内容': '位置不错，周边吃饭停车购物公交都很方便，设施服务一般吧，推荐一下', '短评打分': 3}
{'短评内容': '位置不错，交通购物吃饭都比较方便，设施一般，住的那个房间厕所味道比较大，但不是所有的都这样，让我赶上了，整体说性价比还可以', '短评打分': 5}
{'短评内容': '房间较小，床单比较旧。', '短评打分': 5}
{'短评内容': '总体感觉还可以，周围环境不错，饮食和购物都很方便，就是房间太小了。', '短评打分': 5}
{'短评内容': '他们酒店的环境和设施还可以，服务也不错，就是有点的房间里味道有点大，不过位置还挺好的，比较方便。', '短评打分': 3}
{'短评内容': '该房设施和环境都不好，而且价格比它自己的会员价还贵，性价比很差。', '短评打分': 1}
{'短评内容': 'the price is relative high, because of its smaller room', '短评打分': 1}
{'短评内容': '148元的双人大床间窗户是朝过道开的，这个使隔音效果不好，并且房间介绍里似乎没有标出；还有就是刚进屋时居然看到一只黑色的小飞虫，不知是什么东西，后来让我消灭了。整体还可以，农大周围似乎没有更好的了！', '短评打分': 5}
{'短评内容': '整体感觉不错，性价比可以', '短评打分': 3}
{'短评内容': '位置比较好~但是房间有点小~性价比还算可以~隔音效果较差~总体还是很好~比较推荐', '短评打分': 5}
