{'descr': '真的太旧了。', 'star': 2}
{'descr': '一進房間就聞到霉味，地毯長期潮濕沒烘乾也不更新，失敗!中餐廳貴的離譜，服務又差，帶位領檯的臉臭臭的，站到她前面，還呆呆的站著，穿旗袍的服務員，更離譜送啤酒來，杯子用甩的，開瓶開好,重重往桌上一放，不知道誰欠她錢不還，還是怎樣?買單也不開發票，找錢連一聲謝謝都沒有，失敗!\r\n   退房時，接送機場的司機更離譜，櫃檯服務員已經叫司機等一下了，他\r\n還是不等，開了就跑，害我以跑100米的速度，背著行李狂', 'star': 1}
{'descr': '乘机方便', 'star': 5}
{'descr': '机场下来，比较方便', 'star': 5}
{'descr': '不错.', 'star': 5}
{'descr': '虽然在这个酒店住宿，出行和吃饭不是太方便，但是对于第二天一早就要赶飞机的人来说，住在这里很方便。', 'star': 5}
{'descr': '半个小时有一趟班车去机场候车厅，宾馆里不能换登机牌。', 'star': 5}
{'descr': '还不错，接送中巴小了点', 'star': 5}
{'descr': '态度不错  久了点', 'star': 1}
{'descr': '便于赶早班机', 'star': 5}
{'descr': '楼层服务员比较耐心，反复多次解决问题。但水壶里边水垢明显，为什么不清洁干净？令人不忍接受。从机场出发/到达大楼至宾馆无标识指示，行走路程不近，将近10分钟。特别是下雨时，再拖着行李箱，比较狼狈。', 'star': 5}
{'descr': '设施是差了点,而且早上出来不知道往哪条路开向机场,没有明确路标...\r\n另外服务态度是不错～', 'star': 5}
{'descr': '比较简陋', 'star': 1}
{'descr': '该家酒店的位置在禄口机场内，对于逢阴雨天或者下雪天，交通不便时，提前入住非常方便，总体干净，也安全。\r\n\r\n', 'star': 3}
{'descr': '该家酒店的位置在禄口机场内，对于逢阴雨天或者下雪天，交通不便时，提前入住非常方便，总体干净，也安全。', 'star': 5}
{'descr': '招待所水平，可惜机场附近就这家酒店！', 'star': 1}
{'descr': '在机场办事可选择的宾馆比较少，也只能住这里了', 'star': 1}
{'descr': 'good', 'star': 3}
{'descr': '酒店唯一的优点就是离机场特别近，走路顶多10分钟。预期不要太高的话，住一晚为了赶飞机还是可以的', 'star': 5}
{'descr': '从机场大厅出来就5分钟的路，对于我这样半夜到的来说真的很方便。设施旧了点，但还挺干净。价格再便易点就挺完美了。', 'star': 5}
{'descr': '位置非常好，卫生做得了不错，设置已比较旧了，相比起来价格略显高了点。', 'star': 5}
{'descr': '酒店整体感觉较好 也很干净 要是房价能再实惠些就更好了', 'star': 5}
{'descr': '1.洗手间的防滑垫太扎脚\r\n2.没找到吹风机\r\n3.早餐是套餐，太简陋。', 'star': 5}
{'descr': '除了离机场近别的就没什么了', 'star': 1}
{'descr': '南京机场最好的了,没办法!', 'star': 3}
{'descr': '地理位置非常好,出行很方便,卫生服务方面也都不错,但就是硬件设施有些陈旧了.', 'star': 3}
{'descr': '主要是距离机场非常近，设施不是很新，但还算舒适，卫生也蛮好，值得推荐！', 'star': 5}
{'descr': '交通方便,但酒店的性价比不高,如果不是赶早班机,不如住南京市里面的宾馆', 'star': 1}
{'descr': '机场边上，如果南京赶飞机很方便。', 'star': 5}
{'descr': '第二天要坐飞机很方便，步行至候机楼才几分钟', 'star': 5}
{'descr': '总体不错', 'star': 5}
{'descr': '位置还是挺好找的,房间还不错挺干净的,性价比还是比较比较不错的.', 'star': 3}
{'descr': '贵了点', 'star': 1}
{'descr': '床比较舒服，服务一般。离机场比较近，有固定大巴到机场，2分钟就到。问题是没有上网，而且早上的大巴20分钟一趟，有些不方便，我不得不打的去的。比较安静但是周围没有任何购物的，晚上想买包烟都没有的买。', 'star': 1}
{'descr': '离机场很近，赶早班飞机的是个不错的选择', 'star': 5}
{'descr': '环境干净。。 非常好！！', 'star': 5}
{'descr': '还算不错', 'star': 1}
{'descr': '酒店比较老了,靠近机场比较近赶飞机很方便,卫生和服务很一般,性价比不是很好.', 'star': 3}
{'descr': '  比较老的宾馆了，但是离开飞机场比较近，作为转机的临时住所还行，价格偏高的', 'star': 5}
{'descr': '房间的卫生和设施还是挺不错的,服务也挺好的,而且酒店的位置也很好找打车就能到酒店,性价比还是挺不错的我还是挺满意的.', 'star': 3}
{'descr': '觉得价格不贵，在机场附近转机便利，但房间的舒适度一般，清洁度做的也不够', 'star': 3}
{'descr': '南京机场到市区很远,如是第二天早需转机的乘客,临时住一下图个方便,那这里应是个选择.服务还可以,只是设施太老旧.', 'star': 5}
{'descr': '当时我第二天赶飞机,住这家比较方便,如果去南京玩肯定不住这家了,酒店里面环境还可以,设施有些简单,相对酒店条件来说价格有些偏贵.', 'star': 3}
{'descr': '除了离机场近,一无是处的酒店,特别要提出,绝对不是ELONG介绍的去年装修的酒店,没有10年,也最少有5年以上的装修,到处是卫生死角.', 'star': 1}
{'descr': '只是因为方便乘坐飞机才选择。房间确实是一般~', 'star': 1}
{'descr': '还可以，就是房间有点装修有点老', 'star': 5}
{'descr': '机场他最好,没地方去,没选择', 'star': 3}
{'descr': '无奈，机场最好的，所以南京机场还要建好的宾馆', 'star': 5}
{'descr': '选这家酒店主要是方便乘飞机，酒店在机场里，环境也还可以', 'star': 3}
{'descr': '酒店的环境硬件设施都还可以，就是酒店里面手机没信号，可能是在机场附近的原因，整体来讲算是比较达标的可以推荐入住。', 'star': 3}
{'descr': '就适合航班中转,很老而且旧的酒店', 'star': 1}
{'descr': '该酒店距离机场非常近，步行几分钟就可以到达候机楼。房间卫生情况可以，硬件当然不能与高星酒店相提并论。', 'star': 5}
{'descr': '设施比较旧，也不是非常干净，只是靠近机场，占了优势。', 'star': 1}
{'descr': '酒店各方面条件感觉都还可以,而且离机场也很近,挺方便的.', 'star': 3}
{'descr': '这家酒店的设施方面有些陈旧了,服务方面也不热情主动.位置还是蛮不错的,靠近机场交通还是蛮方便的,价格方面也比较合适的.', 'star': 5}
{'descr': '酒店的房间条件不是很好,感觉达不到达三星级标准,环境还可以,整体感觉就是比较一般.', 'star': 5}
{'descr': '我住了一晚觉得卫生太糟糕了,感觉很不舒适.', 'star': 1}
{'descr': '酒店的整体不错的，服务卫生以及设施都很一般的，酒店的位置不是很好的，价格还可以的', 'star': 5}
{'descr': '这家酒店就是位置比较好，靠近机场赶飞机挺方便的，住宿条件一般了点 ，设施方面有些陈旧了。', 'star': 5}
{'descr': '酒店位置还是不错的,离机场比较近,内部环境也还可以,蛮舒适的,价格也比较适中,还不错.', 'star': 5}
{'descr': '在机场附近，如果第二天转机或很晚下飞机的人住此酒店合适，设施一般.价格高.', 'star': 1}
{'descr': '在南京机场是最好的了,但是设施老,房间小!赶早班飞机没办法!挂牌三星', 'star': 1}
{'descr': '位置特别好,服务也不错,住的还是比较舒适的.', 'star': 5}
{'descr': '离机场很近，对于第二天早晨赶飞机的人来说，是个很好的选择。设施一般，特别是活动室，形同虚设。有一个桑拿，没敢进去，走很长的长廊，黑咕隆咚的。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '对这家酒店还是很满意的,环境硬件设施都还不错,位置对我来讲也很方便,价格也很合理,值得入住的酒店.', 'star': 5}
{'descr': '整体感觉都还可以,没有遇到什么不太好的地方', 'star': 5}
{'descr': '整体感觉都还可以,没有遇到什么不太好的地方', 'star': 5}
{'descr': '要不是要赶早班飞机，我不会选择住在这里。\r\n晚上空调没有暖风，打电话给客房服务，告诉我要30分钟以后才有；40分钟以后还是没有，检查以后说是通风口堵了拆下来清洗。\r\n浴室的洗手池里竟然有1只虫；洗澡水不热，而且水很小。\r\n总的来说不推荐此酒店。', 'star': 1}
{'descr': '主要就是赶飞机所以才选这里，价格还算适中，环境硬件设施都不错，服务也可以。', 'star': 5}
{'descr': '在机场附近，如果第二天转机或很晚下飞机的人住此酒店合适，设施也不错', 'star': 5}
{'descr': '南京的酒店还是一样，200多的酒店干净也就不错了，服务非常一般，设施也是能省就省，仿佛是南京酒店的特色，也就是离机场比较近', 'star': 5}
{'descr': 'only for catch the fly from airport. no other good things of this hotel.', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '酒店离机场近，要是去拿附近办事或者赶班机的这个位置比较合适，价格也挺适中的，环境服务就挺一般。', 'star': 1}
{'descr': '地理位置:宾馆的位置离机场远了一点;\r\n交通方面:有车接送乘客,这项服务非常好,方便入住的客人搭乘飞机;\r\n饮食方面:希望可以赠送早餐;\r\n入住环境:环境一般,卫生非常干净,给客人留下很好的印象;\r\n建议:降低入住的费用.\r\n\r\n', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '酒店的服务卫生都挺好的,价格可以接受的,但酒店位置不太好找没有什么招牌.房间里的卫生间卫生不好.', 'star': 5}
{'descr': '酒店的位置非常好距离机场候机楼很近,设施服务不是很好.', 'star': 5}
{'descr': '环境比较好 比较安静 .服务一般.', 'star': 5}
{'descr': '环境比较好 比较安静 .服务一般.', 'star': 5}
{'descr': '环境比较好 比较安静 .服务一般.', 'star': 5}
{'descr': '希望能為飯店設施房間于於更新', 'star': 3}
{'descr': '性价比很差，270元不含早餐，早餐与住宿不是一个老板。唯一可取之处，就是有一班车送机场。', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '没有什么突出的地方.', 'star': 3}
