{'短评内容': '不错，就是洗澡水有点小，停车场太小了。。。。。。。', '短评打分': 5}
{'短评内容': '首先酒店的位置离黄河旅游区太远了，每次都要打车花10几块才能到，要知道兰州打车是很便宜的，可见想到远。然后就是暖气根本不暖和，白天更是没有暖气，只有晚上有，现在这个季节，还得我朋友都感冒了，现在还发烧呢。鄙视这家酒店，除了自助早餐算是4星级标准，剩下的都很垃圾！！！！', '短评打分': 1}
{'短评内容': '服务较周到', '短评打分': 5}
{'短评内容': '这样的价能住到这样的酒店,应该是不错的了.只不过旧了一点.呵呵.', '短评打分': 5}
{'短评内容': '酒店服务人员的素质有待进一步加强,重点是服务意识的加强', '短评打分': 5}
{'短评内容': '30楼旋转餐厅的早餐很好，另外，酒店周边环境也不错，多家餐馆，吃饭方便。', '短评打分': 5}
{'短评内容': '这根本就算不上四星级宾馆，像是普通招待所！本来才看到外面感觉不错，可是一进房间差点让人喷鼻血，还是套间？房间设施简陋，陈旧，地毯脏死了，墙角的毛球咋一看还以为是虫子，总让人感觉不安全。哎，金玉其表，败絮其中！', '短评打分': 5}
{'短评内容': '酒店很好，同价位是很不错的，位置稍偏，但是安静', '短评打分': 5}
{'短评内容': '酒店设施陈旧', '短评打分': 5}
{'短评内容': '设施还可以', '短评打分': 5}
{'短评内容': '只在这家酒店住过一次，感觉房间太陈旧，酒店也太陈旧了。早餐还可以', '短评打分': 5}
{'短评内容': '性价比高  ', '短评打分': 5}
{'短评内容': '感觉还可以吧.就是临街的这一面太吵了；会影响到休息；其他条件环境还可以；价格也比较合适,位置也不错；', '短评打分': 3}
{'短评内容': '性价比一般，位置有点偏，酒店卫生服务还可以，就是设施有点差，太旧了', '短评打分': 5}
{'短评内容': '酒店的位置不太好，有点偏，离市区稍微远点，不过离我办事地方近，里面的环境，服务和设施用品，倒是还可以，如果旅游的话，住这不太方便，还是选个离市区近点的酒店比较好。', '短评打分': 5}
{'短评内容': '卫生服务设施都还可以，就是位置比飞天差了点，所以价位就比飞天低一些。其他的都还可以，就是酒店对面的楼市灰色的，看起来很荒凉。还有，洗浴只有喷头没有喷嘴，有点不爽。卫生间的卫生纸很破，我用自己带的清风。其他都还可以。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很不好的，房间的电视太老了，酒店的位置不错的，交通很方便的，整体来讲性价比还可以的', '短评打分': 5}
{'短评内容': '我开会经常住这里，就是觉得他的装修都比较老旧了，墙面有发黑的情况，但是服务还不错，也算干净，这个位置对我来说也算不错，挺方便的。', '短评打分': 5}
{'短评内容': '就是房间的隔音效果不太好,比较吵,其他方面都还是挺不错的,性价比还是比较不错的.', '短评打分': 5}
{'短评内容': '就是房间的隔音效果不太好,比较吵,其他方面都还是挺不错的,性价比还是比较不错的.', '短评打分': 5}
{'短评内容': '酒店卫生各方面服务都还可以。但是当我急需打印一份文件是。宾馆的收费是每页A4纸收费6元钱，他们是抢钱还是穷疯了？市场上成本不过0.3元一张的纸到这里却翻了20倍。不是钱的问题，我只是想告诉酒店的管理人员，几百块的宾馆都住的起，没人会在乎这几块钱，只是“做人要厚道”，不能因小失大，现在的服务业，其实比拼的不是硬件，更重要的是软件问题。', '短评打分': 5}
{'短评内容': '酒店还可以,装修旧了点,不过网上订房没什么优惠,到酒店登记也是这个价钱.', '短评打分': 5}
{'短评内容': '我觉得他们的服务环境，卫生设施都很符合他们的星级标准，就是开业时间长了一点，东西感觉比较旧了，但是位置还是很不错的，很方便，这个价格来说也算是比较合适了，总的评价还不错。', '短评打分': 5}
{'短评内容': '如果不知道后悔的滋味， 可以尝试入住！ ', '短评打分': 5}
{'短评内容': '这还算4星酒店吗  设备还没2星级的好', '短评打分': 1}
{'短评内容': '酒店的整体一般化,针对酒店的价格,酒店的性价比还是可以的,酒店的位置不是位于市中心', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行交通方便,价格合理.', '短评打分': 5}
{'短评内容': '感觉这家酒店还可以，房间干净卫生，服务也不错。', '短评打分': 5}
{'短评内容': '这是我住过最差的酒店了,打死在也不来了!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '酒店太旧了，房间的设施一样陈旧不堪。在这种环境下比较难以给予一个好的评价。\r\n\r\n希望能装修翻新一下。要不以后不会再住这个酒店了。', '短评打分': 5}
{'短评内容': '总体印象一般，', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '太水', '短评打分': 3}
{'短评内容': '服务员对客人态度极为恶劣，门童有点痴呆。经理解决事故的方式方法与身份和修养有差异！希望能尽快改进！', '短评打分': 3}
{'短评内容': '洗手间条件太差，毛巾上还有污渍', '短评打分': 3}
