{'短评内容': '地理位置不错 出门离码头近 出门就是公交车 几站就能到镇上 非常方便 房间也比较干净 感觉很棒！！！', '短评打分': 5}
{'短评内容': '怡莱千岛湖店是怡莱连锁里最棒的一家了，性价比很高。怡莱连锁可以作为以后出行的选择。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，就是没有无线网络和不间断电源，网线太短。下次还会考虑入住。', '短评打分': 3}
{'短评内容': '酒店设施很新，很不错。', '短评打分': 5}
{'短评内容': '酒店装修得挺现代的，就是有点霉味，前台能安排游玩，交通方便', '短评打分': 5}
{'短评内容': '这家酒店位于旅游码头，对于打算参加千岛湖一日游的游客来讲是在方便不过的了，因为离得很近，早上就不必起的太早。酒店门口就有4路车去市内，大概30分钟的车程就可以到市内，购物、吃饭非常方便！酒店的卫生、服务和酒店的设施都很不错，酒店后面还有一条秀水街，蛮有特色的。我最喜欢的是酒店的大床，很舒服，软软的。出门在外一定要住的舒服，吃的可口，如果有机会再去千岛湖，我还会住在那里！很喜欢！', '短评打分': 5}
{'短评内容': '还好 ', '短评打分': 5}
{'短评内容': '卫生不错，房间也比较舒服，很神奇的洗漱台在外面不在厕所，我喜欢你们的花洒很舒服。不过前台的服务员都板着脸，好像我们欠钱一样，有个大叔很亲切的。厕所的门不能锁，不过我也没觉得什么。\r\n\r\n总体来说不错。', '短评打分': 5}
{'短评内容': '酒店环境与卫生均较好，舒适度好，离景点也比较近，地理位置很好。后边是一条商业街，闲时可以逛逛。推荐！', '短评打分': 5}
{'短评内容': ' 地方不错 性价比还可以 乘船泼水节很方便 门口四路终点站 去镇上很快 总的来说值得一住', '短评打分': 3}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': ' 酒店不错 够大够宽 但是房间味道太浓 建议多开房通风 或者扑条地毯', '短评打分': 5}
{'短评内容': '怡莱连锁酒店（千岛湖度假酒店）房间没有无线网络，网线太短，床头没有网线接口所以不能在床上用电脑。无不间断电源插座。热水经常没有，早饭相对差了一点。房间比较宽大，明亮，卫生设备较好，酒店地理位置不错。', '短评打分': 3}
{'短评内容': '房间没有无线网络，网线太短，床头没有网线接口所以不能在床上用电脑。无不间断电源插座。热水经常没有，早饭相对差了一点。房间比较宽大，明亮，卫生设备较好，酒店地理位置不错。', '短评打分': 5}
{'短评内容': '酒店的环境很不错。就是位置偏了点，适合自驾游。酒店早餐不怎么样', '短评打分': 5}
{'短评内容': '环境和房间都不错，性价比高', '短评打分': 3}
{'短评内容': '交通便利，离码头很近，房间够大，卫生及设施应该说在这个价位的范围内算是比较不错的了，服务员也比较热情，自助早餐的确不敢恭维了。入住2晚都刚好遇上泼水节，晚上稍微热闹了点，对于喜欢清静的人住这里就不太理想了。唯一不爽的就是卫生间地漏堵，刚让服务员搞好，又堵了，都不好意思再叫总台了，将就着水开得小点，细水漫流了。。。。结账的时候听说快报网订房要便宜很多。总体还是要顶。顶。顶。。。', '短评打分': 5}
{'短评内容': '整体上说 还是不错的哈', '短评打分': 5}
{'短评内容': '房间很不错，位置也不错，就在景区隔壁，唯一美中不足的是早餐地方太小。', '短评打分': 5}
{'短评内容': '服务很好，位置很好，挺满意', '短评打分': 5}
{'短评内容': '酒店在湖边不远，离旅游码头很近很方便，环境也还可以，酒店房间装修也不错，但是早餐较差，需要改进，而且晚上十点左右开车到门口，就没人来指挥泊车了，服务细节还需加强。', '短评打分': 5}
{'短评内容': '位置极佳，在游船码头门口，很方便；设施尚可，服务较差，大有不愁不来客的感觉。', '短评打分': 5}
{'短评内容': '曾一度没有热水。。。。', '短评打分': 5}
{'短评内容': '很错，下次还会去住，不过美中不足没有送早餐。', '短评打分': 5}
{'短评内容': '酒店位置在旅游码头，非常方便。', '短评打分': 5}
{'短评内容': '性价比不错的酒店', '短评打分': 3}
{'短评内容': '多方比较后选择了这家酒店，入住后感觉非常满意，具体感受如下：\r\n优点（1）酒店软硬件要比快捷酒店好很多，达到了三星商务酒店的标准，且设施较新，性价比高。（2）地理位置不在市中心，但离游船码头很近，适合自驾者入住。（3）酒店经理很热情，当我们问路时，给我们画了一副详细的路线图，很让人感动。\r\n略有不足的是：（1）酒店不临湖，没有湖景房；（2）酒店附近没有大的购物超市；（3）特价房临街，晚上有过路车，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '千岛湖这个地方，城区有酒店，城边上有酒店，而我此次入住的怡莱度假酒店则更远，几乎是景区最里边的了。不过好在有4路公交直达，下车就是酒店的正门在眼前。\r\n\r\n从城区过来一路上都只是山山水水自然之景，而到了酒店这一块，就变得有点热闹起来。因为这里有一个小型的商业街，秀水街，和北京那条著名的街同名。商业街总体比较有设计风格，中西融合，值得逛一逛。但是软环境，比如保洁、花木保养和商店服务态度，需要提高。\r', '短评打分': 5}
{'短评内容': '过年去的，车位少，酒店指导停车的地方被贴条，不过最后是处理好了。住了两天，其中一天没有热水，冬天呀。。。。 ', '短评打分': 5}
{'短评内容': '一切都很好，唯一比较不足的就是位置比较偏远，虽然在旅游码头，但是附近比较荒凉。但是本人看来，相对其他酒店，性价比还行。一切都比较满意。', '短评打分': 5}
{'短评内容': '非常舒适的酒店 因为是自驾车 都比较方便 酒店离码头非常近。。。', '短评打分': 5}
{'短评内容': '酒店房间内居然有苍蝇，估计开窗通风没安装纱窗的缘故。服务也不是很好，沐浴液没有了还是打电话过去才添加的。性价比来说还是不错的！', '短评打分': 5}
{'短评内容': '离千岛湖景区码头非常近，自驾车的话还会选这家。', '短评打分': 5}
{'短评内容': '如果自驾游去千岛湖的我本人感觉这家酒店不错。还算干净', '短评打分': 5}
{'短评内容': '总体来说还不错，设施与价格基本成正比吧。房间干净，但是提供的早餐种类不是很多，餐厅不大。节假日的时候价格浮动与设施差劲较大。', '短评打分': 5}
{'短评内容': '酒店地段很好，就在游船码头边，上下船很方便。酒店也很干净，对于180的价格，房间的性价比很高。就是外出去镇上不是很方便，有1辆公交车到，不过也可以让酒店帮忙叫出租车，15元1辆', '短评打分': 5}
{'短评内容': '服务还行,酒店的位置还是比较好找的,房间也很干净很舒适还舒适,性价比还是比较不错的,总体感觉还是比较不错的酒店.', '短评打分': 3}
{'短评内容': '由于是选择千岛湖的旅游淡季出行，酒店住客不多，环境安静清爽，离码头也近，总体感觉比较好。意见有两点：1、离镇中心比较远；2、餐厅菜式不多。望改善。', '短评打分': 5}
{'短评内容': '酒店的卫生服务都还好，硬件设施舒适度比较一般，价格合理适中，出行交通方便，位置非常好出行交通方便值得推荐入住。', '短评打分': 3}
{'短评内容': '干净整洁，人员服务不很不错，唯一就内部提供的餐饮太贵，感觉有点宰客，漫天要价', '短评打分': 3}
{'短评内容': '酒店的硬件设施比较一般，但是位置很不错，服务也挺好的，但是十一期间价格有上浮，对于他这个设施来说，价格偏高了，不过没法办，十一假期嘛。', '短评打分': 3}
{'短评内容': '房间住起来比较舒适，床比较大，就在景区边上，周边山清水秀环境很不错。出了酒店就是一条美食街，很不错，很多特色美食，挺好的。', '短评打分': 3}
{'短评内容': '就在千岛湖轮船码头边上，出行出游都非常方便。而且楼顶还有花园咖啡厅。出来旅游在上面晒晒太阳喝杯咖啡还是挺享受的。房间也比较新，设施还好，就是房间还有点小，设计有点不是很合理。', '短评打分': 5}
{'短评内容': '很不错，性价比较高', '短评打分': 5}
{'短评内容': '蚂蚁很多,没有多少停车位,位置不错.', '短评打分': 5}
{'短评内容': '房形设计不错的,双标房都有露台. 我们中午入住, 放好东西就去镇里吃饭, 等回来时, 让我们吓了一跳\r\n靠露台的一床上爬了好多蚂蚁, 一群一群的,地上也有,电视机的柜台上也是, 我们要求换房, 工作人员说没有房间了, 就拿来了杀虫剂喷了一下, 被套也换了，但到了晚上 陆续的蚂蚁又来了,这个床就这么空了两天, 旁边的床,晚上也会有蚂蚁爬上来, 起来的时候总能捉掉 四五只. 太恐怖了.\r\n而另一个房间', '短评打分': 1}
{'短评内容': '酒店帮我们联系的千岛湖游收了168但是收据是120不知道那40元哪去了.', '短评打分': 3}
{'短评内容': '住的还可以，设施条件不错 ，价格也合适，只是我当时预定了四个房间，给酒店打电话让尽量把房间安排在一起，最后还是没在一起，只是两个大床在一起，另两个标间在另外一头', '短评打分': 5}
{'短评内容': '这家酒店的性价比还是蛮不错的，值得推荐一下。', '短评打分': 5}
{'短评内容': '物超所值，适合家庭休闲度假旅游', '短评打分': 5}
{'短评内容': '酒店的住宿条件很好的，房间的卫生很舒适的，整体来讲还是不错的', '短评打分': 5}
{'短评内容': '酒店的服务太差了，上次是旅游入住的这家酒店，酒店人员说有旅游券的，和其他的价格是一样的，结果价格比实际的要高，而且说的具体的信息也不准确，以后我不会住这了', '短评打分': 1}
{'短评内容': '码头附近的酒店，进城方便，交通都还不错，因为当时周末价格还是比较偏高的，酒店的环境硬件设施都还不错，舒适度也还好，值得推荐入住。', '短评打分': 5}
