{'短评内容': '怎么扣钱我的信用卡了  到了门店还要另外付款\n\n房间不怎么样 好偏僻', '短评打分': 1}
{'短评内容': '这次入住的东鹰酒店觉得非常方便，也非常超值。主要离地铁口很近，不用过马路，走一分钟就到了，而且用8号线去其他景点也很方便，参观世博就更加方便了，特别是耀华路的出口，一出来就看到中国馆，西藏南一出来就看到企业家馆，建议全家出游的旅客可以提前订好面包车到旅店，只要220元就从浦东机场到酒店了，比坐磁悬浮更方便。我们这次就是这样，一句话，非常超值，而且由于我们有两个小孩，配了两间家庭房，子母床，超舒服，', '短评打分': 5}
{'短评内容': '环境不怎么样，连个窗子都没有，厕所味道也太重', '短评打分': 3}
{'短评内容': '距离地铁站不错，每天早晨7点有免费的早餐，很好', '短评打分': 5}
{'短评内容': '低价酒店，交通便利。别的没啥优点了。', '短评打分': 3}
{'短评内容': '说实话入住之前不是很放心，因为看了客人很多不推荐的评论，但是没想到真正入住之后，还是非常好的。先说一些地理位置，离地铁入口不到30米，走路40秒就够了。房间很宽敞，比如家和7天的大床房都要大，另外设置也是比较满意的，就是喷头有一点堵。早上得自助早餐很不错，品种稍微少了一点。强烈推荐酒店隔壁的盖浇饭餐馆和沙县小吃，非常好！总体来说我对酒店非常满意。\r\n\r\nPS：提醒看世博的朋友8号线末班车是22点3', '短评打分': 5}
{'短评内容': '卫生间有小虫，刚进去吓了一跳\r\n订了2个房间，刚去的时候还说另外一个在整理，结果等了1个多小时还没整理好，最好出去吃饭的时候才整理好', '短评打分': 1}
{'短评内容': '离地铁８号线近，到世博园方便．世博期间性价比不高．', '短评打分': 3}
{'短评内容': '没有窗子，厕所味道很重', '短评打分': 1}
{'短评内容': '8号线比较方便去世博。无窗房通气不好，有味道。', '短评打分': 5}
{'短评内容': '离地铁很近', '短评打分': 3}
{'短评内容': '离地铁很近', '短评打分': 5}
{'短评内容': '订了一间特价房，入住才知道是无窗的，订的时候网上没有写无窗。房间小，蚊子特多，酒店连熏蚊器都没有，只有点的蚊香，房间又没有窗户，熏死人了，但怕被蚊子咬死，只好点。优点是便宜，交通方便，还管早餐。下次还是要再选别家酒店了。', '短评打分': 1}
{'短评内容': '交通比较方便，离地铁近，最大优点是管早餐，缺点是房间狭小，简陋，隔音效果差，晚上睡不好觉。另外卫生条件差，第一天入住就发现了一只大蟑螂。但在现在这个时候价格就算便宜的了。', '短评打分': 1}
{'短评内容': '价低、地铁方便，别的没啥优点。性价比不错', '短评打分': 3}
{'短评内容': '价格低，地铁站旁边，看世博非常方便，很适合外地到上海看世博会的游客入住。', '短评打分': 5}
{'短评内容': '房间很宽敞，性价比很高，主要是交通相当方便。', '短评打分': 5}
{'短评内容': '总台的服务员真是。。。。。心思没有放在工作上，希望酒店要培训一下。这个价钱，性价比还是蛮高的。', '短评打分': 5}
{'短评内容': '卫生间和床单都不太干净 交通很便利 地铁站就在旁边', '短评打分': 1}
{'短评内容': '下午去的时候没有热水 不知道为什么&#183;&#183;晚上才有的热水  设施比较老了 马桶都黄了&#183;床很窄&#183;住了2晚  要说优点就是靠近地铁 不过酒店的打扫的阿姨倒是满热情 工作满认真的', '短评打分': 1}
{'短评内容': '离地铁８号线近，到世博园方便，很一般的酒店．', '短评打分': 5}
{'短评内容': '交通很方便的，出门就是八号地铁~~~~~', '短评打分': 5}
{'短评内容': '还算可以，目前价位过高！', '短评打分': 5}
{'短评内容': '  一个商务标间RMB340.00/晚，卫生设施是相当的差。\r\n\r\n  去的时候门是敞开的，地板上桌子上床头上都是灰尘，后来叫一位阿姨来随便打扫了一下，还是很脏。\r\n\r\n    为了看世博，也就随便住这里啦，图的是8号地铁方便，出酒店一分钟就是地铁可以直达园区，要是平时100%不会住这里的。。。。。。\r\n  ', '短评打分': 1}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '这种时间能住上这个酒店就非常不错了，性价比很高，交通便利，地铁8号线直达世博园6号口', '短评打分': 5}
{'短评内容': '房间面积小，卫生间也不大，卫生蛮干净的，位置有些偏，其他都还可以', '短评打分': 1}
{'短评内容': '酒店位置比较好，就在8号线黄兴公园站1号出口右侧，附近有个联华超市，还算方便，不过就是位置比较偏，如果是看世博，还是建议早一点订酒店，毕竟，一天下来，转地铁的力气都没了！\r\n在上海坐地铁鲜有看到让座的，有小孩的话，最好自备小凳，切记！\r\n酒店的标准间内设施比较陈旧，入住的时候还有蚊子，特意找服务台去点了蚊香，开了一晚上的空调，有点小感冒……卫生间洗发水建议自带或者去超市买，拖鞋质量一般。', '短评打分': 1}
{'短评内容': '现在能订上还不错，就是比周围几家要小贵。', '短评打分': 3}
{'短评内容': '一家老小为看世博开了2间房住了4晚，有点宾至如归的感觉吧。这里离车站近，出行非常方便，周围生活设施也比较完备。服务比较周到，早餐味道不错，就是房间差了点，狭小潮湿，气味难闻。浴室下水不畅，门锁比较难开。希望下次来的时候有改进。', '短评打分': 5}
{'短评内容': '性价比很高.而且服务也不错,服务人员都很热情,而且也很周到,综合水平很好.', '短评打分': 5}
{'短评内容': '7月15日入住，18日离开。感觉交通非常方便，8号线黄兴公园出站就能看到旅馆，房间嘛，就一般了，洗澡间用半透明玻璃隔着，如果不是情侣的话，的确不是很方便，也不会主动把消耗品补齐。旅馆的点餐不错，10元左右，现炒的，挺好。周围饭店也都挺好的。如果是去世博就很推荐了，8号线可直达西藏南路和耀华路两个出口，可任意选择浦东或浦西的出口，很方便。', '短评打分': 5}
{'短评内容': '酒店设施太老旧，与每晚300元根本不符。卫生间装修太差，噪音很大，早餐也太差。 除了离地铁很近，其它别无可取之处。', '短评打分': 3}
{'短评内容': '酒店设施太老，与300元一晚的价位根本不符。卫生间装修令人作呕，噪音很大，早餐也很差。除了离地铁很近，别无可取的地方。', '短评打分': 1}
{'短评内容': '设施真的很一般。。。怎么会挂牌三星呢。。。但是自助早餐很方便', '短评打分': 1}
{'短评内容': '上次离店的垃圾未清理干净，烟味经久未散；浴帘坏了未换；\r\n地铁8号乘坐方便，但离世博距离较远，有带老人、孩子的游世博不建议住', '短评打分': 3}
{'短评内容': '上次离店的垃圾未清理干净，烟味经久未散；浴帘坏了未换；\r\n地铁8号乘坐方便，但离世博距离较远，有带老人、孩子的游世博不建议住', '短评打分': 1}
{'短评内容': '不知道是不是世博的原因 门口标价时租50 标准100 老板开价239无窗 289有窗 衣柜太烂，在里面睡觉就像住防空洞总之以后不会再去', '短评打分': 1}
{'短评内容': '位置很不错，门口就是地铁，房间算是比较便宜的了，我觉得还是可以的！', '短评打分': 5}
{'短评内容': '服务比较差，地理位置不错，设施陈旧。', '短评打分': 3}
{'短评内容': '比较陈旧的酒店，服务很差。去看世博除了交通靠近地铁外没有别的优点，需要转地铁大概一个小时。早上七点才有早点，如果看世博的话不可能等到那时间。服务比较差，预定的酒店280一天，明明有239的却故意说没有。世博，所有酒店都涨价...', '短评打分': 1}
{'短评内容': '去世博非常方便，离地铁站很近。就是服务台的服务员业务不熟，差点多收我一百多房费，希望酒店加强业务培训！', '短评打分': 5}
{'短评内容': '紧邻地铁8号线出口，位置非常好，很适合去上海旅游的客人。', '短评打分': 5}
{'短评内容': '交通便利、性价比高。', '短评打分': 5}
{'短评内容': '地点很好，很方便，但设施一般', '短评打分': 1}
{'短评内容': '还行吧 房间小', '短评打分': 5}
{'短评内容': '各方面都还行，主要是交通方便！看世博嘛', '短评打分': 5}
{'短评内容': '房间小了点，通风也不是很好。不过服务还好，位置也比较方便。\r\n', '短评打分': 1}
{'短评内容': '性价比不错，特别是交通便利，就是走廊有点昏暗，房间没有窗户。不过还是很好的。', '短评打分': 5}
{'短评内容': '酒店的房间内部设施有些陈旧.位置有些偏距离市中心有些远.软件服务还是比较到位.整体来讲还算不错.', '短评打分': 5}
{'短评内容': '网络不是很便利，让人遇到紧急情况需要上网处理时未能', '短评打分': 5}
{'短评内容': '我是在6月26日入住的东鹰假日酒店，。\r\n中午12点前台办理入住的时候，因为世博期间嘛，酒店很紧张，等了40分钟才可以进房间。房卡押金居然不能刷卡，不是很方便。\r\n酒店距离地铁比较近，对面就是8号线黄兴公园车站。预定的是没有窗户的小房间。\r\n房间很吵。第二天一大早居然有人推我们的房门，幸好我们房门反锁，汗ing.', '短评打分': 1}
{'短评内容': '离8号线非常近，交通相当方便。早餐虽然没什么东西吃，但是至少是方便的，以价格来说，性价比是蛮高的。但是我们的房间不知道是没窗子还是怎么的，被子有点潮潮的，屋子里也有点闷。', '短评打分': 5}
{'短评内容': '离八号线地铁超级近，早餐不错，世博期间性价比相当不错！老板服务好。', '短评打分': 5}
{'短评内容': '经济实惠的酒店，不贵，交通便利，旁边就是地铁站。在上海有这样的房价很不错了。但是设施有点老了，用房卡开门要开老半天', '短评打分': 3}
{'短评内容': '交通很便利，旁边就是地铁站，楼下还有几家餐馆，价廉物美。就是前台服务人员的业务部熟练，去的时候开房就用了很久时间。酒店设施有点老了。不过经济实惠！', '短评打分': 3}
{'短评内容': '交通便利，旁边就是地铁站，对面有个公园，还是比较舒适的，可能是酒店年限比较久了，设施有点老。前台服务员的素质有待提高。其余都不错', '短评打分': 5}
{'短评内容': '在上海算物美价廉的了，交通方便加分！', '短评打分': 5}
{'短评内容': '交通很方面，有早餐，很实惠', '短评打分': 5}
{'短评内容': '酒店的位置不错，比较方便我出行办事，其它各方面条件一般，不过总得感觉还可以.', '短评打分': 5}
{'短评内容': '交通很便利，房间里水压太低，附近吃饭的店子不错，性价比还是挺高的', '短评打分': 5}
{'短评内容': '非常方便，就在黄兴公园那里，交通还是很方便的。但是服务很一般。自助早餐还不错', '短评打分': 5}
{'短评内容': '一家 不错的酒店，如果是为了看世博，推荐去那里，地理位置真的不错，出门就是地铁，到世博的门口，非常方便', '短评打分': 5}
{'短评内容': '卫生设施一般，位置不错出行都挺方便离地铁站也很近交通还可以，价格的话也还行，酒店确实感觉还是挺一般的，除了位置以外其他都很一般。', '短评打分': 5}
{'短评内容': '这个价位在上海很划算了，酒店其他一般，但是价格确实是实惠，下次有机会还去。', '短评打分': 5}
{'短评内容': '酒店位置在地铁旁边，很方便', '短评打分': 5}
{'短评内容': '该酒店性价比绝对OK,就在地铁旁边，出了地铁一分钟即到！房间挺大的，房客10元自助餐的非常实惠，味道也挺好的！下次还来住！', '短评打分': 5}
{'短评内容': '比较了好几家，最后定了这家酒店，其实设施什么的哪家都差不多，最重要的是实惠。', '短评打分': 5}
{'短评内容': '餐饮搞的不错，早餐是免费的，午餐和晚餐也便宜，而且质量不错，省了我们不少钱，值得推荐。', '短评打分': 5}
{'短评内容': '离地铁站很近，但离市中心很远，条件也一般吧', '短评打分': 1}
{'短评内容': '房间比较小，没有窗户，比较闷。但服务还可以，交通比较便利。', '短评打分': 5}
{'短评内容': '浴室条件很差,下水道堵塞.房门经常打不开,空调不能用.屋内比较简陋,不舒适.', '短评打分': 1}
{'短评内容': '预定的时候房间并没有说明是无窗，结果拿房间的时候是无窗，看到当时无房和价格的份上，我忍了！', '短评打分': 3}
{'短评内容': '该酒店地理位置很好，8号线黄兴公园1号出口旁边就是，很好找。可除了地理位置真没觉得还有什么可取之处。我们第一天晚上到的时候很晚了，卫生间的座便器内没有清洁干净，一打开就一股臭味， 虽然说关着没有什么太大味道，但是绝对影响心情。第二天向前台反映后，清理干净了。\r\n再者，电话线竟然是断的。太不方便了，向前台反映后，没有任何回应。我也就不计较了。\r\n早餐，真的真的无语了，一共四样，粥、馒头、炒饭、鸡蛋，', '短评打分': 1}
{'短评内容': '挺干净，离地铁站近，特别方便，性价比还是不错！！', '短评打分': 5}
{'短评内容': '酒店周边地铁、公交路线很多，出行很方便，我们去世博的时候住过。', '短评打分': 5}
{'短评内容': '离黄兴公园很近，不想出去旅游的时候，可以到公园去转转，去其他的地方的话，可以做公交和地铁，也很方便。', '短评打分': 5}
{'短评内容': '酒店很干净，很安静，性价比很高。\r\n', '短评打分': 5}
{'短评内容': '各方面还都不错，就是上网不行，要吗是有线上不去，要吗是没有网线，这一点和网上推荐的不相符，实际上还是有点差距的，希望改进。住客；王晓阳（5月5日预定5月15日入住5月18日离店）', '短评打分': 5}
