{'descr': '房间卫生和环境不错', 'star': 3}
{'descr': '特价房房间很小，而且临街，很吵，沐浴喷头的水不冲，洗澡有点费劲。交通位置很好，到哪都很方便，楼下有个永和，吃饭、购物都很方便', 'star': 5}
{'descr': '条件不错，位置还可以，就是早餐不怎么丰富', 'star': 5}
{'descr': '99元特价房，物超所值', 'star': 5}
{'descr': '非常好的酒店，尤其99元特价房，水龙头坏了，马上安排换到标间，非常划算，大堂经理也很友善。', 'star': 5}
{'descr': '隔音有点差 其他都很好', 'star': 5}
{'descr': '酒店的环境和价格相对比下来讲还是比较相符的,位置也比较方便出行.基本还是符合我的要求的.', 'star': 3}
{'descr': '在这个地段是性价比比较高的选择。', 'star': 5}
{'descr': '挺不错的 出行方便', 'star': 5}
{'descr': '卫生和设施方面很不错,就是房间有点小,不符合此价格,有些偏高了,位置还是不错,交通比较方便.', 'star': 3}
{'descr': '酒店的房间的隔音效果比较差了，服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', 'star': 3}
{'descr': '我住的房间外面是空调外机声音很大闹得我一夜都没睡,房间里面其它还都可以.', 'star': 3}
{'descr': '酒店环境挺好的，房间挺干净，位置也不错，外出方便，值得推荐', 'star': 3}
{'descr': '酒店总体来说挺不错的,而且离当时办事地方比较近.物有所值', 'star': 5}
{'descr': '酒店的价格不错的，房间的结构不好，服务卫生以及设施都还可以的，酒店的位置不错的，性价比不错的酒店', 'star': 5}
{'descr': '他们酒店就是房间小了一点，服务还不错，也挺干净的，交通很方便，价格比较合适优惠的。', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '酒店在这个位置挺好的，很方便，而且里面的装修设施也都不错，房间还干净，服务也到位，挺不错的。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '酒店的淋浴喷头比较特别,很大,洗澡水流很舒服!就是旁边有修建地铁的,施工的有些噪音.', 'star': 1}
{'descr': '每次旅游都会预定这样经济型的酒店,对此酒店很满意吧.服务,卫生,舒适度这方面都还可以.因为去考试所以才预定的此酒店,离学校比较近,这边的交通不是很方便.', 'star': 5}
{'descr': '酒店的隔音不好，服务卫生还可以，地理位置不错，交通挺方便的', 'star': 5}
{'descr': '设施比较新，价格也比较的优惠，很不错', 'star': 5}
{'descr': '酒店的设施很好，卫生也不错很干净，服务也很周到', 'star': 5}
