{'短评内容': '在这个位置算便宜了，只是不能开增专', '短评打分': 5}
{'短评内容': '一般吧，相比而言我还是比较喜欢桔子酒店，干净整洁。这个酒店房间里面用的地毯，感觉比较脏，厕所很大，有个双人浴缸，其他的洁具之类看起来和400块钱的房价不成正比！要不是我们经常住的桔子酒店满房是不会选择别家的。下次不会来了。', '短评打分': 1}
{'短评内容': '地理位置比价好，位于商圈。购物也很方便。客房服务态度有待提高。前台比较好。房间里冬天的时候，比较干燥。早餐也不错。价钱也很公道。相对而言性价比还是很高。', '短评打分': 5}
{'短评内容': '服务员态度很好，性价比不错，整天可以，如果下次来这边会考虑再次入住。提个小意见，就是比如客人手机没电了，宾馆可以有个充电器那就会体贴入微了。', '短评打分': 5}
{'短评内容': '不错，下次还会住。前台服务超好。很有礼貌。我喜欢，', '短评打分': 5}
{'短评内容': '好住', '短评打分': 5}
{'短评内容': '还不错！价格稍贵。', '短评打分': 5}
{'短评内容': '和名字一样就是一个宾馆。不会去第二次的。', '短评打分': 1}
{'短评内容': '麻雀虽小五脏俱全，还有双人浴缸，电视还能当电脑用，屏幕无限大！床和枕头也很舒服！也很安静！位置在东直门附近，出行方便~楼下是正宗的韩国料理，味道不错~', '短评打分': 5}
{'短评内容': '这个宾馆还不错,前台服务员的态度非常好,而且几乎每个服务员见到客人都会说您好.设施也还可以,房间上网免费,卫生间比较大.宾馆附近交通很便利,而且有很多酒楼,离簋街很近,周围是北京最大的使馆区,因为签证方便,所以住这里.总之这家宾馆不错.', '短评打分': 5}
{'短评内容': '每次进出都会问你去哪，很烦人。酒店比想象中的差很多。浴室虽然大，不过不好用', '短评打分': 1}
{'短评内容': '卫生间比较大，不过卫生间里味道不是很好。楼下烤肉不错，打5折。', '短评打分': 5}
{'短评内容': '附近吃饭的地方特别多', '短评打分': 3}
{'短评内容': '早上没有热水，不能洗澡', '短评打分': 3}
{'短评内容': '卫生间特大', '短评打分': 5}
{'短评内容': '很不错，去签证就住在这里很不错', '短评打分': 5}
{'短评内容': '可以推荐！', '短评打分': 5}
{'短评内容': '设施都很新，尤其是卫生间很大！位置也很方便，就是价钱有一点点贵，以后还会去的~', '短评打分': 5}
{'短评内容': '泡澡的浴缸很有意思，值得情侣去体验体验。', '短评打分': 5}
{'短评内容': '酒店位置好，卫生间极大，洗澡很舒服，但是房间通风采光不好，跟价格比起来，性价比不算好', '短评打分': 1}
{'短评内容': '条件不错。不过服务不好。前台态度差。', '短评打分': 5}
{'短评内容': '地点不错，但房间卫生需提高，电视调不出来', '短评打分': 5}
{'短评内容': '住的豪华间，浴缸没的说，很爽，就是有一点，卫生间和卧室只有玻璃没有帘遮挡下，希望改进，其他都没的说', '短评打分': 3}
{'短评内容': '感觉不错，标准间床有一点硬，其他都还不错，值得推荐', '短评打分': 5}
{'短评内容': '位置非常好，但是早餐太差了，相对于价格而言', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还不错 性价比挺高的 就是离地铁站远了点 早餐不错，值得推荐！', '短评打分': 3}
{'短评内容': '酒店的服务真是相当一流了，刚入住房间的时候电话出现故障，我们还没跟前台要求换房间时，前台的小姐就主动为我们换了房间，有些意外。新房间的卫生间超大了，好像比房间还要大，房间内设施也很齐全，只是隔音不太好，不过总体还是很满意的，下次还会入住。', '短评打分': 5}
{'短评内容': '刚入住,就发现地板还有一个栗子壳.马桶会堵,淋浴的喷洒是坏的,电视和电脑同一个屏幕,功能太多,遥控按键失灵,不好用..就是地段还不错..', '短评打分': 1}
{'短评内容': '总住这家酒店！', '短评打分': 5}
{'短评内容': 'Position is not good, Parking is so difficult.', '短评打分': 1}
{'短评内容': '酒店位置很好，环境也不错，但没有想象的那么好，但是这个价位来看，也算不错了。', '短评打分': 5}
{'短评内容': '房间小了一点，卫生间非常大。早餐选择余量太小，牛奶太淡，像掺过水。其他还都不错。', '短评打分': 5}
{'短评内容': '家庭间的性价比高，可以住三个成年人，早餐品种很少，但是质量还行，床垫差了点。', '短评打分': 5}
{'短评内容': '房间有点儿小，但浴室挺大的，总的来说还不错，', '短评打分': 5}
{'短评内容': '不像四星，连三星都达不到', '短评打分': 1}
{'短评内容': '卫生间是最大的亮点，比较整洁', '短评打分': 3}
{'短评内容': '还不错,就是隔音不好', '短评打分': 3}
{'短评内容': '总体不错，就是隔音效果不好', '短评打分': 5}
{'短评内容': '性价比不错的酒店，卫生间大是特色。', '短评打分': 5}
{'短评内容': '位置太偏了，環境不是很好', '短评打分': 1}
{'短评内容': '因为到的时候客人尚未退房，于是帮我换了一间三人房。\r\n里面设备满不错的：大的液晶电视、饮水机、舒服的床、设计感好、卫生间很乾净东西也都齐全。服务员的服务也挺好的\r\n有一些小小的缺点：例如门的隔音有点不好（若是有人在走廊讲话听的满清楚的）房间得宽度略嫌小\r\n三人房其中双人床垫一边塌陷了，不过因为也是两人睡、所以我也没有在跟服务员反应了\r\n附近有便利店买东西满方便的，走到东直门地铁大约五～时分钟\r\n', '短评打分': 5}
{'短评内容': '外面不咋地，里面有几间房间还不错，就是下水道会有味道上来', '短评打分': 3}
{'短评内容': '我经常入住北京喜家红酒店。本酒店的服务人员服务热情周到。酒店早餐十分合口（个人意见）。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 3}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '房间很臭 ', '短评打分': 1}
{'短评内容': '浴室很大，也很干净，设施也很好，有电脑很方便，整体感觉都不错，就是有点贵，还有就是使用电脑没有声音', '短评打分': 5}
{'短评内容': '房间还蛮大的，就是床有点小，浴室什么的都还蛮干净的。以后还会去住的。', '短评打分': 5}
{'短评内容': '空间狭窄，整体感觉不敞亮。\r\n设施检修不到位，电灯开关移走后，电线还裸露着。', '短评打分': 1}
{'短评内容': '比较不错，方便', '短评打分': 5}
{'短评内容': '总体还不错，就是房间地毯有些脏，早餐简单。', '短评打分': 5}
{'短评内容': '其它都很好，尤其吃的很方便，周围几分钟步行范围内要几家好吃的川菜饭店。就是一点急需要改进：电视的遥控器太不好用，甚至要向瞄准射击似地对准电视某个地方，否则就没用', '短评打分': 5}
{'短评内容': '北京喜家红宾馆的设施很新,晚上休息很舒适,清理卫生及时干净,服务态度热情,早餐丰盛可口,宾馆位置比较便利附近还有报亭和小超市,此外房间设置电脑并免费上网也十分方便.需要改进的方面提出两点建议:一,大堂应设置时钟以方便了解时间,二,个别房间洗手间里坐便器堵塞,冲水不畅,希望更换下水管径较大的坐便器以利冲水畅通.', '短评打分': 5}
{'短评内容': '一切都好，尤其是那个大浴缸。缺点离地铁站比较远。', '短评打分': 5}
{'短评内容': '总之而言  是个很干净的酒店~\r\n', '短评打分': 3}
{'短评内容': '附近没有什么很方便的地方\r\n不过楼下的酒店附带的餐厅 烤肉不错', '短评打分': 5}
{'短评内容': '不错，离地铁大概10分钟步行，很注重细节得酒店', '短评打分': 5}
{'短评内容': '房间稍稍有点小，不过洗手间很大，很不错。。。\r\n\r\n很干净的', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '恩  房间挺好', '短评打分': 5}
{'短评内容': '入住了很多次，依然如昔，还是觉得交通很方便，往北有东直门地铁，银座百货，往南有雅秀，工体，往东有朝阳公园，蓝色港湾，楼下有饭店~~~最赞的是早点很丰盛，最爱吃面包鸡蛋橙汁~~O(∩_∩)O~', '短评打分': 5}
{'短评内容': '采光不好 有些潮湿', '短评打分': 1}
{'短评内容': '我可以负责人的说，给这家酒店好评的都是托儿！特别是说这家酒店服务好的！硬件设施是可以，可价位也高啊，这也理所应该的！服务真的是很差劲！前台的服务员根本就不懂啥叫服务！跟招待所的服务员差不多！', '短评打分': 3}
{'短评内容': '住的家庭房，最深刻的感受：办理入住手续非常快；卫生间超大；用品准备的非常周全；床非常宽敞；楼下的烧烤五折，十分实惠，早餐也十分不错。去机场是非常不错的选择。', '短评打分': 5}
{'短评内容': '这家酒店的服务真的非常好，虽然是新开业的酒店。住过这么多酒店他家真不错，尤其是他家的那个女经理，貌似姓任，不大记得但是他给我的印象非常深刻，打入住到退房她全在，从始到终全是满脸笑容，让人特别舒服，而且不管问什么问题都耐心解答。。非常感谢！！！让我在北京之行能遇到这样的北京人！！从容大方！', '短评打分': 5}
{'短评内容': '地理位置不错，楼下韩国烧烤味道不错还五折，服务员都不错，见面都会说你好，设施不错，定的双床标间，卫生间超级大，房间有小沙发，和茶几，玩牌不错，房间放置的铁观音不错，配了景田的矿泉水，还有小冰箱。用了40元返券，所以总的来说性价很不错，以后有需要还考虑它。', '短评打分': 5}
{'短评内容': '床单不是纯棉的，睡起来不舒服。电脑没有音频线，所以没有声音。其他都还好', '短评打分': 5}
{'短评内容': '房间卫生和舒适度都还行,就是电视的遥控器不是太好用,酒店的位置还是挺好找的,性价比也不错,总体感觉还是比较不错的酒店.', '短评打分': 3}
{'短评内容': '第一次进入房间的时候，有种惊喜感！没想到会有两人坐的小沙发跟小冰箱！太意外了！住了八天，感觉很不错。服务很周到，有什么问题都会及时解决！前台的服务员也很亲切，只要你一进门就会跟你问好！感觉稍有欠缺的就是自助早餐真的不怎么样哦，为了这个还特地早起，结果有些失望，没什么好吃的，倒是旁边菜场里的早餐还不错，有豆腐脑、烧饼、面茶等等，很不错哦！如果有机会，还是会住这里的，希望下次过来价格不变，呵呵，最好还', '短评打分': 5}
{'短评内容': '酒店整体不错，附近有超市和果蔬市场，买东西很方便，房间很舒适，只是电脑速度 不是很快，服务态度很好，下次到北京可能还会选择这里，你们的工作需要继续加油！', '短评打分': 5}
{'短评内容': '在酒店一共住了六晚，总体感觉不错。位置离东直门地铁站较近，洗手间也很大，但洗手盘下水管漏水。提供的免费早餐也还可以。电脑是用液晶电视作显示器，抬头看久了头很累，而且没有声音。', '短评打分': 5}
{'短评内容': '酒店的服务是在是差劲的很。硬件设施很好，服务真的很业余。建议加强服务培训，向如家多学习下。', '短评打分': 1}
{'短评内容': '内部设施非常好，干净舒服。服务态度也很好，下次来京还住这里。', '短评打分': 5}
{'短评内容': '很好，非常好，尤其是豪华房，比起上千元的老套老牌酒店，喜家红性价比高很多，主要是，整体设计就比较新潮~', '短评打分': 5}
{'短评内容': '非常棒的一家酒店，位置不错，房间很舒适，服务也很到位，尤其一楼的韩式料理很值得一试！保证你不后悔^^下次一定再选择这里！！', '短评打分': 5}
{'短评内容': '房间的设施和卫生还不错，位置也还行，打车是很容易找到的，服务也可以，我觉得这家酒店性价比还是比较高的', '短评打分': 3}
{'短评内容': '整体都还不错。还含早餐。性价比很高。', '短评打分': 5}
{'短评内容': '跟房间相比浴室很大，冬天房内温度挺暖和，房内还有独立电脑给没带电脑的人也能使用。整体住起来还不错，要是价位能再便宜50元肯定会是我在北京住过最高性价比的酒店。\n门口的停车及开门人员很礼貌，前台的女孩感觉就稍微冷淡点。', '短评打分': 5}
{'短评内容': '交通方便，购物方便，周围有东直门地铁，银座百货~~~就是价格稍微贵点，不过，早晨的免费早餐还行，不要去太晚，人多的话，会没什么好吃的', '短评打分': 3}
{'短评内容': '这个酒店虽然不是特别好的那种，但是总体来说还是比较不错的，在这个价位来说，他的地理位置和设施都还行，服务也还不错。', '短评打分': 3}
{'短评内容': '服务有待提高，其他尚可', '短评打分': 3}
{'短评内容': '上次点评将北京喜家红宾馆距离 【东直门地铁站约6-7分钟】误选为【大宅门地铁站】特此更正。sorry', '短评打分': 3}
{'短评内容': '服务还需要提高，房卡住了一天才拿到', '短评打分': 5}
{'短评内容': '地点不错，距离大宅门地铁站约6-7分钟。附近有好几家小超市，买东西很方便。工作人员态度及服务很好。', '短评打分': 5}
{'短评内容': '地段非常好.但早餐实在太差了.房间比预想的要小,卫生间非常大,暖气不是很足,洗澡的时候有点冷.\r\n价格贵了点,性价比一般', '短评打分': 5}
{'短评内容': '总体上，还是不错的！虽然比我预想的要小一点，卫生间倒挺大的，就是作为家庭房，卫生间的门竟然是透明的，实在有点不便！', '短评打分': 5}
{'短评内容': '周围环境还不错,电视的遥控器不是太好用,服务态度还是不错的,性价比挺高的,当时也使用消费券了感觉还是挺不错的.也挺满意这家酒店的.', '短评打分': 3}
{'短评内容': '常住这里 保持着以往的水准 唯一不足是电视遥控还是很迟钝 望改进', '短评打分': 5}
{'短评内容': '给朋友订的，据反映各方面都不错。', '短评打分': 5}
{'短评内容': '三星大堂，四星客房，不错！', '短评打分': 3}
{'短评内容': '其实房间无论从位置（离使馆近）、价格、还是卫生上都很好。只有两点。我住的那一间空调不管用，把我们家老太太都冻的发烧了，现在可是H1N1非常时期，去SOS国际救援站检查，还好是普通着凉感冒，但是花了1700元。还有就是电视，遥控板太难用了，换个台按的手都疼！！！', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 3}
{'短评内容': '三星打大堂，四星客房', '短评打分': 5}
{'短评内容': '卫生间尤其大，地理位置不错！', '短评打分': 3}
{'短评内容': '住得挺舒服的', '短评打分': 5}
{'短评内容': '住的商务标间，前台服务不错，房间整体性价比还可以，尤其卫生间很大，其实也没有必要啦。\r\n不过没有专门的淋浴间，要站在浴缸里面，比较麻烦，另外刷牙水杯很脏，我就没有用。。。。', '短评打分': 5}
{'短评内容': '经常入住 总体来说保持原有水准 不错', '短评打分': 5}
{'短评内容': '还是很好找的~就在银座往东步行15分钟左右，晚饭过后逛街方便，楼下有自己家的韩国烧烤，由于直接去银座逛街吃饭所以没有尝到，有人说还不错，拿着房卡就能打7.5折。停车略有不便~~房间很干净，我预定的是豪华A，浴室真的很大，电视频道还好，电影频道免费~~直接连接电脑机箱，就能上网。是我住过的酒店中性价比最高的，（ps：如广大网友所说，遥控器真的不好用）', '短评打分': 5}
{'短评内容': '离使馆区非常近，签证住宿的话非常方便，服务很好，超出了预期，酒店提供早餐，但是早餐一般且晚去了点的话，就没啥可吃的了，不过对比附近很多不提供早餐的酒店，还是方便了很多。', '短评打分': 5}
{'短评内容': '性价比高，服务很好。电视遥控不太好用。', '短评打分': 5}
{'短评内容': '打电话通过ELONG定的398的豪华大床,住下以后让朋友去前台问下这个房自己在前台定多少钱,朋友回来说348...,定之前我还跟朋友说ELONG定的便宜...\r\n栽了好大一面儿....\r\n', '短评打分': 1}
{'短评内容': '性价比 不错 带浴缸且舒适 唯一一点 电视遥控反应迟钝 电脑系统没人维修等于摆设  值得一提 现在酒店下面韩国料理 半价 味道不错', '短评打分': 5}
{'短评内容': '酒店的卫生服务都是比较好的,就是早餐不太好,设施也比较齐全,交通比较方便了,下次过来还会选择这家酒店.', '短评打分': 3}
{'短评内容': '地理位置不错，距离工体和地铁站都不远，也比较清静；开始房间没有饮水机，到前台询问后就给我送来了一台；房间有点小，但是卫生间还比较宽敞；美中不足的是说是房间紧张所以标间只给了我们两个人一张卡，有点不方便，而且宽带上网老是断线；周末配备了双早，这个很贴心，味道不怎样，但是有总比没有好吧。\r\n以后如果去那附近也许还会选择这家。', '短评打分': 5}
{'短评内容': '酒店价格贵了一些,设施还可以,位置很好很方便,卫生服务也都不错,值得推荐的.', '短评打分': 5}
{'短评内容': '房间太小太窄适合一个人住,卫生设施这些很一般,位置还可以,性价比不太好.', '短评打分': 5}
{'短评内容': '酒店的性价比挺好的,内部环境很舒适,而且服务也很到位,反正挺满意的,感觉也很值得推荐,就是地理位置稍微有点偏.', '短评打分': 5}
{'短评内容': '房间挺干净的，前台服务也不错，价格也不算太贵，总的来说性价比还可以 ', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮高的,而且环境也不错,蛮干净的,当时位置离办事地点也挺近的.', '短评打分': 5}
{'短评内容': '酒店的条件还算是可以，基本上挺干净的，设施也不错，就是位置稍微偏了一点，在这个位置上我觉得价格稍微高了点，但是如果在这个附近的话，还是可以考虑的。', '短评打分': 5}
{'短评内容': '住得很舒服   特别是床   去工体 三里屯也很方便  推荐！', '短评打分': 5}
{'短评内容': '酒店还不错，他们的服务和硬件设施，环境卫生都是挺好的，而且处在这个位置交通便利。', '短评打分': 5}
{'短评内容': '整体来说还不错,算是一家性价比不错的酒店了.', '短评打分': 5}
{'短评内容': '酒店是一家新开业的,很干净配套设施都很不错,也很新,酒店位于胡同,巷子里面的酒店.不是很好找,但是位置出行交通都很方便.', '短评打分': 5}
{'短评内容': '09年2月帮朋友订的此宾馆，以为是四星级宾馆，我去后发现是经济型商务酒店，价格在北京还算合适。卫生条件还可以。地方有点偏，周边不热闹。', '短评打分': 5}
{'短评内容': '感觉还不错，房间比较干净，服务也行，就是隔音不太好，价格要是在低50就更好了', '短评打分': 5}
{'短评内容': '位置不错，离地铁和机场专线都很近\r\n去的时候卫生间马桶不好用，里面有点冷，暖气不好，空调开了也一般', '短评打分': 5}
{'短评内容': '这个酒店的服务很不错，房间也比较干净，就是隔音不太好，而且他离地铁站差不多三个路口，不算远，也不是很近，在北京那个来说这个价格是比较实惠的。', '短评打分': 5}
{'短评内容': '我是2008年12月22日入住的 一共住了12个晚上（豪华间）。 因为是第一次去北京所以感觉酒店的位置有点偏，周围不是特别热闹（酒店位于2环所以还是很不错）。后来才发觉酒店离三里屯和工体还是很近的， 喜欢酒吧的朋友应该会喜欢。酒店是2008年10月新装修的所以一切都非常新。豪华间并不是很大但是感觉十分温馨 有一个超级大的双人浴缸 感觉非常舒适。 服务人员服务速度也很快 一有什么问题就马上会前来为您', '短评打分': 5}
{'短评内容': '酒店新开业的.卫生挺不错挺干净的,设施也比较新,价格也挺实惠的,就是服务人员还不太专业.', '短评打分': 5}
{'短评内容': '隔音效果很差，有人在楼道里说话，房间里都能听见，所以晚上的时候会影响到休息；卫生间里的洗漱用品和拖鞋都是一次性的，从入住到离店都没有更换过，有点过逾环保了；早点也很差，都不够吃，品种也特少；感觉这样的条件和星级并不匹配；就是位置离我办事地点很方便', '短评打分': 1}
