{'短评内容': '一切都还可以', '短评打分': 4}
{'短评内容': '我觉得这是如家最好的一家连锁酒店，硬件设施一流，算得上三星级酒店的标准，比上海、苏州、杭州一带的连锁店强许多倍。\r\n\r\n还带有早餐，性价比非常的高。唯一的缺点总台的服务员工作职业热情度不够，好像成都的都这德行，爱理不理的，前缺点职业精神，这些比江浙一带差得有些远。            \r\n\r\n极力推荐到成都的朋友到这里住一住。', '短评打分': 5}
{'短评内容': '我住的6楼一些房间还在装修,噪音大,有装修材料的气味.晚上还有装修工在隔壁工作.找总台投诉才得以安静下来.在这种状况下该楼层不应该入住客人.希望酒店不光只顾赚钱,多想想顾客感受.', '短评打分': 1}
{'短评内容': '我住的是大床房，那都很好，很干净，只是房间比较小，独立淋浴在房间中间，全透明玻璃的浴室和卫生间，看来只适合情侣或者是同性朋友。\r\n\r\n', '短评打分': 5}
{'短评内容': '我住的是大床房，那都很好，很干净，只是房间比较小，独立淋浴在房间中间，全透明玻璃的浴室和卫生间，看来只适合情侣或者是同性朋友。', '短评打分': 5}
{'短评内容': '该酒店住宿环境比较好，装修、设施、网络均能满足我的需求，只是位置距离机场比较远，在此打车也比较困难。', '短评打分': 5}
{'短评内容': '这家酒店整体感觉还是不错的,服务卫生方面做的挺不错,设施方面也比较齐全的,价格方面也比较合适的.', '短评打分': 5}
{'短评内容': '这家酒店的布局挺特别的，尤其是卫生间弄的挺新颖的，周边环境不是很好，正在修地铁，交通不是很方便的，价格方面还算比较合适的。', '短评打分': 5}
{'短评内容': '酒店的硬件设施，环境服务都属于比较一般的，但是位置还是不错的，比较方便，所以我觉得还是可以的，出门位置方便，比较主要。', '短评打分': 5}
{'短评内容': '酒店的设施有点的陈旧了，卫生和服务都还可以的，酒店的位置还可以的，出行很方便的，价格还可以接受的', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的,就是卫生间的通风效果不是很好,整体感觉价格还是蛮实惠的.', '短评打分': 5}
{'短评内容': '酒店位置不是很好比较偏不好找,卫生还不错,设施也不错,综合性价比还是不错的.', '短评打分': 5}
{'短评内容': '酒店没有我想象中的那么好，设施太简陋了，别的还可以，挺干净的，服务也不错，总的来说还可以', '短评打分': 5}
{'短评内容': '就是洗澡间的排风扇排风力小，好几次我差点给闷着了', '短评打分': 5}
{'短评内容': '早餐太单调，没有餐厅，午餐、晚餐需要到外面去吃，很不方便，上次去当地在搞建设，交通不是很好', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '恩 ，不错，住过，条件也很好~！！环境也不错', '短评打分': 3}
