{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '我入住的是豪华标间，虽然房间很新，但房间非常的小，卫生间也非常的小，连淋浴房都没有，这样的装修跟我们那的三星酒店没什么区别实在是对不起这800多的价格。我推荐对面的城市名人酒店，去年我去住过，价格一样，但房间非常的大而且装修的很漂亮，卫生间也非常的好。', '短评打分': 1}
{'短评内容': '刚装修完,所以感觉特别的好,大堂及西餐厅的设计很现代又不失古老的气息,我很喜欢,由于我们抵达酒店已过午餐时间,西餐厅穿西服的领班(经理?)还是服务态度非常的好接待了我们,尽量满足我们的需求,值得表扬.!\r\n但一进大堂的琉璃吊顶灰太大了，本身应该很漂亮,能在灯光或阳光下自身透出闪亮,都被灰给遮蔽了,既然装了就要打扫干净.我想当初的设计也是要让它成为一个亮点的吧!', '短评打分': 5}
{'短评内容': '没钱，住的是副楼，旧，有办公室公司上下班会议等等，后面是盐道街中学，开学.....但如果下次来，可能还会住.......', '短评打分': 5}
{'短评内容': '早餐很好。总台也不错。性价比也还可以。地理位置也较佳。', '短评打分': 5}
{'短评内容': '我住的是商务楼，因为比主楼便宜，所以设施不咋地啊，总体来讲这样的价格还不如住其它的四星级酒店', '短评打分': 1}
{'短评内容': '很不错，到机场很方便。早餐很丰盛，环境很好，下次还会住。', '短评打分': 5}
{'短评内容': '很满意一切。谢谢。我们住的很好的，很不错，喜欢，加油！', '短评打分': 5}
{'短评内容': '酒店前楼基本快装修完毕了，正在申请5星级，早餐很不错，基本达到5星的标准。我住的后面楼是四星的老楼，但是收拾的很干净，尤其是房间很大，的确是很大。唯一不好的是酒店后面不知道是设备房还是厨房的房顶上的设备太破旧了，嗡嗡的响，还很破烂。。。。。从价格来说不是最便宜的，但是位置很好，去机场很方便，去春熙路和锦里、天府广场不用打车，直接步行就可以！北面一条街就有家乐福，买东西很方便！', '短评打分': 5}
{'短评内容': '住的挺舒服!只是最近装修,没赶点.再一个就是餐费太贵.不过人家正在赶五星!\r\n\r\n', '短评打分': 5}
{'短评内容': '设施位置都非常好，中西自助早餐也很专业，是专业的四星酒店。适合商旅。', '短评打分': 5}
{'短评内容': '酒店有点旧。', '短评打分': 5}
{'短评内容': 'okm, just sleepm, nothing else. good location.', '短评打分': 5}
{'短评内容': '很不错，性价比很好，早餐好，服务也OK，就是周边吃饭的地方可选性不大', '短评打分': 5}
{'短评内容': 'B楼还是差挺多的，房间超级大，装修较旧。', '短评打分': 3}
{'短评内容': '酒店位于市中心，交通方便，B楼装修有点旧，但是房间超大，性价比比较高。', '短评打分': 5}
{'短评内容': '我已入住酒店', '短评打分': 5}
{'短评内容': '刚装修好的房间很新， 就是大堂空间太低了，装修味道很重！', '短评打分': 5}
{'短评内容': '惊喜！可能因为酒店正在装修，所以，价格比较低。\r\n这是一家4星酒店，但是装修后打算升为5星。所以，特别核算。\r\n酒店装修非常的好。设计师水平很高。照了很多照片。\r\n服务水平很高。这点确实令人感动。下雨天，可以站在雨中为客户拦出租车。感动 \r\n', '短评打分': 5}
{'短评内容': '酒店位置好！', '短评打分': 3}
{'短评内容': '位置很好，只是最近在装修，所以目前环境不是太好', '短评打分': 5}
{'短评内容': '不错，现在主楼在装修，应该过段时间会更好。', '短评打分': 5}
{'短评内容': '不错的饭店 每次出差必去', '短评打分': 3}
{'短评内容': '朋友帮着选的 还不错 ', '短评打分': 5}
{'短评内容': '酒店的位置很好市中心地段，配置硬件都比较老化了，建成时间比较早了，性价比很一般，酒店当时也在装修条件比较混乱，位置比较占优势。', '短评打分': 5}
{'短评内容': '帮人代订。听说不错！', '短评打分': 5}
{'短评内容': '早餐太单调了。每天都一样。可能是由于主馆装修，早餐餐厅是一个临时小房间，摆不下太多东西。希望装修好后，早餐能更像4星级，更丰富。\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n', '短评打分': 5}
{'短评内容': '很好！！OK', '短评打分': 3}
{'短评内容': '很好但打车难', '短评打分': 5}
{'短评内容': '我在岷山饭店只住了一天，印象很好。我一进入大厅就有服务员替我拿行李；在前台又得到周到细致的安排。房间很大，设施齐全，被褥很干净，是一家性价比很高的饭店。特别要提的是早上我仅仅走了100米就能坐上去机场大巴。太让人省心了。就是早餐质量差。', '短评打分': 5}
{'短评内容': 'This review is for the commercial office complex in the back of the main hotel.  It is definitely not a four star property.  Let me explain why.  For a four star hotel, customers would expect air cond', '短评打分': 5}
{'短评内容': '商住混在一起,门口施工.', '短评打分': 1}
{'短评内容': '并没有说明主楼正在装修，感觉很不好，旁边就是工地，很吵', '短评打分': 1}
{'短评内容': '酒店主楼正在装修，入住的商务楼，感觉中规中矩，房间也挺大。期待下次来住主楼。', '短评打分': 5}
{'短评内容': '酒店还行，刚好赶上装修，人气不旺，服务还行 ', '短评打分': 5}
{'短评内容': '最近在装修，住在附楼上，不过酒店还是很好的！', '短评打分': 5}
{'短评内容': '位置不错，非常不巧，主楼在装修，有点吵，又懒得换了，房内设施不错，就是早餐种类太少了。有机会装修好了去主楼体验下。装修的时候房价也没便宜多少', '短评打分': 5}
{'短评内容': '岷山饭店在装修中，附楼的条件不太好。房间的空调坏了，根本无法调节温度。晚上窗外有低频噪音，很难入睡。不过服务员态度很好。', '短评打分': 1}
{'短评内容': '靠近电梯的房间超级大，住起来很舒服。酒店位置很好，离春熙路步行十来分钟，早餐简单了点，不过总体来说还不错。', '短评打分': 5}
{'短评内容': '酒店正在施工中 不方便  如果要去机场  还是可以选择入住这家店的', '短评打分': 1}
{'短评内容': '哦棵', '短评打分': 5}
{'短评内容': '酒店位置很好，到哪里都很方便，性价比比较高，就是现在正在装修，不知装修后价格会不会提高？希望不变。', '短评打分': 5}
{'短评内容': '各方面都不错，就是门口很难打车。', '短评打分': 5}
{'短评内容': '卫生条件一般，其它都还可以', '短评打分': 5}
{'短评内容': '位置不错，逛街方便。', '短评打分': 5}
{'短评内容': '不太好，性价比不高！', '短评打分': 1}
{'短评内容': '毕竟是老牌的酒店,服务很到位,而且房间也非常大,就是设施有些陈旧!\r\n\r\n目前在装修,不知装修后房间是否会有所提升!\r\n\r\n整体不错!', '短评打分': 5}
{'短评内容': '酒店位置不错,紧靠机杨巴士终点站,早餐也可以.', '短评打分': 3}
{'短评内容': '这次去该饭店在装修，住在商务楼。设备比较陈旧，但是房间还是挺大，挺干净的，前台服务员还是挺热情的。', '短评打分': 5}
{'短评内容': '房间床不是特别的舒服太硬了卫生还是比较好的,服务还是比较不错的,位置也很好找,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '酒店在装修，不过服务质量没有影响，位置不错，很方便。', '短评打分': 5}
{'短评内容': '酒店位置不错,早餐好.', '短评打分': 5}
{'短评内容': '住过很多次，新装修的房间还不错，虽然小点。出行方便，门口很多车。', '短评打分': 5}
{'短评内容': '位置还是不错的,离我办事的地方还是比较近的,但其它的我不太满意,房间的硬件设施有些陈旧了,感觉不太舒适.', '短评打分': 3}
{'短评内容': '酒店装修太老旧了,房间面积也比较小,而且人员服务态度也比较一般,地理位置还可以,不过跟本达不到四星的标准.', '短评打分': 3}
{'短评内容': '酒店的设施方面太陈旧了,我感觉这样的酒店很一般了.', '短评打分': 3}
{'短评内容': '非常好的一家酒店，我出差经常住这里，喜欢后面的商务房间，因为非常的大', '短评打分': 5}
{'短评内容': '挺不错的，房间比较大，住的很舒适，最满它的自助早餐，品种多、口味好', '短评打分': 3}
{'短评内容': '设备陈旧了点', '短评打分': 5}
{'短评内容': '４星的饭店，老了点，服务还行', '短评打分': 5}
{'短评内容': '如果考虑坐机场大巴住这里还可以。主楼肯定应该可以的，我住的是400多元的后楼，和一些单位在一个楼层，很不舒服。', '短评打分': 1}
{'短评内容': '酒店比较不错,平时我到成都都会入住这家酒店,入住率还是挺高的.因为建地铁把酒店门口都给堵了.因为是老酒店了内部设施很老土,不够新,其它都还可以.', '短评打分': 3}
{'短评内容': '商务房就是有公司办公在一起的付楼。房间面积是比主楼大，但是在三楼上班时间人太杂，保安不是很好。如果是商务的人是不能住这种房间', '短评打分': 5}
{'短评内容': '酒店位置不错，不论去哪都非常方便。机场大巴出门就是，很方便。但是酒店房间太小，尤其是卫生间，完全转不开身。感觉房价偏高，性价比低。', '短评打分': 1}
{'短评内容': '该饭店除了乘坐机场大巴方便外，其余特点并不突出。交通位置较为方便，房间设施陈旧，商务间不在酒店主楼上，早餐自助菜品单一，几天都没有变化，服务水平一般。', '短评打分': 1}
{'短评内容': '原本订的是商务楼，到酒店时临时改成了主楼，价格虽然比商务楼高出一些，但是卫生及舒适度等方面都很不错，出行也很方便，步行就可到达天府广场和熊猫基地班车的始发站，还有酒店门口就是机场大巴的始发站', '短评打分': 5}
{'短评内容': '这个酒店的亮点在于是机场大巴的始发站，同时有很多专门跑机场的出租车在门口等候，这一点对于很难打车的成都来说非常重要。\r\n酒店的早餐还算丰富，但没有缺少成都小吃，没有什么特色。\r\n卫生有待提高，床单不是很干净。\r\n服务有待提高，大堂的门童以及前台服务员都不是非常热情，商务楼根本就看不到服务员。', '短评打分': 5}
{'短评内容': '不得不说，上次入住岷山饭店的经历是不愉快的\r\n当初就是因为看见大家对他的评价不错，而且查看其地点离出差的地方比较近，才预订这家酒店的\r\n因为我的标准只有400，所以选择了其商务标准间\r\n到达之后，首先其外观破旧不说，到大堂办理入住，前台接待的以为小姐说,我住的商务标准间是在副楼，装修较旧，建议我住主楼，我问多少钱？她回答说要近500，说话态度与语气都显得极不专业，我说那不可能，因为我超标。\r\n后来', '短评打分': 1}
{'短评内容': '价格偏高，其他方面都不错', '短评打分': 5}
{'短评内容': '我住的是商务标准间,398的,含双早,现在看看涨价了,呵呵,很幸运呀!位置不错,就是行李员带我去后边商务楼的时候,我走到电梯说不用了,因为不想给他小费,因为自己本来就没有行李,就说自己上去,行李员不高兴了,说怎么了?', '短评打分': 5}
{'短评内容': '感觉很好，酒店的自助餐很丰富！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不錯的酒店哦', '短评打分': 5}
{'短评内容': '总体感觉好象还行,就是现在修路哦交通不便', '短评打分': 5}
{'短评内容': '服务很到位,对我们的投诉处理的很及时,还有一些当地旅游的服务也很到位,这家酒店还是比较老旧那种设施也是老化了.', '短评打分': 3}
{'短评内容': '位置很不错，进出方便，设施稍显陈旧，不过总的来说值得推荐，性价比还将就。', '短评打分': 5}
{'短评内容': '门帘很好，位置也好，适合商旅', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都还可以的，酒店的位置以及交通都不错，价格有点高了', '短评打分': 5}
{'短评内容': '酒店的硬件条件非常不错，环境也挺好的，服务非常不错，这个酒店有着和锦江一样非常到位的服务，但是价格比锦江便宜，综合性价比很高，而且门口就有去机场的大巴，很方便。', '短评打分': 5}
{'短评内容': '酒店坐机场大巴挺方便的,不过住宿条件比较一般,价格还成.', '短评打分': 5}
{'短评内容': '酒店服务还可以，环境也不错，但设施比较陈旧，电脑配置不好，感觉不如新开的酒店好，不过位置什么都还可以', '短评打分': 5}
{'短评内容': '酒店总体来说还可以,性价比很高.', '短评打分': 5}
{'短评内容': '门口规模比较小，环境硬件设施都很不错，位置出行交通方便，服务卫生也很好，就是价格有些偏高，其它都很不错，还是可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店的还可以位置方便，设施条件和卫生方面也过的去，可以选择', '短评打分': 5}
{'短评内容': '老酒店了,感觉还可以,预定的房间和我想象的不一样.设施有些陈旧.服务到挺好的.', '短评打分': 5}
{'短评内容': '我们是前两天入住过，地理位置可以，不过酒店很老了，设施都很旧，服务不好，性价比很差，不推荐。', '短评打分': 1}
{'短评内容': '总的讲还是可以,早餐的确太差了,还不如三星!简直找不到该吃什么,连包子这样的主食都不能满足供应,问服务员得到的回答的更是让人心寒!说什么没有了就没法子了,选吃其它的去吧!这是什么话?', '短评打分': 5}
{'短评内容': '酒店整体的服务，环境设施都挺不错的，而且位置好，交通方便。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我是5月15日和老公入住该酒店的,总体来说还可以,就是我们晚上11点多回去洗澡时,水不太热,第二天早上的水就很热,估计是晚上太晚了,热水都用完了.房间很干净,最好的是有HBO,很合我的胃口.酒店的性价比较弱,如果价格还能实惠些更好.', '短评打分': 3}
{'短评内容': '&lt;font size=&quot;5&quot;&gt;&lt;font size=&quot;4&quot;&gt;&lt;font size=&quot;2&quot;&gt;成都较早的一批四星酒店之一，外地人心目中名声较大，&lt;font color=&quot;Red&quot;&gt;前台的服务非常非常差，装大爷&lt;/font&gt;，我去帮外地来的朋友订过两次房间，态度都是', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;外观感觉太差，入住还可以，早餐没有想象中好。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;服务还可以，硬件和装修的确太旧，外墙也好脏，早餐也不行，还收费30，下次换一家试试&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '还算不错的酒店了,服务一般,有点陈旧.价格能再低点就好了.', '短评打分': 3}
{'短评内容': '唯一可取的就是地点，机场大巴终点站，离商业街也不远，最主要的是周围吃饭方便，有个龙抄手，还有很多有特色的饭店。酒店硬件实在是太差，主楼都那么破旧，难以想象副楼房间什么样。', '短评打分': 3}
{'短评内容': '就四星级饭店来说,岷山的房间一般,不新,但住起来感觉还好,但其餐饮非常好,尤其是早餐,菜品丰盛,价钱便宜（30块）!满意', '短评打分': 3}
{'短评内容': '客房很舒适，住起来感觉温馨。我住的房间（豪华大床间）还有液晶电脑可免费使用，问饭店，原来他们豪华及行政楼层所有房间都配备了液晶电脑，很不错！', '短评打分': 3}
{'短评内容': '位置一般，设施较差，应有的各项配套服务少，总体来说不满意', '短评打分': 3}
{'短评内容': '记住一定要住主楼。', '短评打分': 3}
{'短评内容': '昨天到的成都,住了一晚,感觉很好,虽然酒店外墙有点旧,入住时问过前台,说是01年翻新的,住进去感觉很好,没什么问题.', '短评打分': 3}
{'短评内容': '很老的宾馆，网上订的是商务楼，结果到那儿吓了一跳，商务楼要到外边过马路，顶多一招待所水平，房间隔壁是别的office，想想早上起来，一开门走廊里都是来上班的人，恐怖！&lt;br /&gt;\n后来加了点钱换到主楼。&lt;br /&gt;\n奉劝大家，千万 要订主楼房间，其实价格相差不大。&lt;br /&gt;\n一般，基本不推荐。', '短评打分': 3}
{'短评内容': '我住的高级大床房,感觉还不错啊!看见大家说设施旧,可能是因为岷山是部分翻新过的,所以有的房间很新,有的旧.我住的好象是4楼,挺新的.不过,前台服务有点差劲,感觉爱理不理的.', '短评打分': 3}
{'短评内容': '我一直住岷山饭店,感觉不错啊,对其是很了解的.楼上说的是岷山的商务楼吧,价格便宜,虽不很新,但也不是你说的那么差吧,下次住主楼的房间就好了.', '短评打分': 3}
{'短评内容': '地理位置还算可以，但是如果你订的房间有discount他们会把客人扔到后面的2号楼去。2号楼内的标间里面装修能把人送回到70年代末80年代初，非常陈旧，拍老电影挺合适的但是让21世纪的人住进去感觉不对。下次不会入住岷山饭店了，按我当时交钱的标准应该可以回到21世纪的饭店里。', '短评打分': 1}
{'短评内容': '住这里太方便了,服务啊什么的挺不错的,我喜欢.', '短评打分': 3}
{'短评内容': '房间小，服务差，就是餐饮比较贵，450元标间，不含早餐，让人不可思，性价比差，再不会入住了，商务间在主楼外网上不注明，让人感到有一种受骗的感觉。', '短评打分': 3}
{'短评内容': '很不错的一家酒店！', '短评打分': 3}
{'短评内容': '感觉岷山挺好的，我住这几天健力宝、澳的利也住这里，我把他们的饮料全喝了个遍，反正也是免费的，不错哦。', '短评打分': 3}
{'短评内容': '前天住了一下,很不错的一家酒店,不愧为老牌的四星饭店.房间都有宽带接口,还免费的,在市中心,从机场来去特方便,机场大巴直接在门口上下.', '短评打分': 3}
{'短评内容': '我来成都参加糖酒会,住在岷山,感觉很好,更高兴的是正巧碰上环球中国小姐吴薇也住在这里,刚才还搞了个新闻发布会,是挺漂亮的,气质太好了,住岷山有好运气啊.', '短评打分': 3}
{'短评内容': '我出差到成都一直住岷山饭店，2月18号又去了，虽然房间不是很新，但住起来也是舒适的，服务很好，交通便捷更是没得说，住在这里感觉很好。', '短评打分': 3}
{'短评内容': '我是3月10住的岷山，感觉服务是成都一流的好，交通极其方便，反正我是很满意的。', '短评打分': 3}
{'短评内容': '我住的豪华间卫生条件差，洗手间很小。房间的地毯斑斑点点（大概是时间长旧的缘故？）；刚住进时洗手间里有头发，sink周围都是香皂污垢，或许是忘了打扫吧？不过酒店的服务还可以。', '短评打分': 3}
{'短评内容': '我是住的高级标间,感觉不怎么样.&lt;br /&gt;\n其他的就不说了,我是12月16日住的,成都很冷.但是房间里的那个暖气开的那个足,调都调不下去,叫服务员也不行.&lt;br /&gt;\n结果是住了两天,脸上起了好多干皮皮.因为街上好冷,房间太暖.&lt;br /&gt;\n还有就是不能开窗户,其实能开就是不方便,要叫酒店的专人开,而且只能开两个小时,好闷好闷啊.&lt;br /&gt;\n以后', '短评打分': 3}
{'短评内容': '服务很好的，可以说是一流。我在成都感觉是最好的。房间有宽带借口，免费上网，很好！到机场也方便，那个机场大巴的起点、终点就在饭店门口。', '短评打分': 3}
{'短评内容': '房间可以，服务不错，就是餐饮比较贵，交通很方便，尤其从机场出入的。', '短评打分': 3}
{'短评内容': '有没有单人房间或者大床间？房间里有没有大穿衣镜？', '短评打分': 3}
{'短评内容': '这个酒店到机场挺方便的，房间不错，好象刚装修不久。&lt;br /&gt;\n我住这两天感觉挺好。', '短评打分': 3}
{'短评内容': '豪华间还可以啊，服务也挺热情的。我住了感觉挺好。', '短评打分': 3}
