{'短评内容': '位置不错.房间性价比很高', '短评打分': 5}
{'短评内容': '本来订了一个套房, 结果到了前台才知道套房不带花园露台, 只好住一个家庭标间(带花园露台的), 发现没有想象中的那样美丽, 就是一个大阳台, 四周种些草, 中间放个圆桌和几个椅子. 整个阳台与房间连通的那一面是落地玻璃, 向外的是水泥(约1.5米高), 两边是与邻居的玻璃隔墙(约1.5米高), 这3面都被草遮挡了. 所以, 坐在阳台上虽然可遥看云彩. 但视野却并不开阔.\n房内设施较新, 液晶电视也', '短评打分': 5}
{'短评内容': '房间面积比较大，设施也比较新.位置稍有一点远.自驾比较方便，物业有停车场.酒店当时给了我一张12小时的免费停车卡，这点还不错.在成都来就是讲价格稍有一点高.', '短评打分': 5}
{'短评内容': '电梯大堂和走道太暗，房间烟味很重。入住手续太慢，要加强。早餐热菜品种太少。整体还不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错，下次还住那！', '短评打分': 3}
{'短评内容': '下次还住', '短评打分': 5}
{'短评内容': '新装修的酒店', '短评打分': 5}
{'短评内容': '酒店新开的，确实不错', '短评打分': 5}
{'短评内容': '总体不错，位置一般。性价比不错。', '短评打分': 5}
{'短评内容': '下次还住那！', '短评打分': 5}
