{'descr': '位置好，行驶方便，安全放心', 'star': 5}
{'descr': '酒店前台大厅比较小，而且没有电脑，其他还不错，房间的环境挺不错的', 'star': 5}
{'descr': '服务很好,卫生弄的也不错,设施方面也比较齐全,就是隔音效果不太好了', 'star': 5}
{'descr': '市中心位置，这个价位还可以的。条件没的说。值得一住', 'star': 5}
{'descr': '他的位置挺不错的，交通很方便，服务和配套的设施也都挺不错的，整体来说还算可以。', 'star': 5}
{'descr': '酒店硬件设施一般，服务环境比较不错，交通也挺方便的。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '房间布局不错，空调、热水也很好，服务人员也很热情，总之还不错！', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '酒店色彩简捷明快，客房服务体贴周到，住宿舒适，卫生很好，一尘不染，价格合理，是旅游住宿休息的理想酒店。\r\n另：觉得欠缺的是酒店的餐厅，效率较低，菜品质和量还有待提高。', 'star': 5}
{'descr': '位置还不错，设施也很满意，服务很热情，唯一不是十分满意的是由于房屋本身构造的原因，朝向并不十分理想，没有晾干衣服的地方！', 'star': 5}
