{'短评内容': '挺不错 吃饭方便', '短评打分': 5}
{'短评内容': '除了离世博还算近之外，其余没有任何优点。设施非常陈旧，床铺感觉粘粘的，是外出住过的最差的，非常不推荐！', '短评打分': 1}
{'短评内容': '性价比更高 交通也很方便 有不少小吃店和几家便利店 很方便', '短评打分': 3}
{'短评内容': '还一般吧，主要是为了离世博近点                         、、、', '短评打分': 1}
{'短评内容': ' 该酒店环境优良 服务较好 配套设施完善 只是交通不是十分便利', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '硬件设施很差，从电梯出来到房间就没有看到过干干净净舒舒服服的地方，房间内卫生间太古老了，拖鞋没有一次性的，晾衣架在掉漆。感觉不像经济型连锁酒店，不推荐入住。', '短评打分': 1}
{'短评内容': '酒店位置不错，离外滩很近.适合头一次到上海出差，旅游的朋友们。', '短评打分': 5}
{'短评内容': '位置相对来讲还算比较便利的,但是室内的环境非常一般,原本住过一次上海的速8感觉就很一般,而且还没有热水,但这次报着试一试的态度再次入住另一个店面,可是还是依然如此,没有更好的改进', '短评打分': 1}
{'短评内容': '位置不错，但卫生和服务一般。前台不够热情。', '短评打分': 1}
{'短评内容': ' 该酒店卫生 服务都很好 世博会期间价钱也公道 较满意', '短评打分': 5}
{'短评内容': '除了位置有点偏，别的没什么，去世博的话不太方便，这个价钱已经很不错了，不过我住的是特价房，所以觉得性价比不错', '短评打分': 1}
{'短评内容': '酒店位置很好，服务硬件都还不错，以后也还会再预定', '短评打分': 5}
{'短评内容': '还可以，交通不是很便利   网速太慢！！', '短评打分': 5}
{'短评内容': '人员服务态度还好 标间很舒适 购物便利 就是 出行不是很便利 到地铁要坐公交车 别的都还不错  是个 好地方', '短评打分': 5}
{'短评内容': '帮朋友定的，主要是便宜，因为世博也订不到想要的', '短评打分': 5}
{'短评内容': '房间较小，设备比较旧，还有些不愉快的是电话打到前台说有吹风机的等人洗完头又说没了，服务态度较差', '短评打分': 1}
{'短评内容': '周围环境不是很好，但还算比较便利。酒店环境一般，比较适于出差居住', '短评打分': 5}
{'短评内容': '位置有点偏,附近店比较少.不是很方便.环境一般', '短评打分': 5}
{'短评内容': '好像交通不太方便，特别是去世博。', '短评打分': 1}
{'短评内容': '估计是世博会的原因价格涨了好多，另外就是入住时标明要可以上网的房间的，结果说没有网络。', '短评打分': 1}
{'短评内容': '位置太偏了点,外出玩不是很方便', '短评打分': 1}
{'短评内容': '房间还算干净，就是装修略微老旧。', '短评打分': 3}
{'短评内容': '那是大床房吗只有10平左右', '短评打分': 1}
{'短评内容': '明明就是单人间小床房,但是按大床房来卖.\r\n就算上海开世博会,房间紧张也不能这么作啊!\r\n', '短评打分': 1}
{'短评内容': '地理位置不太理想，本应改善硬件来弥补。如果大床宽度能再增加20CM，墙面、地面、坐便器和喷淋房能和外墙的观感大体相同，才能谈论性价比。\r\n酒店外标价125元，而店内标价300-400元左右，名不副实。', '短评打分': 5}
{'短评内容': '条件整体差。', '短评打分': 1}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务不可能是连锁酒店的，感觉像是过去国营酒店的服务。', '短评打分': 1}
{'短评内容': '快捷酒店中比较差的！但是世博间可以预定还是比较方便！周边生活比较方便！', '短评打分': 5}
{'短评内容': '酒店设施陈旧，床头柜上有脏没清理，因为世博订不到合适的酒店才入住这里，以后不会住了。唯一的好处是周围吃饭挺方便，离杨浦大桥近。', '短评打分': 1}
{'短评内容': '房型不理想我住的是窗户临走廊.通风不方便.另外酒店设施比较陈旧了一些.位置不错上外环路高架都很方便.周边的餐饮很方便.', '短评打分': 5}
{'短评内容': '在上海世博期间能以258的价格住这样的大床房，很满意！相信，世博后价格会更优惠些！', '短评打分': 5}
{'短评内容': '房间太小了，感觉挤，而且装修的风格让人觉得压抑。。。', '短评打分': 1}
{'短评内容': '欢迎入住招待所，锦江之星一般的水平，价格超锦江之星50%，世博会没办法', '短评打分': 5}
{'短评内容': '卫生和住宿方面都挺不错的，但是房间的空间就的特别小感觉显得特别拥挤，房间舒适度都还行，位置吧其实我是感觉还是有些偏僻了找的也是不是太好找估计也是因为上海的地价挺贵所以在选址的时候就选的比较便宜的一些的地方，不过价格确实也很适中在上海算是比较便宜的酒店了。性价比确实挺高的。', '短评打分': 5}
{'短评内容': '订的是三人房 还是很不错的 推荐', '短评打分': 5}
{'短评内容': '酒店位置还可以，但是就是客房小，没有窗户。旁边的小吃味道还不错哦', '短评打分': 1}
{'短评内容': '跟如家汉庭没法比，床上还有头发，没有一次性拖鞋，没有免费的洗漱用品，以后肯定不去了', '短评打分': 1}
{'短评内容': '位置远了点   特价房没窗户  性价比还可以   去外滩或商业区要座公交转地铁  附近没地铁站', '短评打分': 5}
{'短评内容': '位置在平凉路 与东方明珠隔江相望 但是要去外滩的话还是有一些路程的\r\n入住时候前台接待服务态度还好 酒店环境也还算舒适 在这个时段性价比不错了 唯一遗憾是电视机有些显示问题', '短评打分': 5}
{'短评内容': '酒店很一般！', '短评打分': 3}
{'短评内容': '入住的特价房还不错 可惜窗户无法打开', '短评打分': 5}
{'短评内容': '一般的酒店。', '短评打分': 5}
{'短评内容': '卫生和一般配置都可以，性价比很高，经济实惠。', '短评打分': 5}
{'短评内容': '128的房子太小', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我预定时128的特价房，到的时候前台的跟我说128的没有了，只能给我178的大床房，只是下不为例。本来是因祸得福，但他这么一说搞得我专门来沾这个便宜的。\r\n这个旅馆应该是新建的，前台的员工操作很不熟练，开放手续竟花了好长时间。再付款的时候说刷卡又什么问题，但也不跟我多解释。很让人莫名其妙！后来有人告诉我，那个什么权限的夜没什么，就是帐户冻结几天而已。\r\n前台的工作人员有几个没有穿员工服，管理真是可', '短评打分': 5}
