{'短评内容': '帮别人订的，速度快，服务好', '短评打分': 5}
{'短评内容': '价位可以，早餐不错。前台设计可能对着大门，客人结账时显得乱。这不是主要的缺点。客人多，就显得杂乱。不是酒店的错。如果电视频道多些，就更好了。', '短评打分': 3}
{'短评内容': '门市挂牌的价格真的比网上订的还便宜。卫生间冲淋后会积水，而且冲淋时有一股韭菜的臭味。房间够大，服务也还行，最好的是半夜里也还有吃的，不需去外面找吃的了。', '短评打分': 3}
{'短评内容': '确实不错，物超所值，地处优越，交通便利设施也还不错', '短评打分': 5}
{'短评内容': '同志们，该酒店地理位置确实不错房间卫生也挺好的，但是缺点是前台服务比较差结帐真的是慢的无法形容起码等20分钟还有酒店电梯太慢。', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;可能是因为价格低廉的原因，住店的客人有点复杂，电梯里面经常碰到喝多了的人。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;其他的还很不错了。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;1/ 前台的价格牌明码标价，豪华房优惠价￥280，没有加15%？郁闷！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;2/ 自助早餐还好，20元/人，不错！可惜到外面星记肠粉更好。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;3/ 高层的电梯（19楼）要经过餐厅，厨房', '短评打分': 5}
{'短评内容': '物超所值，价格不贵，地理位置不错，设施也还不错，就是结帐时候有点慢，主要也是因为客人很多，害我差点误了飞机，所以建议大家一定要早下楼结帐！', '短评打分': 5}
{'短评内容': '价格很便宜，正如其他会员所说。房间还算宽敞，早餐新增光式茶点很不错。大厅客人来往很多，觉得有点吵。总体来说物有所值。如果自费旅游可以选择', '短评打分': 5}
{'短评内容': '维也纳酒店确实不错,地处优越,交通便利,设施又好,最重要的是既经济又实惠!&lt;br /&gt;\n', '短评打分': 5}
{'短评内容': '维也纳酒店住过一次还想再来住。这就是我的评价！简单吧', '短评打分': 5}
{'短评内容': 'Welcome to vienna hotel,because you will have a pleasant stay in hotel!', '短评打分': 5}
{'短评内容': '维也纳酒店,怎麽说呢?我是觉得还比较可以的,令人满意的.地处优越,而且在价位上比周边酒店更实惠,我不但住了还想给我朋友推荐,让他们也来选择维也纳酒店.', '短评打分': 5}
{'短评内容': '维也纳的客房不错，住着很舒服。如有人选择的话就选择这，而且消费很低。相信我，没错的！&lt;br /&gt;\n&lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 5}
{'短评内容': '深圳维也纳酒店地处交通便利,和周边酒店比起经济实惠,用四个字－－物超所值来评价,一点都不虚.是值得给朋友推荐的一个好去处!', '短评打分': 5}
{'短评内容': '选择了维也纳酒店,我很满意.交通便利,离繁华商业区又近,而且吃住都特别实惠.尤其客房卫生及时整理,东西配备齐全还免费提供宽带上网,不错!所有服务员态度热情,住了一次下次还想来.', '短评打分': 5}
{'短评内容': '深圳维也纳酒店不错，从软件到硬件的设备设施都很好。光顾过一次，印象最深的是服务员的服务热情与周到，给人的感觉特别轻松。如果下次选择我还选择维也纳酒店，因为她物超所值！', '短评打分': 5}
{'短评内容': '深圳维也纳酒店Very Good!', '短评打分': 5}
{'短评内容': '地理位置不错 服务也还不错 房间特别舒服 还可以上网 我住2天 电视系统坏了 服务生说20分钟可以搞好 但是1天都没的看宽带还不错~~~ 最重要的价格便宜性价比高还有电梯不好用 太慢了 每次都要等上10分钟左右 总的来说还不错 下次去深圳还是选择维也纳', '短评打分': 5}
{'短评内容': '高交会期间，我和同事都住在这个酒店，价格是所有类似酒店里面最划算的了。而且刚刚装修过，设备和房间都比较新。电梯有点慢，不过有4个，低层2个，高层2个。我住的是高级间，在18层，大床不错，服务员态度也还不错。美中不足的是，开窗睡觉的话周围比较吵，可能是深圳的车开得太野，也很闹。', '短评打分': 5}
{'短评内容': '高级标间的大床睡得很舒服，房间也很新。就是大堂太小了。总的来说，感觉不错', '短评打分': 3}
{'短评内容': '我住了四天。价格确实很便宜，但是硬件设施不行。电梯经常只开一辆。坦白说，感觉也最多是三星的酒店。', '短评打分': 3}
{'短评内容': '住的最划算的酒店', '短评打分': 5}
{'短评内容': '地理位置好。装修不错。价钱太超值了。', '短评打分': 5}
{'短评内容': '维也纳酒店是我住过的一个真正的物超所值的酒店，客房装修确已达到四星标准，20元的自助早餐挺丰盛的，昨天入住浴帘已装好了，有改进，继续努力！下次还来！', '短评打分': 3}
