{'descr': '很不错', 'star': 5}
{'descr': '+伯鑫宾馆交通较好，在地铁站旁，但床很差，坐和睡都塌下去一大块，晚上睡觉腰会很痛，严重影响旅游，下次坚决不去住。', 'star': 5}
{'descr': '很好很干净卫生，前台服务也好。交通也很方便！', 'star': 3}
{'descr': '交通真的是挺方便的，周围也有不少好吃的。不过吧，就是酒店的服务质量一般般，那些卫生间用品难道不是一天换一次的么？还有房间的床铺不是应该天天打扫的么？&#183;&#183;可能住的客人太多了吧&#183;&#183;', 'star': 3}
{'descr': '还好', 'star': 5}
{'descr': '我在此店住了四天三晚上，订的是无窗的标间两间。房间很小，仅够放张大床，室内空气污浊，下水道的臭味满屋子都是。我们住的期间，房间理的床单被罩、毛巾拖鞋没换过一次，更可气的是退房时，前台经理以我们把毛巾用脏了，硬从我们的押金里扣了10元。这让我感觉进了黑点似的。', 'star': 1}
{'descr': '服务态度很好&#183;&#183;交通很方便 门口就有地铁 而且门口还很有生活气息 比市区要好&#183;&#183;', 'star': 3}
{'descr': '地理位置很优越！出门就是地铁,很方便', 'star': 5}
{'descr': '这个酒店我最喜欢的在于地理位置很好，位于北京市2环以内，旁边就有地铁站，出行方便，周围是护国寺小吃一条街，喜欢吃东西的朋友可以选择住这里，唯一的缺点是没有电梯。总的来说，还是赞一个！', 'star': 5}
{'descr': '到了前台告诉我没有保留房间，查清楚后是前台没有看清保留时间，给我按预定价安排了入住累了一天只好先住下了。', 'star': 5}
{'descr': '还可以，就是稍小点。', 'star': 5}
{'descr': '一下地铁就找到了  交通很方便  就是在装修  但晚上安静', 'star': 5}
{'descr': '住了一晚，马上找了隔个胡同的华利舍快捷酒店（新开的还没在网上做宣传，很好的酒店，），完全一个天一个地的样了。。。房间是老式的招待所样子，在装修，味重，没电梯，行李多搬死人，而且服务前台态度不太好，放着刷卡机还不让刷，非得交现金作押金，结帐时又推说刷卡机坏了，摆明变着法要收现金才行，性价比差。其实附近很多快捷酒店或有一百块一晚的私人旅舍的。。。这里的地点很好，吃有护国寺的小吃街，行有4号地铁线就在街', 'star': 1}
{'descr': '酒店很好', 'star': 5}
{'descr': '位置不错~出行方便~性价比算不错~就是服务人员少~房间隔音差~半夜有噪音~', 'star': 5}
{'descr': '位置还不错，就是房间太小，去时房间都没有打扫~', 'star': 3}
{'descr': '服务态度很好，房间比较实惠，交通很方便离地铁很近', 'star': 5}
{'descr': '交通很方便，刚好在吃喝一条街。房间也还比较干净，就是门前的装修还没有完，有点乱！', 'star': 3}
{'descr': '交通很方便，刚好在吃喝一条街。房间也还比较干净，就是门前的装修还没有完，有点乱！', 'star': 3}
{'descr': '房间很不错。干净，方便。服务态度也不错', 'star': 3}
{'descr': '虽然房间是小了点，但卫生还是不错的，最关键是位置，二环内，地铁和公交站的旁边，一出地铁站半边就是，周边各种设施也齐全，而且旁边就是有名的护国寺小吃街，这也是我选择这间酒店的原因，作为一个自由行的背包客，这间酒店还是蛮不错的了，唯一有一点不足就是隔音效果着实差了点，半夜隔壁两口子吵架搞得我谁都睡不了。', 'star': 5}
{'descr': '因为火车错过一天，网上查这里正在地铁四号线平安里站附近，第二天去南站很方便就预定了一个单人间，没窗子的，价格138在这个位置算是比较便宜的了。果然，地铁站B出口外几步路就到了。而且附近小吃很多，去什刹海、恭王府很方便。\n\n单人间果然很袖珍，不过卫生状况还算很干净，设施还可以，空调声音很小，这点比较满意，电视么，一半台效果不大好，好在CCTV-10不在此列，我也就不再挑剔了。\n\n卫生间小小的，淋浴热', 'star': 5}
{'descr': '该酒店，它位置特好，出门就是汽车站和地铁又是市中心地段。相当于成都的一环路边。到市内各个景点基本出门就有车可到，最多转一次车。服务、卫生等各方面还算不错。对门就有家成都小吃，吃不惯北京饭菜的游客可以吃吃川菜解解味。', 'star': 5}
{'descr': '都入住了房间还没有打扫，不过位置还不错！', 'star': 1}
{'descr': '空调制冷一般卫生间小别的还可以吗', 'star': 5}
{'descr': '＋房间很不错。干净。交通很方便。服务态度也不错', 'star': 3}
{'descr': '房间很不错。干净。交通很方便。服务态度也不错', 'star': 5}
{'descr': '优点：这家店到地铁只有2分钟步行距离，即可到平安里站，我们就看这一点来的。\n大床房没有窗户，面积也不大10平米左右吧，卫生还可以，隔音效果一般，热水随时有，没有有线电视。\n总体说来性价比一般吧。', 'star': 1}
{'descr': '酒店地段很好，出门很方便，附近就有租借自行车，2元一小时。但是酒店房间太小，有窗等于没窗不能开的。卫生间永远有臭味，小飞虫很多，洗澡水忽冷忽热！', 'star': 1}
{'descr': '位置很好，出了地铁4号线平安里站后抬头就可以看见宾馆，旁边还有公交车站可以直接到达景山公园等，门口是条小吃街。宾馆设施一般，卫生还行，但是入住的几天一直不能刷卡，这个有点不方便。', 'star': 5}
{'descr': '这里离恭王府，后海都很近，很方便，价格还算可以', 'star': 5}
{'descr': '住了2晚，很少和服务员打交道，卫生一般，不过离地铁非常近。', 'star': 5}
{'descr': '看了大家的评论选的这家宾馆，实际比想像的要好，交通真的很方便。房间挺干净的，服务员的态度也好，性价比高。推荐！', 'star': 5}
{'descr': '卫生还行，前台服务刚开始不好，不过分人吧。我走的时候把押金条丢了，也没怎么说就把押金退给我了。还行', 'star': 5}
{'descr': 'It is good!', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '位置俱佳，离地铁口很近，出行很方便!', 'star': 5}
{'descr': '就在地铁平安里站的出口，非常方便。离北海公园和后海都很近。服务很好。', 'star': 5}
{'descr': '不错!', 'star': 3}
{'descr': '交通非常方便，出门就有地铁，服务也很热情，周围也有很多小吃、订票点，离一些景点也很近，步行即可。 ', 'star': 3}
{'descr': '交通非常方便，出门就有地铁，服务也很热情，周围也有很多小吃、订票点，离一些景点也很近，步行即可。', 'star': 5}
{'descr': '地理位置很不错，离地铁只要两分钟，其它的也就那样，一分价钱一分货吧', 'star': 5}
{'descr': '不错!', 'star': 3}
{'descr': '我开始看网评还以为大家说的有点夸张呢，不过交通确实很便利，地铁站出口往前走二十米就看到了，不过我去的时候那里正在装修，油漆味很重。另外顺着护国寺街往里走还有几家小餐馆，我是湖南人，在那里总吃一家湘菜，挺好吃的，不贵，还经常能遇到湖南老乡。呵呵，我觉得这家店对于学生或者一般消费能力的人还是比较适合的。', 'star': 5}
{'descr': '超好的地理位置, 出门就是地铁, 去哪里都方便!', 'star': 5}
{'descr': '房间有点小，住的时候由于在装修断过一次电，位置很好，下面就是地铁站和公交站，又靠近胡同和后海，整体不错', 'star': 5}
{'descr': '地理位置真的很不错。就在地铁出口！唯一忠告大家的就是要带自己的毛巾，酒店的毛巾不干净而且不会帮你换的！要在网上盯的价格才对得起性价比！', 'star': 5}
{'descr': '位置是相当不错~离4号地铁线平安里站B出口只有不到50米的距离。但住的条件没有想象中的好。不过出去玩，为的就是出行方便~所以，总体来说还是很不错的。', 'star': 5}
{'descr': '居然发票都没有，什么宾馆啊？？？\r\n', 'star': 1}
{'descr': '性价比蛮好的酒店，房间干净，设施齐全，服务很周到，下次还会入住的', 'star': 5}
{'descr': '位置好!', 'star': 5}
{'descr': '总体不错 比较实惠', 'star': 5}
{'descr': '地理位置非常出色，出门就是地铁站，旁边就是庆王府，房间还可以吧，东西都比较齐全，就是那个排水真是差啊，洗个澡里面就全淹了。', 'star': 5}
{'descr': '总体还可以吧', 'star': 5}
{'descr': '168元的标准间，房间整体来说还可以，不满意的地方就是没有窗，面积有点小', 'star': 5}
{'descr': '交通比较方便，卫生也还可以', 'star': 3}
{'descr': '地理位置挺好，就在地铁口，边上有小吃一条街，很快就可以走到后海。价格比较实惠，美中不足是宾馆正在装修大门。', 'star': 3}
{'descr': '这家宾馆还可以，我觉得最好的是地理位置比较好，卫生条件也还可以，就是洗澡间和洗漱间是在一起，没有如家和汉庭酒店好，装修风格也没有他们的好，大床间，要是情侣的话就会 比较小，屋子也没有汉庭如家的大', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '衛生不錯，性價比也還好，值得推薦', 'star': 5}
{'descr': '第一天晚上回到宾馆，房间门是开着的。服务员白天打扫完居然没关门。', 'star': 1}
{'descr': '希望装修以后会好一些', 'star': 1}
{'descr': '服务态度非常差，并且还在装修环境非常吵，入住以后设施是坏的还没人处理，受不了，以后再也不会去了，强列不推荐', 'star': 1}
{'descr': '坐地铁很方便，只是大门正装修，附近小吃不少很实惠。', 'star': 5}
{'descr': '双人间很小，床也不大，不过位置很好，就在地铁出口，而且旁边有很多小吃，来个夜宵很不错！', 'star': 5}
{'descr': '还不错...就是房间小了点.....', 'star': 5}
{'descr': '就一句话   交通非常方便  门口200M就是地铁4号线 平安里站', 'star': 5}
{'descr': '很不错的酒店，卫生条件很好，性价比较高，下次还会住的。', 'star': 5}
{'descr': '没有电梯，带行李很不方便，服务员态度很不好。很没有职业素养！！态度也很不好！！至于设施我就不想说了，没什么好说的！！！就是不好！！再也不会去了！！周围环境还很乱！半夜还有人大喊大叫！！这样还要148！！！受不了~~还不如去七天呢！！', 'star': 1}
{'descr': '住了两天偶然知道这里离梅兰芳故居和庆王府都不远，去这些景点转还是很方便的，周围有小吃和餐厅，生活还是蛮方便的。', 'star': 5}
{'descr': '在这样的地段，这样的价位，个人觉得是超值的了，设施够用，服务也不差，满意。', 'star': 5}
{'descr': '酒店位置很好，出了平安里地铁即是，环境一般，我住的是不带窗的大床房，霉味儿很大，可能是不通风的缘故，性价比还算可以。', 'star': 1}
{'descr': '房间里配套设施齐全，收拾的也干净，比较满意。', 'star': 5}
{'descr': '就住了一晚不敢住第二晚。就交通便宜，在地铁口旁边。服务很不地道，不象正规宾馆的服务。设施极差，没有电梯，进入房间一股烟味扑面而来。床也睡的不舒服。出于这150的价钱只能说性价比很一般很一般，很不推荐入住。', 'star': 1}
{'descr': '宾馆第一眼看起来就很干净，床上用品也整洁，住着放心。', 'star': 5}
{'descr': '宾馆就在护国寺边上，离西单、新街口不远，出行很便利，周围小吃也挺多的。', 'star': 5}
