{'短评内容': '挺好的，房间干净', '短评打分': 5}
{'短评内容': '位置稍微有点难找，环境装修都不错，比较有特色，值得一住', '短评打分': 3}
{'短评内容': '整体条件设施比“如家”和“锦江之星”强，性价比在经济型酒店中很不错，只是位置略差一点，属于厦门岛中心区域，去玩儿的地方都要打的，不过好在厦门岛很小', '短评打分': 5}
{'短评内容': '位置好，房间舒服，很好 位置好，房间舒服，很好 位置好，房间舒服，很好', '短评打分': 5}
{'短评内容': '该洒店环境好,服务好,卫生一般。', '短评打分': 5}
{'短评内容': '房间很大也很舒服，略带闽南腔的前台让人很温馨', '短评打分': 5}
{'短评内容': '这家酒店很好。\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000', '短评打分': 5}
{'短评内容': '位置稍稍有点偏，不过还可以，装修不错，卫生不错，推荐', '短评打分': 5}
{'短评内容': '那天住进去服务员态度很热心，但是叫服务员来修里电话没有来。', '短评打分': 5}
{'短评内容': '设施和服务是不错，就是入住的时候前台竟找不到我网上预订的名字，这个让我有点郁闷等蛮久的。。。不过总的来说还是不错的！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '订的家庭房特别满意,床够大(1个2米,1个1.5米),非常舒适,就是隔壁小区有个窨井盖在车开过的时候有声音,但基本不影响睡眠.', '短评打分': 5}
{'短评内容': '环境不错，地点方便！适合度周末！', '短评打分': 5}
{'短评内容': '酒店性价比较高，基本设施齐全（有风筒！），简洁干净，服务员们很热情，帮了我们第二天的自由行不少！很适合自由行，下次还会选这类酒店。', '短评打分': 5}
{'短评内容': '距离火车站很近，司机很容易找到。因为是新开的酒店，设施很新，房间很干净，而且面积比同类酒店大，大堂服务也不错。总之是到厦门住宿很不错的选择。', '短评打分': 5}
{'短评内容': '设施新，配置全，就是商务酒店的标准。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '房间比较宽敞比起全国连锁酒店要大一些。', '短评打分': 5}
{'短评内容': '我们一家都觉得那个床太软了，睡觉的时候总感觉人都陷在里面，我订的是三人房，窗子外面街道的路面上好像有一个井盖松动了，到晚上1点多了，还能听见汽车走过井盖发出的铛铛声，还好孩子没被吵醒，总的来说算是不错的了。还有前台的服务不错。', '短评打分': 5}
{'短评内容': '酒店的位置很占优势，属于繁华街区很方便。', '短评打分': 5}
{'短评内容': '房间不错，比较好找，交通方便。因有人从门缝塞进来按摩小姐的广告，所以我留言如下：“世人都犯了罪，亏缺了上帝的荣耀。人若不悔改，必下地狱。你们要悔改，信耶稣，得永生。”', '短评打分': 3}
{'短评内容': '位置属于闹中取静的那种，在闹市区的安静地段很不错。', '短评打分': 5}
{'短评内容': '房间不错。可能是因为我一个人入住，门缝里塞进来按摩小姐的广告，这不太好。', '短评打分': 5}
{'短评内容': '酒店新开业的环境设施都很新，我就是喜欢入住一些新酒店。', '短评打分': 5}
{'短评内容': '我觉得很好  个人认为是一家性价比非常高的酒店', '短评打分': 3}
{'短评内容': '很不错！ 我很满意！ ', '短评打分': 5}
{'短评内容': '很不错！  我很满意！', '短评打分': 5}
