{'短评内容': '吃东西很方便', '短评打分': 4}
{'短评内容': '麻雀虽小，五脏俱全，房间不大，但该有的东西一样没少，地理位置好，价格要是再便宜一点就更好了。', '短评打分': 5}
{'短评内容': '房间小，地方不好找,别的 还一般般吧。去九龙找一些住的地方可能更好点。', '短评打分': 1}
{'短评内容': '    应该算属于公寓类型的，在住宅楼里面，但是位置相当不错了！在旺角和尖沙咀之间的佐敦地铁站附近，走路只要5分钟。\r\n    如果只是为了简单的睡一觉，而不去注重酒店的档次，这个算物美价廉，相信只是去游玩的人们应该可以接受！', '短评打分': 5}
{'短评内容': '位置还不错，就在港铁佐敦站边，但是房间很小很小，东西很简单，根本就不是想象中的酒店概念，大概香港人的标准不同吧，你可以想象条件全配的群租房，电视是那种很小很小的，大概只有12寸，晚上空调声音非常洪亮，还好白天旅游很累，也就忍了，对安静要求高的朋友还是谨慎点吧，转换插头很黑，要HKD20（外面随便买买只要5块）。好了就这么多吧，希望对大家有所帮助。', '短评打分': 1}
{'短评内容': 'it better for a trvaler to stay in Hong Kong for a short period.', '短评打分': 5}
{'短评内容': '房间很小，不太好找。不过，设施齐全，非常干净。', '短评打分': 3}
{'短评内容': '位置还可以， 但是酒店没有牌子， 和照片上的不一样， 在一个住宅楼里。 卫生间还有小虫子。', '短评打分': 1}
{'短评内容': '整体不错，就是面积小店。但是老板很好啊 ', '短评打分': 5}
{'短评内容': '没设招牌,价格跟房子不配套.', '短评打分': 1}
{'短评内容': '性价比 非常好！位置 非常好', '短评打分': 5}
{'短评内容': '都不错的酒店', '短评打分': 5}
{'短评内容': '在香港这寸土尺金的地方、这样的价位算是可以的啦。位置有点难找，因没有招牌，只能通过门牌号去认。房间设施较为简单，交通算方便。', '短评打分': 5}
{'短评内容': '价格比较便宜，交通、购物方便。', '短评打分': 5}
{'短评内容': '春节期间价格较高。在小区居民楼内，类似北京平日100多元的招待所，门口也无酒店招牌，凭门牌号码问路找到。服务态度不错。可惜硬件不行，下次宁愿多花钱住好一些。', '短评打分': 1}
{'短评内容': '呃，热水器不太好用。其他的，可以说是麻雀虽小五脏俱全。地方挺好。', '短评打分': 5}
{'短评内容': '位置不错，离地铁还算近。', '短评打分': 5}
{'短评内容': '非常一般，但是在香港那个寸土寸金的地方，只是一个栖身之所。位置仅靠佐敦，离庙街很近。', '短评打分': 1}
{'短评内容': '我觉得除了地理位置还何以以外，其他别的都一般！', '短评打分': 1}
{'短评内容': '酒店的位置非常不错，离着地铁站很近，出行很方便的，内部环境也不错，住起来挺舒适的，价格方面可能是旺季稍微偏高些了。整体感觉还是不错的，值得推荐。', '短评打分': 3}
{'短评内容': '卫生服务方面都很不错,打扫的很干净,而且出行也很方便,但就是房间的硬件设施有点陈旧了.', '短评打分': 3}
{'短评内容': '地段很便利，设施简单一些，房间的空间也不是很宽敞，服务到是不错，价格也不贵', '短评打分': 3}
{'短评内容': '酒店的服务和硬件条件都比较一般，但是位置不错，挺方便的，不过条件不是特别好。', '短评打分': 3}
{'短评内容': '酒店的服务还可以，卫生稍微差点，设施也比较简单，房间小，价格因为赶上东亚运动会，价格比较，位置倒是还可以，如果价格便宜话，还是可以考虑的。', '短评打分': 3}
{'短评内容': '我对这家酒店很不满意,房间小,开始还没有热水,服务人员讲的不是普通话,听不太懂,而且酒店是在居民区里的,很不好找.', '短评打分': 3}
{'短评内容': '房间在一个较旧的楼里，有时段服务员是外国人（南亚或东南亚的），需要用英语交谈，不是非常方便；面积比同价位的宾馆大，设备全一些，有时段是香港人（是老板么）服务态度就很好。总体感觉很一般，适合哥们几个住，安全性一般。', '短评打分': 1}
{'短评内容': '这家酒店即简洁又实惠,还是值得推荐的.', '短评打分': 3}
{'短评内容': '房间设施很简单，但是打扫的挺干净，位置很好', '短评打分': 5}
{'短评内容': '酒店是家庭式酒店，感觉很不方便，拿着行李到酒店也没有人帮忙拿行李，还要爬一段楼梯，而且酒店都是菲律宾人接待，汉语交流肯定不行，需要英语交流，其他倒是没什么。', '短评打分': 3}
{'短评内容': '酒店房间好像是房中房改造的,条件很差,设施也很破旧,有种上当受骗的感觉.', '短评打分': 3}
{'短评内容': '内部环境很一般其实这家酒店就是一个家庭旅馆似的自己开的而且地理位置也很难找,里面的服务员都是讲英语完全没有办法沟通,性价比也很一般,我下次肯定是不会去住了.', '短评打分': 3}
{'短评内容': '服务热情周到，旅店安全。', '短评打分': 5}
{'短评内容': '位置很好，其他的像家庭旅馆，刚开始真有点不能接受。对比了其他酒店，这家性价比还算不错的。', '短评打分': 5}
{'短评内容': '白蚁成灾，这辈子没住过这么差的旅馆，太恐怖了。坐了一晚，压根没睡！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '酒店的位置还可以，但是服务不是特别好，而且设施比较简单。', '短评打分': 3}
{'短评内容': '酒店外面是没有招牌和门牌号的,所以找起来比较麻烦,而且内部接待都是用英语的,这点比较麻烦,不过其他方面都还好,房间也蛮干净舒适 .', '短评打分': 3}
{'短评内容': '房间太小了。。。与地铁很近，去那里都方便。在尖沙嘴能有这样的地方住已不错了', '短评打分': 5}
{'短评内容': '位置还不错，酒店有来接，很方便，房间的卫生和设施在这个价位来说还行，服务也可以，我觉得性价比还是比较高的', '短评打分': 3}
{'短评内容': '房间挺干净的，位置也比较方便，不过酒店设施比较一般', '短评打分': 3}
{'短评内容': '酒店各方面感觉都挺好的,没有遇到什么问题,而且价格也还算合理,可以推荐!', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 1}
{'短评内容': '卫生很差浴巾上面都有蚂蚁我小孩的手都被蚂蚁咬了旁边都有小红斑,而且我问他们要插座还要钱,地理位置还可以的,服务真的很差那个接待员真的没法沟通国语也不会除非是用英语和它说话,价格也很高性价比很差,房间都很小,我再也不会去住了它就是那个居民楼里面改造的家庭旅馆根本称不上什么酒店,特差.', '短评打分': 3}
{'短评内容': '找的时候不是很好找而且外面没有港龙酒店牌子我还是当时问了路人才找到的,里面的卫生是可以的而且也挺安全出门进门都得刷卡也不错,服务态度也挺好的,总体感觉这家酒店还是不错的.', '短评打分': 3}
{'短评内容': '酒店的房间面积太小了,住起来很不舒服的.我觉得香港的酒店几乎房间面积都很小.下次要了解清楚再选择了.', '短评打分': 3}
{'短评内容': '酒店在民宅里面，硬件条件也比较简单，相对于价格来说还是高了点，就是位置还算可以。', '短评打分': 3}
{'短评内容': '酒店的房间空间 很小，大概8平方米，床也小，性价比一点不都好', '短评打分': 3}
{'短评内容': '根本不是酒店,就一个没有标识的民宅,所谓的前台,就是和住宿不同单元的民居,当地人都不知这里是旅馆,遇到几个当地警察还带着大陆过去的受骗者问路.什么电话都打不出去,接待的人员只会SORRY.一套大房子,隔出的几个小单间,里面基本没有描述的设施,香港本来就小,到处都是地铁站,所以在什么地方住,交通都不是问题.性价比太差.', '短评打分': 1}
