{'短评内容': '感覺有點鬱悶，沒以前的住的舒服。不過去西湖河坊街蠻近的', '短评打分': 5}
{'短评内容': '当初定房的时候是看的图片，觉得该酒店的风格还是蛮新颖的，但是实际入住以后才发现，图片真的并不能代表什么，我入住的是主题大床房，就是每个房间都会有各自的动漫人物，可房间进去以后才发现，所谓的主题，就是家具上有米老鼠的卡通造型罢了，墙上糊的是普通的条形墙纸，没有一点让人耳目一新的感觉，而我们这间的卫生间玻璃门，竟然是关不上的，呈自动打开状态，你关合它就自动打开，根本没法关闭，而玻璃门上竟然还贴着某某玻', '短评打分': 1}
{'短评内容': '地理位置优越，周边小吃很多，离景点也很近', '短评打分': 5}
{'短评内容': '挺不错的，店员都热情细心。就是管理上有点衔接不上，我想与新店有关，所以可以原谅。\r\n离西湖挺近的，价格还是一般。', '短评打分': 3}
{'短评内容': '服务员态度很不错。细心也热情。就是管理有点乱。可能是新酒店的缘故。我最后要走的那天本来是开卡的，因为服务员对POS机器的不熟悉，我又有赶着去坐动车，没开成。\r\n总的来说，挺不错的。希望继续努力！', '短评打分': 5}
{'短评内容': '很干净，前台服务一般，设施蛮好，就是房间小了点', '短评打分': 5}
{'短评内容': '房间比如家的大\r\n卫生很干净\r\n还配电吹风\r\n有数字电视\r\n位置离西湖大约15分钟的步行\r\n很满意', '短评打分': 5}
{'短评内容': '房间很漂亮，打扫卫生的阿姨很热情，住的也很舒服。', '短评打分': 5}
{'短评内容': '晚上挂了一个牌子本来是请勿打扰，结果挂反——请速打扫！汗！不过还好没有人前来，整体上还不错了\r\n', '短评打分': 5}
{'短评内容': '适合情侣居住的浪漫房间，但是隔音不好，赶上旁边的大叔不睡觉看电视，没有睡好', '短评打分': 5}
{'短评内容': '主题房间很有个性，推荐带小孩的来感受下。\r\n整体色调很明亮，但暗的卫生间多少有点潮湿的味道。', '短评打分': 1}
{'短评内容': '感觉还不错。就是隔音效果有待赶上', '短评打分': 5}
{'短评内容': '房间有点小 但是还算比较舒适 没有拖鞋希望改进（幸好自己带了） 酒店的位置不错 出门很方便 离西湖也不远 坐公交也就十几分钟 ', '短评打分': 5}
{'短评内容': '酒店不错，很温馨。。。。原来订的是单人间，但去的时候没有了。住的是大床单，红色的色调。女友说有种家的感觉，电视是华数电视，很不错，能够看自己想看的节目。。网速稍微慢了点。。其他都还不错，服务也周到', '短评打分': 5}
{'短评内容': '蛮有趣的\r\n', '短评打分': 5}
{'短评内容': '住的舒服', '短评打分': 5}
{'短评内容': '酒店在市中心\r\n吃的和SHOPPING的地方都很方便\r\n房间有点小 但是很整洁 牙杯 茶杯都很家居型\r\n晚上玩到2点菜会酒店  整个酒店外壳上都是MICKEY的头像 毛可爱\r\n', '短评打分': 5}
{'短评内容': '我们住的是动漫主题大床房的白雪公主系列，从装修到家具的配置都是费了一定的心思的，酒店附近餐饮齐全、交通比较便利，步行至武林广场十分钟左右。就是新装修的缘故，酒店的味道还是有点重，另外淋浴房下水有点慢，不过第二天也解决了。下回还会考虑这家酒店。', '短评打分': 5}
{'短评内容': '3楼的房间墙纸都脱落了噢', '短评打分': 5}
{'短评内容': '哈哈 喜欢~ 后悔怎么没早发现。下次来住白雪公主的房间', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '里面装饰很好，很适合年轻人，很有动漫气氛，地段也不错！', '短评打分': 5}
{'短评内容': '超可爱的主题酒店呢，确实很干净的说，会推荐朋友去住哦', '短评打分': 5}
{'短评内容': '主题大房很舒服，卫生间超级干净，装修细节很到位', '短评打分': 5}
{'短评内容': '在市中心 这种价格 这种服务 这样的设施 个人认为是值当的 就是隔音效果不是很好 其他都不错', '短评打分': 5}
{'短评内容': '干净舒适还是挺符合我的要求的，网线也够长，可以把本本拿到床上看，就是洗脸盆上的龙头出水太小了，不方便使用，其他还是蛮好的，特别是地理位置，还能停车，不错哟！', '短评打分': 5}
{'短评内容': '我住的是最好的主题房，里面还是小的离谱，特别不推荐，也看不出什么主题，就是墙纸什么的用统一的颜色，被单还是白色，基本可以算是糊弄。', '短评打分': 1}
{'短评内容': '前台服务态度极差', '短评打分': 1}
{'短评内容': '服务态度非常好，房间设施也很不错，很干净，唯一的缺点就是房间因为刚装修好不久，味道有点大，不过这个酒店真的非常值得推荐，隔音效果也不错！以后去杭州还会去住', '短评打分': 5}
{'短评内容': '总体不错 房间设计的很好看 主题酒店 很卡通，适合情侣来住 出差住的话。。。有点太可爱了', '短评打分': 5}
{'短评内容': '喜欢噢~ 好可爱。 附近也好逛', '短评打分': 3}
{'短评内容': '200多的房子,设施齐全,前台服务很好,房间风格也很适合年轻人,酒店的电影系统不错,在房间可以看到很多免费的大片,还有动漫,很爽.地理位置方便,步行去西湖只用15分钟,旁边还有个小商品城,离机场大巴站也不远,步行大概20分钟左右.缺点是隔音不大好.总体来说还不错,在可以接受和值得推荐的范围之列,下次再去杭州,还要住这里!(看一晚上动画片的感觉很爽```还有NNNN多电影,哈哈```)最后,感谢酷漫', '短评打分': 5}
{'短评内容': '不推荐，房间超小，空间超小，隔音差，房间里有一股味道，', '短评打分': 1}
{'短评内容': '不错的酒店，经济实惠。', '短评打分': 5}
{'短评内容': '卫生间的隔音非常好，睡的不错', '短评打分': 5}
{'短评内容': '酒店位置非常好，很方便，就在市中心，因为是卡通漫画为主题的酒店，布置的也非常有特色，就是房间面积有些小，我住的那个房间不知什么原因没桌子，上个网什么的不方便，房间里很干净，设施也非常新，因为也是新开的酒店，服务都还好，下次还会入住。', '短评打分': 5}
{'短评内容': '房间很小，已经选了比较大的商务大床了，还是连转身都困难', '短评打分': 1}
{'短评内容': '热水来的有点慢 ，我住的房间墙壁雪白的，没卡通啊，其他的还好', '短评打分': 5}
{'短评内容': '地理位置不错  性价比高\r\n\r\n\r\n不错的选择', '短评打分': 5}
{'短评内容': ' 喜欢噢。 好可爱的。 就是电视怎么收不到很多台', '短评打分': 5}
{'短评内容': '这价钱这位置已经很好了，虽然是精致单人间\r\n要说的是单人间枕头就真的只给一个。。。这还是头一会见\r\n隔音的确不太好，退房在电梯口等电梯的时候突然传来很剧烈的“不和谐”的声音...要是小朋友在就不好了。而且晚上也能很清楚地听见隔壁的声音。\r\n房间没有窗户是很不爽，而且我看了下这墙明明是可以开窗的，房间味有点大\r\n总体来说还是蛮不错的，喜欢动漫的还是推荐入住的', '短评打分': 5}
{'短评内容': '小了一点，总体来说不错。特别是位置。', '短评打分': 5}
{'短评内容': '精致单人房确实比较小,一个小床占据大部分空间,房间似乎装修味道还有,只好一直开窗通风', '短评打分': 5}
{'短评内容': '我和朋友住的米老鼠主题房，房间好可爱~~~~~爱死了，就是隔音不好，隔壁小朋友看动画片的声音很清楚呀。', '短评打分': 5}
