{'短评内容': '给孩子看漫展订的，环境不错，房间特大，孩子很喜欢', '短评打分': 5}
{'短评内容': '酒店的各方面服务还算可以..位置还是比较方便出行的.服务也挺周到的.总体感觉不错', '短评打分': 3}
{'短评内容': '还是不错的，经常去这家的！', '短评打分': 5}
{'短评内容': '这个酒店的设施比较老旧，不过还是挺干净的，挨着上海南站，交通还是比较方便的。', '短评打分': 3}
{'短评内容': '上次住的是周日特价房，价格实惠，房间环境也挺好的，而且这家店离我要去的地方又特别近，我很满意 ', '短评打分': 3}
{'短评内容': '窗户和其它房间对着，看不到太阳，这点不太好，其它都还OK，下次还可以考虑。', '短评打分': 5}
{'短评内容': '房间还是蛮大的，周边交通方便。', '短评打分': 5}
{'短评内容': '位置还可以,比较方便,有直达地铁和车站的公交车,闹中取近.设施比较旧了,特别是卫生间.房间没有大灯,只有壁灯.书桌前没有梳妆镜比较不方便.', '短评打分': 5}
{'短评内容': '能入住这样的酒店，我感到满意。态度很好，让我有非常舒适的感觉，汉庭是个好的连锁酒店。', '短评打分': 5}
{'短评内容': '能在国庆长假的时候，找到这样一个信价比高的酒店，心里感觉舒适，为此我还得到了公公的认可，觉得我会当家，哈哈~！', '短评打分': 5}
{'短评内容': '如果把浴帘换成玻璃推门就好了', '短评打分': 3}
{'短评内容': '很干净，很舒服，单人房的床也很大，前台很热情，就是房间灯光不够明亮，走廊好长，有点晕', '短评打分': 5}
{'短评内容': '酒店还是蛮干净的。。房间也挺温馨。。单人间的床也够两个人睡。嘿嘿。。而且可以上网。很不错', '短评打分': 5}
{'短评内容': '服务人员态度非常好，酒店房间也挺大的，下次有机会还会住的，', '短评打分': 5}
{'短评内容': '其他地方都比较好，环境也不错，周围也不是很偏僻，就是有一点，说是南站店，但离南站还是有一定距离的，打车要12元左右。一般出租车司机都嫌弃近，不愿意拉。', '短评打分': 5}
{'短评内容': '住的很不错，一进大堂前台的问候很热情，服务很周到，客房的服务员也很热情，住的很舒服，下次一定还住。', '短评打分': 5}
{'短评内容': '住了一天30平的大房间，房间很大，但是房内设施与普通房一样，反而觉得空旷，周日特价百元房性价比最高。', '短评打分': 5}
{'短评内容': '酒店服务不错，主要是硬件设施不错，卫生条件也很满意，如果下次还去这里的话还会考虑汉庭', '短评打分': 3}
{'短评内容': '这个酒店就是离南站近，离市区还是有段距离的，在这个位置来说价格还是可以接受的，里面条件很不错，房间里设施简洁整齐，短期住的话，能用到的基本都有，还不错。', '短评打分': 3}
{'短评内容': '就是每层房间太多，到自己客房找了很长时间。', '短评打分': 5}
{'短评内容': '房间条件很不错，服务很周到，一开始安排的房间没有阳光，给服务员说了下就给调换了，就是 位置离地铁站1号线站有点远', '短评打分': 5}
{'短评内容': '酒店还是不错的,干净舒适,价格是很适中,交通也很方便；总体感觉性价比还是较高的,下次有机会过去,还会选择这家酒店；', '短评打分': 5}
{'短评内容': '酒店有点偏,不过离南站比较近,交通还算方便,房间里面也很干净,住着挺舒适的,如果有问题,也能及时解决.', '短评打分': 5}
{'短评内容': '没想象中的好，但还是不错的，各方面都行', '短评打分': 5}
{'短评内容': '房间比较干净，服务也不错，就是设施有点旧，总的来说还可以', '短评打分': 5}
{'短评内容': '卫生很好，很干净，服务也不错，酒店的地理位置也挺好，交通很方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '酒店很好,交通方便,价格合理,去哪个城市一般都选择汉庭;这个酒店可能开始时间相对长一些,不过总体感觉还是不错的;', '短评打分': 5}
{'短评内容': '很好的地方~！环境非常好房间也很大~~\r\n喜欢汉庭', '短评打分': 5}
{'短评内容': '酒店的环境服务，以及配套设施都很不错，位置 便利，价格适中。', '短评打分': 5}
{'短评内容': '有些可能会引起的损失要提前说明\r\n比如床单弄脏,这个是不可避免的，缺要另外高额收费!', '短评打分': 5}
{'短评内容': '我们是旅游到上海，一路住过杭州苏州的汉庭，感觉上海这个没有之前的两个好，这个店的环境服务其实都还不错，不过他位置确实不好找，但是在南站附近，如果要去南站还是会选这里。', '短评打分': 5}
{'短评内容': '住过几次，感觉酒店非常不错，价格便宜，位置也比较方便', '短评打分': 5}
{'短评内容': '这家酒店位于南站附近交通出行都很方便,环境卫生也很好,价格也很优惠.对这家酒店和满意入住时的价格也很优惠.', '短评打分': 5}
{'短评内容': '房间的空间挺大，卫生干净，比较舒适，位置离火车南站很近，交通比较方便', '短评打分': 5}
{'短评内容': '酒店挺不错的，价格合适，交通也挺方便的，环境服务都不错。', '短评打分': 5}
{'短评内容': '酒店的价格很便宜,服务卫生都还不错.环境设施也很好.整体来讲都是很不错的商务连锁酒店.', '短评打分': 5}
{'短评内容': '酒店环境挺好的,也很干净,而且房间的空间很大,布局也很好,很喜欢住汉庭', '短评打分': 5}
{'短评内容': '酒店各方面感觉都还不错,而且位置非常好,离火车站不是很远,价格也不贵', '短评打分': 5}
{'短评内容': '性价比不错，就是那个回旋的走廊，实在是太晕了~房间设施一般，卫浴方面还行，行李架，鞋架，书籍这些人性化设施还是不错的，床睡着也还不错，房间刚进去那会儿有点异味，希望旅店以后在客人入住前开窗通风。', '短评打分': 5}
{'短评内容': '房间很干净,很舒适,而且位置也不错,离火车南站不远,只是在小巷子里不太好找', '短评打分': 5}
{'短评内容': '房间隔音不是很好,但是位置不错, 而且价格也很实惠,如果把隔音方面做好,还是很不错的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '1.无法拉开窗帘,房间窗户和对面房间的窗户相对且相隔不到两米——真是奇怪的户型.&lt;br /&gt;\n2.洗完澡发现房内无吹风机,电话前台希借用一个,被告知需下楼自己去前台取,无奈穿整齐衣服下楼,又被告知吹风机已被借光!住了3天,多次跑到前台询问是否有吹风机,直到最后一天下午才侥幸借得一个.&lt;br /&gt;\n3.中午出门吃饭,下午3点回房,发现还未打扫卫生,致电前台,才有服务人员姗姗来', '短评打分': 3}
{'短评内容': '感觉还不错', '短评打分': 3}
