{'descr': '地理位置好，交通方便，不错。', 'star': 5}
{'descr': '空间有点小，位置很方便，隔音效果一般', 'star': 5}
{'descr': '我订的特价房，由于到店的时候没有特价房了就免费升级了。房间还不错，比较干净。自己出去玩，不想多花钱还想安全放心，住这样的酒店就不错了。', 'star': 5}
{'descr': '住了一晚，感觉都还行，价格也不贵', 'star': 3}
{'descr': '房间很干净，性价比高', 'star': 5}
{'descr': '酒店的性价比还是可以的,值得推荐.', 'star': 3}
{'descr': '很不错，地段也很好', 'star': 5}
{'descr': '总体不错，周围交通便利，服务好，床很大，喜欢浴室的构造。但隔音比较差，隔壁说话、卫生间流水声音都能听见，墙壁好像是挡板隔开的。', 'star': 3}
{'descr': '地理位置优越，离火车站、东购7分钟步行。环境优雅，服务周到，室内很温馨。但是感觉墙壁似乎是挡板隔开的，敲击时有镂空感觉，隔音也不太好。隔壁洗澡的流水声都能听见。其他的都很好。', 'star': 5}
{'descr': '建议做隔音', 'star': 5}
{'descr': '希望服务人员多点笑容，多点耐心。。', 'star': 5}
{'descr': '酒店的地理位置还是不错的,出行比较方便,房间里的环境也蛮好的,价格也不贵,就是临街的房间会感觉比较吵.', 'star': 3}
{'descr': '酒店整体感觉还是不错的,住的挺舒适的,值得推荐.', 'star': 3}
{'descr': '在石家庄这个酒店还是很不错的，很安全，性价比也很不错，还能用优惠卷，就是餐厅差了一点，不过可以去外面吃', 'star': 5}
{'descr': '这家酒店整体给我的感觉还是可以的，价位适中，位置比较优越，出门即是公交站台，我以后还会选择！', 'star': 5}
{'descr': '服务还不错，干净卫生', 'star': 3}
{'descr': '服务不错，比较干净', 'star': 5}
{'descr': '房间还不错,酒店的服务态度也还行,位置还是挺好找的,性价比还是比较不错.', 'star': 3}
{'descr': '还是比较不错的一家酒店,服务还可以,位置是挺好的,性价比还不错,总体感觉还是比较不错的一家酒店.', 'star': 3}
{'descr': '就是好', 'star': 5}
{'descr': '总体说还不错 就是特价房没有窗户 早上很容易睡过头。。。', 'star': 5}
{'descr': '位置离我要去的地方比较近,而且酒店里面也很干净,就是房间面积有点小,采光不太好,总体住着也还可以吧,价格也合适.', 'star': 3}
{'descr': '特价酒店不错，性价比高，服务好，房间也挺舒适、暖和。', 'star': 5}
{'descr': '订的139的特价房，结果入住时被告知特价房在维修给免费升级到了商务大床房。虽然没能看到特价房是什么样子，但这商务大床房真的是不错。浴室、卫生间和洗脸盆是用玻璃隔断的，既不占额外空间又显得时尚，还增加透光度。比如家和七天的风格要现代的多。房间隔音也不错，不像如家墙那么薄。', 'star': 5}
{'descr': '卫生间有点小~', 'star': 5}
{'descr': '卫生，服务都很好，就是临街的房间噪音太大，影响休息。', 'star': 5}
{'descr': '环境挺好 也挺舒适 很满意！', 'star': 5}
{'descr': '位置还是不错的,位于市中心,出行都很方便,但就是房间有点小,感觉不太舒适,卫生服务方便都很不错.', 'star': 3}
{'descr': '订的139元特价房，房间很干净，就是毛巾有点儿旧，设施比较新，卫生间略小，是暗房，没窗户；大堂可以凭房卡或会员卡上网，还不错，美中不足就是每卡只有80分钟；门前有多条公交线路，出行挺方便，临近新百商场，逛街也挺近的；电梯要刷房卡才能运行。总的来说，性价比较高，值得一住。', 'star': 3}
{'descr': '订的139元特价房，房间很干净，设施也比较新，只是是暗房，没有窗户，卫生间略有点儿小，但性价比还是不错。门前公交车线路比较多，出行比较方便，临近新百商场，逛街也不错。', 'star': 5}
{'descr': '住的是没窗户的房间，个人比较满意，没窗户倒是比较安静，不过我1个人给我安排的是双床间，从我几次入住的情况来看，某些前台人员素质较差，出现过有大床间却故意给安排双床间的情况。管理上有待提高。', 'star': 5}
{'descr': '还不错，就是餐厅菜太一般。有免费咖啡，上网还可以。', 'star': 5}
{'descr': '总体不错。当天晚上入住房间没有拖鞋，后来前台给送上来两双；浴室的浴液瓶也没有安装到位，当然里面也没有洗发水和浴液。', 'star': 3}
{'descr': '总体不错。当天晚上入住房间没有拖鞋，后来前台给送上来两双；浴室的浴液瓶也没有安装到位，当然里面也没有洗发水和浴液。', 'star': 5}
{'descr': '服务人员到位！！', 'star': 5}
{'descr': '汉庭的风格我很喜欢，环境不错，房间很干净，设施也比较新，前台的服务不错，这边出行还是很方便的，我觉得这家酒店性价比还是比较高的 值得推荐', 'star': 3}
{'descr': '服务和卫生非常好，只是毛巾有些旧，但很干净，关键是服务很周到', 'star': 5}
{'descr': '环境和地理位置都非常不错，很好，有机会还去那住。', 'star': 3}
{'descr': '非常好，就是上网时间长点就好了，  房间中有电脑更好', 'star': 3}
{'descr': '酒店价格很公道，而且有商务中晚餐，比较适合出差在外的人短期住。', 'star': 5}
{'descr': 'ok', 'star': 5}
{'descr': '酒店环境很好，服务业不错。', 'star': 3}
{'descr': '酒店服务不错，交通方便，条件一般，房间隔音差，暗窗', 'star': 5}
{'descr': '交通方便，条件一般，房间隔音差，暗窗。', 'star': 5}
{'descr': '非常值得住这个酒店', 'star': 5}
{'descr': '酒店服务不错，红茶和绿茶都很好，不过我住的房间靠街，双层窗户安装得不够严密，感觉隔音不太好。', 'star': 5}
{'descr': '环境不错，也许是入住的客人较多吧，但看起来毛巾和浴巾都比较旧，还不如地巾看起来好，中间让换手巾，结果不知何故也没还！', 'star': 5}
{'descr': '这家酒店设施方面有些陈旧了,隔音效果也不是很好,就是位置比较不错的,交通蛮方便的.我感觉没有上次住的如家类型的好.', 'star': 3}
{'descr': '满意，网络稍差点', 'star': 5}
{'descr': '适合商旅、', 'star': 5}
{'descr': '我感觉环境还是不错的,住宿条件还不错.尤其酒店位置很好,周边交通很方便的.整体感觉还是不错的,值得推荐', 'star': 3}
{'descr': '位置很好，这边交通很方便，房间的卫生和设施也都还不错，服务也还算周到热情我觉得这是一家性价比较高的酒店，整体感觉还是值得推荐的。', 'star': 3}
{'descr': '酒店卫生条件很好，很干净，服务也很热情周到，相对价格和舒适程度都不错，下次也会推荐给朋友们入住', 'star': 3}
{'descr': '房间挺干净的，服务也不错，就是设施稍微差了点，价格比较适中', 'star': 3}
{'descr': '很不错，住的很舒服，价格还比较合理，附近交通还比较便利的', 'star': 3}
{'descr': '早餐不行品种特别少不如锦江之星,房间设施还是齐全还不错,地理位置非常好出行非常方便.', 'star': 3}
{'descr': '价格便宜，整体感觉很好。', 'star': 5}
{'descr': '很不错的酒店,服务人员很热情,客房打扫的也非常干净,住着挺舒适,位置也很好,就是停车不太方便.', 'star': 3}
{'descr': '整体感觉不错,热水温度不稳定,忽冷忽热', 'star': 5}
{'descr': '很干净，很舒适。', 'star': 5}
{'descr': '相比较还不错。', 'star': 5}
{'descr': '房间有点小！缺少停车位！', 'star': 5}
{'descr': '我入驻的是周日100元特价房，非常合适，就是停车非常不方便。', 'star': 5}
{'descr': '服务卫生都很不错,交通也比较方便,只是设施有些陈旧,整体还都是很不错的.', 'star': 3}
{'descr': '酒店的各方面都还好，价格便宜，条件设施还可以，性价比可以', 'star': 3}
{'descr': '酒店的退房时间规定不灵活，必须要12点退房，要是晚一、两小时，就要收一天的房费，感觉不合理， 房间装修不如武汉的汉庭好，价格还可以', 'star': 5}
{'descr': '酒店性价比不错,在经济型酒店里汉庭不错,卫生干净整洁舒适,位置很好出行很方便.', 'star': 5}
{'descr': '周日百元很实惠。平时一般。环境服务挺好。房间不是很大，还可以吧。', 'star': 5}
{'descr': '酒店价格很优惠，而且在这个价格来说，我觉得他们房间和内部设施都是很不错的，服务也还可以，位置交通也挺方便的，所以我觉得还是比较不错的。', 'star': 5}
{'descr': '除了空调的风向不太好调，正对写字台外，设施，卫生，地理位置都可以。整体性价比不错!', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通都很好的，价格有点高了', 'star': 5}
{'descr': '性价比一般，房间环境还可以，就是房间有点小', 'star': 5}
{'descr': '服务水平还好，就是早餐的种类还应该丰富一些', 'star': 5}
{'descr': '酒店的硬件条件，环境设施和服务都还不错，交通还算方便，但是周边的生活设施不是很齐全，不过酒店人员的服务很好，很周到也。', 'star': 5}
{'descr': '酒店的整体不错的，卫生间比较小的，服务卫生以及设施都可以的，酒店的位置以及交通还可以的，性价比不错的酒店', 'star': 5}
{'descr': '酒店的服务还是挺不错的，设施也比较齐全，周边交通也还可以了，价格方面也比较合适的。', 'star': 5}
{'descr': '各方面都很不错！只是早晨6点左右附近施工机械的声音有些吵！', 'star': 5}
{'descr': '住的是大床房，第一次觉得快捷酒店有这么大的床，呵呵！感觉不错，但是酒店的枕头不舒服，提出建议，其实当床舒服了，相应的枕头舒服不舒服也是必须的，建议汉庭能设置个类似于质检的职位，定期体验一下自己的客房，这样对于酒店服务提升有好处。\r\n另外酒店距离火车站还算近，打车5-6元之间，但是大床房距离马路非常近，比较吵，建议朋友们选择注意', 'star': 5}
{'descr': '位置、环境都不错就是枕头有点少，看电视的时候不舒服！！', 'star': 5}
{'descr': '出行比较便利，环境挺安排的，住起来很舒适', 'star': 5}
{'descr': '床很舒服,洗澡间很人性化.就是门脸有点小,不好找.牌子不醒目.', 'star': 5}
{'descr': '我订的特价房没有窗户，而且房间装修比较单调，其他的硬件设施和富都还不错，位置也不错，比较方便，价格算是可以接受，如果房间有窗户就更好了。', 'star': 5}
{'descr': '真不错，比别的店强多', 'star': 5}
{'descr': '当初预定的时候也没说屋子里面没窗户,到了酒店才知道屋子里没窗户,要调房间就要加钱,房间还特小,被子什么都是潮唯一比较好的是有两根网线,可以两个人同时上网络', 'star': 1}
{'descr': '房间干净整洁，服务也不错，要是价格在便宜点就更好了', 'star': 5}
{'descr': '服务环境很好，性价比高，地理位置也不错，交通挺方便的', 'star': 5}
{'descr': '一进房间感觉蛮干净的,设施也比较齐全,价格方面还算比较合适的.', 'star': 5}
{'descr': '还好，地理位置好，房间不大', 'star': 5}
{'descr': '房间的电视摆放的位置不好，如果我要躺在床上看就看不到，如果我要把电视转一下方向闭录电视线就会掉，真不到酒店怎么想的，价格到是挺优惠的', 'star': 5}
{'descr': '酒店的环境设施都比较不错，而且位置也挺好的，交通方便，就是他房间太小了，不是特别舒服，所以价格稍微贵点。', 'star': 5}
{'descr': '酒店周围环境挺好的,地理位置很好,交通很便利,价格也蛮实惠的', 'star': 5}
{'descr': '屋子稍小一点,不过睡觉休息还是不错的.可以上网,24小时热水,服务也不错!!', 'star': 5}
{'descr': '当时年前酒店高特价,很便宜.环境卫生都很好,位置出行也非常方便.', 'star': 5}
{'descr': '酒店的房间有点小，不过很干净，地点不错，交通便利，而且和星级酒店比，价格很有优势。', 'star': 5}
{'descr': '酒店的性价比很高.位置出行非常方便,位于市中心位置,环境设施都很不错.价格也很合适.', 'star': 5}
