{'短评内容': '位置好，房间蛮大，适合带宝宝', '短评打分': 5}
{'短评内容': '你值的去的酒店', '短评打分': 5}
{'短评内容': '不错，感觉很好', '短评打分': 5}
{'短评内容': '这家酒店位置很好，而且也很奢华，但好奇为什么住客那么少，难道是都被富丽堂皇的外表给吓退了？17层的中空大厅很气派，酒店里无论是过道、电梯间、还是房间里，满眼都是金色，到处都是镶嵌的金边。说实话自己不太喜欢这种风格，有种暴发户的感觉。设施很齐备，也很新。\n\n唯独要提一点就是服务，效率低下态度冷漠。一进屋要开窗通风，结果窗户是锁着的。打电话叫服务生，人家还一个劲的劝不要开窗，估计是怕弄脏了屋里。在我的', '短评打分': 5}
{'短评内容': '我觉得这家酒店挺好的，环境不错，位置也方便，要是价格在低点就更好了', '短评打分': 3}
{'短评内容': '酒店在市中心，上下班高峰叫车不是特别方便，但是条件非常好，而且服务态度也很不错，当时是店庆价格，很优惠，挺不错的。', '短评打分': 3}
{'短评内容': '好，不错', '短评打分': 3}
{'短评内容': '好、很好、相当好', '短评打分': 5}
{'短评内容': '酒店的硬件设施和服务态度都很好！交通也很方便。', '短评打分': 3}
{'短评内容': '豪华', '短评打分': 3}
{'短评内容': '人间天', '短评打分': 3}
{'短评内容': '豪华，大气，古巴洛克风格', '短评打分': 5}
{'短评内容': '基本满意', '短评打分': 5}
{'短评内容': '入住人很少，比较清静。一进门就有一种到处金碧辉煌的感觉，很有澳门特色。整体的颜色是蓝色 金色，很葡萄牙风格。入住的是顶层的豪华套房，感觉挺宽敞舒适的，隔音效果也不错。一楼正中间价值一个亿的法国壁炉很气派，一二层还有几个古董座钟非常的精美。卫浴用品都是欧舒丹的，是我老婆喜欢的牌子。餐厅品质不错，而且也是惊人的清净。基本上总是只有我们一桌的包场状态。自助早餐还算丰富，蛋糕房的甜品水平一般，但是价格亲民', '短评打分': 3}
{'短评内容': '人比较少，环境不错，进去就感觉到处都金碧辉煌的，很有澳门风格的。因为住的是顶层，所以可以俯瞰下面，很宏伟气派。房间内也很宽敞舒适，隔音效果不错，就是做卫生的人有时候东西放不全，总是要叫客房服务，有点麻烦，酒店里人太少了，以至于很多时候找不到服务员在哪。还有门童，一到晚上就很难找到来开门的门童。', '短评打分': 5}
{'短评内容': '一切都金碧辉煌，属于白金5星级的，是北京最好、最有特色的酒店。装修的风格和欧洲的古老豪华酒店一模一样，简直让你感觉又回到了欧洲。入住时免费升级到豪华套间，超值。', '短评打分': 5}
{'短评内容': '很豪华', '短评打分': 5}
{'短评内容': '整体来说还可以,服务态度很好!交通也很方便.性价比还是比价高的.值得推进给大家!', '短评打分': 3}
{'短评内容': '离王府井得新东安市场只有5分钟的步行时间，还算不错。外立面很气派，门口一直有两辆蓝色的劳斯莱斯停着。进去后发现也很奢华的感觉，像赌场的那种。中空设计的楼层让人有了种开阔的感觉。房间装饰的也很不错，细节处理的很到位。值得一提的是酒店的健身房，里面那个胖胖的健身教练很热情！会告诉你改如何健美自己！', '短评打分': 5}
{'短评内容': '很不错的酒店，房间很大，就是早餐品种不是很多！', '短评打分': 5}
{'短评内容': '酒店的硬件设施不错的，服务还需要提高了，酒店的位置不错的，出行很方便的，酒店的价格有点高了。', '短评打分': 5}
{'短评内容': '酒店装修非常漂亮，欧式风格的，可能家具的原因，房间显得不大，服务很好，住得也很舒适，有点遗憾早餐一般。办理入住、结帐手续都挺迅速的，服务态度也不错。我愿意把这家酒店推荐给朋友，下次来北京还住这儿。', '短评打分': 5}
{'短评内容': '我总体觉得挺好，就是房间装修的不到位。', '短评打分': 5}
