{'descr': '房间很干净', 'star': 5}
{'descr': '这个格林豪泰就在古城地铁站往西乘公交一站路，比较容易找，卫生不错，房间很好，只是要是去北京靠东一点的位置需要浪费不少时间。', 'star': 5}
{'descr': '符合这价的标准，不错', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '虽然是一般 但性价比很高 价格也不贵 可以了 ', 'star': 5}
{'descr': '房间宽敞，干净', 'star': 5}
{'descr': '房间宽敞，干净，很不错，', 'star': 3}
{'descr': '房间宽敞，干净，很不错，', 'star': 3}
{'descr': '总的还不错，就是位置偏了一点，离地铁比较远，还有浴室的喷头有点问题', 'star': 5}
{'descr': '总体还可以', 'star': 5}
{'descr': '隔音太次  能清楚听见隔壁说什么', 'star': 5}
{'descr': '地理位置稍偏，出门打车较麻烦', 'star': 5}
{'descr': '地点有点偏，在老站下地铁以后直走两千多米呢。其他的都可以，房间还算干净，很暖和，我都要开窗睡觉呢。', 'star': 5}
{'descr': '环境还好，床不舒服', 'star': 5}
{'descr': '地理位置稍偏，出门打车较麻烦', 'star': 5}
{'descr': '地方比较偏僻，不好找。\r\n洗澡水很凉。\r\n房间没有针线包等', 'star': 1}
{'descr': '一般，有个别服务员态度不行，设施有些旧，五楼的房门不好开。其他都还好啦。', 'star': 5}
{'descr': '位置自驾车比较好找，周边环境清静。卫生条件很好，服务也不错。就是房间的隔音效果有些差。推荐商务及休闲入住。', 'star': 5}
{'descr': '地点偏了点，性价比不错', 'star': 5}
{'descr': '服务态度比较好，三星级酒店里也不多见的好态度，但位置稍偏，且设施有点旧，其他都还不错啦！', 'star': 5}
{'descr': '以后应该不会再去了，地砖特别滑，而且房间大门居然是坏的，第二天早上才发现，现在想想都后怕。暖气不是很暖，晚上睡有点冷', 'star': 1}
{'descr': '挺好的，尽管位置较偏，但有地铁在附近，很方便。就是洗澡安排的不太科学，只用浴帘，要是全是钢化玻璃就更好了，水不会溅出来。', 'star': 5}
{'descr': '就是说太偏了，虽然有还算直达的公交车，但周围很荒凉。', 'star': 5}
{'descr': '性价比很高的一个酒店 ```不错', 'star': 5}
{'descr': '总体不错。服务态度好，热情。', 'star': 5}
{'descr': '房间很宽敞，卫生不错，唯一的缺陷就是床硬了点', 'star': 5}
{'descr': ' 交通方便,价格实惠,好评!', 'star': 5}
{'descr': '在同等价位的连锁酒店里，我觉得这个酒店性价比最高了。还有免矿提供，而且洗漱用具都很齐全，吹风机也是在房间内的，不像某些经济连锁酒店一层楼使用一个吹风机。我很喜欢这个酒店，服务态度也相当好。以后会常来的。', 'star': 5}
{'descr': '晚上在这里睡觉很安静，性价比高。很对得起这个价钱。给个好评！就是感觉这儿的电有点问题~', 'star': 5}
{'descr': '感觉环境一般，地段也有点偏，价格到合适', 'star': 3}
{'descr': '真的不错哦~~隔音没有不好~~但是电视信号不太好~~~而且大床房没有标准间那么好看~~~灯偶尔有坏的~只是到现在我也不知道那个电话能不能直接呼叫前台~~\r\n总体不错！！很满意~', 'star': 5}
{'descr': '性价比不错', 'star': 5}
{'descr': '出了地点偏，没饭吃，什么都好', 'star': 5}
{'descr': '非常棒', 'star': 5}
{'descr': '我一般到这边办事都选这家酒店,很一般,性价比还算可以,位置离市里远了些公交不方便,打车或者开车还可以.', 'star': 3}
{'descr': '性价比很好，就是位置有点偏，不过位置好也不可能这个价了呵呵\r\n房间的设施挺全的，有些细节很贴心，如果隔音再好点就好了', 'star': 3}
{'descr': '性价比很好，就是位置有点偏，不过位置好也不可能这个价了呵呵\r\n房间的设施挺全的，有些细节很贴心，如果隔音再好点就好了', 'star': 5}
{'descr': '内部环境还是挺不错的就说位置有些偏远了不是太好找,服务态度还行,房间也很干净很舒适,性价比还是挺不错的.', 'star': 3}
{'descr': '总体来讲比较值,但是房间隔音效果不好，房间很干净、设施很不错，感觉像是大多的快捷酒店，但价格比价有优势。', 'star': 3}
{'descr': '总体来讲比较值 但是房间隔音效果不好', 'star': 5}
{'descr': '单间床很大，挺舒服！', 'star': 5}
{'descr': '淋浴的喷头设计不太好，水总是 会流到外面来。服务员的态度不是很好。', 'star': 5}
{'descr': '酒店挺干净的，设施条件和地理位置都比较不错，价格也比较优惠的，挺好的。', 'star': 3}
{'descr': '性价比很高～～很喜欢 呵呵', 'star': 5}
{'descr': '酒店的位置有点偏，交通不是特别方便，不过服务还不错，干净舒适。', 'star': 3}
{'descr': '位置还行，出行是很方便的，房间的装修和设施有点旧了，服务还行，整天感觉性价比还过的去吧', 'star': 3}
{'descr': '还不错～就是远点，隔音有点差', 'star': 5}
{'descr': '那地方太难找了，而且房子隔音很差很差，中间有个走廊我都能听见对面的房间的说话声', 'star': 1}
{'descr': '就是位置稍微有点偏，其他的都很好。。', 'star': 5}
{'descr': '不错，很好，如果90元的学生房能预订就好。', 'star': 5}
{'descr': '还算干净~性价比很高~下次还会住~', 'star': 5}
{'descr': '这家酒店还是挺不错的,房间很干净也很舒适,酒店服务态度也还可以,位置还是挺好找的,性价比还不错.', 'star': 3}
{'descr': '总体感觉还是比较比较不错的酒店,房间的卫生和设施都还行,服务也不错,位置是稍微有些偏,性价比还可以.感觉还不错.', 'star': 3}
{'descr': '酒店的服务还不错，设施条件算是可以，但是床太硬不舒服，而且位置有点偏，交通不方便。', 'star': 3}
{'descr': '还好吧。', 'star': 5}
{'descr': '下次还会去住。。\r\n\r\nhttp://www.77hotel.cn', 'star': 5}
{'descr': '连锁酒店 名不虚传\r\n就是地点偏 饮食差', 'star': 3}
{'descr': '优点：连锁酒店 名不虚传 \r\n缺点：地点偏 饮食差', 'star': 3}
{'descr': '优点：连锁酒店 名不虚传 \r\n缺点：地点偏 饮食差', 'star': 5}
{'descr': '我住的时候，正好管道维修，停热水，没法洗澡，价格到是很优惠，而且内部的环境也不错', 'star': 3}
{'descr': '性价比较高。位置不太好', 'star': 5}
{'descr': '优点就不说了，住着还是很满意的  有两点不太好的地方说一下，一是隔音效果不好；二是淋浴的头是固定的 没法动，很不方便。 希望能改进  总的说还是不错的！', 'star': 5}
{'descr': '整体感觉不错，但被子我睡了两晚，感觉有点过敏，不知道潮的缘故还是什么，价格到是非常的便宜的', 'star': 3}
{'descr': '因为是考试入住，人很多，当时没有房间了，幸好提前定了，而且经理让我们预定但没有相应房价的房的客人都免费入住更高一价位的客房。服务挺好的，野蛮干净的。性价比很好。', 'star': 5}
{'descr': '这个酒店离我要去的地方比较近，所以临时选择的这里，环境条件都很一般，价格倒是挺便宜的，不过房间不隔音。', 'star': 3}
{'descr': ' 酒店的价格比较合适，但是卫生、服务、设施等还有待提高，谢谢！', 'star': 3}
{'descr': ' 酒店的价格比较合适，但是卫生、服务、设施等还有待提高，谢谢', 'star': 5}
{'descr': '第一印象：服务非常好！\r\n第二点：性价比很高。\r\n具体：住了网上128的房间，128和155是一样的房型，就是128每天特价5间。床很大，2*1.8的，房间也不小，设施也还不错，适合自助游或者情侣短时居住。', 'star': 5}
{'descr': '交通上自驾车会方便一些，淋浴固定在墙上不太方便', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '我之前也住过这家酒店,房间的卫生和设施上还是不错的,住着很舒适,但就是交通不是太方便,离地铁站有点远.', 'star': 3}
{'descr': '什么都好就是隔音不太好', 'star': 5}
{'descr': '酒店的卫生和服务都很不错，性价比很高，就是位置有点偏，不过有地铁，还是比较方便的', 'star': 5}
{'descr': '酒店的位置有点偏，周边环境稍微差点，设施都是统一的还不错，价格我觉得也比较合适，而且虽然他位置偏，但是有地铁，所以还可以。', 'star': 3}
{'descr': 'hao', 'star': 5}
{'descr': '比较好', 'star': 3}
{'descr': '比较好', 'star': 3}
{'descr': '位置很偏那边发展的不是很好,要是做公交车得走1站地,但在长安街沿线上去天安门不是很远,酒店里面还可以,卫生服务都不错.', 'star': 3}
{'descr': '适合自驾，不是很好找但性价比还行', 'star': 5}
{'descr': '酒店的环境硬件设施都还好，价格合理适中。卫生服务也很达标，位置稍微有些偏，整体来讲还是比较不错的酒店值得推荐入住。', 'star': 3}
{'descr': '酒店的环境硬件设施都还好，位置出行交通方便，价格合理适中，卫生服务也很好，值得推荐入住。', 'star': 3}
{'descr': '酒店各方面服务还算可以.不过位置不太方便出行.稍有一些远.卫生和设施条件还是很好的.', 'star': 3}
{'descr': '酒店就是出行不太方便,离车站挺远的,住宿条件也蛮一般的,而且离市区也比较远.', 'star': 3}
{'descr': '这家酒店真的很不错，比起之前住的酒店都要强，房间配置都很合理，也很干净，就是位置有点偏，不过很好找，离地铁站很近。选择这家很实惠。', 'star': 5}
{'descr': '原本以为位置有点偏，但是坐地铁一号线很方便的，而且很安静，房间也大，洗澡间更大。舒服。', 'star': 3}
{'descr': '原本以为位置不太好，可是坐一号地铁去天安门很方便，价格也合理，很安静。房间也够大。不错', 'star': 5}
{'descr': '酒店总体来说还可以，就是位置太偏啦，不好找而且吃饭相当不方便', 'star': 5}
{'descr': '服务态度很好，价格也还合理，就是房间比较小', 'star': 3}
{'descr': '被褥要勤换一下，住了几天我的身上都长疙瘩了，跟酒店说了一下酒店也没有回应我。', 'star': 3}
{'descr': '酒店的环境硬件设施比较一般，卫生服务只能说达标，价格比较优惠，不值得主动推荐入住。', 'star': 3}
{'descr': '酒店的环境硬件设施比较一般，卫生服务只能说达标，价格比较优惠，不值得主动推荐入住。', 'star': 3}
{'descr': '酒店的环境硬件设施都比较一般，卫生服务也算是比较达标的，价格比较优惠，位置出行交通还是比较方便的，不适合主动推荐入住。', 'star': 3}
{'descr': '这家酒店的位置比较偏僻，但交通相当方便，离地铁1号线古城站只有1站距离，卫生状况不错，服务也令人满意，价格是同类酒店中比较实惠和性价比较高的，如果出差或旅游不用很赶时间，住在这里是比较合适的。而且前往八大处和香山植物园等比较方便，有直达车。', 'star': 5}
{'descr': '环境一般，设施有点陈旧', 'star': 3}
{'descr': '设施有点陈旧', 'star': 3}
{'descr': '其他都还好，就是室内显得有点破旧', 'star': 5}
{'descr': '这个酒店感觉很温馨，卫生也不错，但前台值班人太少，办理登记的时候有点慢，地理位置有点偏，但价格比较便宜，下次还会去住。', 'star': 5}
{'descr': '整体来讲还是一家很不错的酒店,网速很快很方便,卫生和服务也是很不错的,就是酒店的位置有点偏,不太好找.', 'star': 3}
{'descr': '很不错的一家经济型酒店，卫生情况比较令人安心，设施很新，服务态度也很好，在我住过的同类酒店当中算是很不错的', 'star': 3}
{'descr': '很不错的一家经济型酒店，卫生情况比较令人安心，设施很新，服务态度也很好，在我住过的同类酒店当中算是很不错的', 'star': 3}
{'descr': '很不错的一家经济酒店，环境设施和服务在我住过的同类酒店当中算是很不错的。可能是因为距城区较远，价格一直还算低廉并且稳定，性价比比较高', 'star': 5}
{'descr': '这个酒店的硬件条件，软件服务，都非常不错，而且位置也挺好的，比较方便价格也挺实惠的。', 'star': 3}
{'descr': '我非常喜欢这家酒店,住着非常舒适,价格也是很合理的,卫生服务也非常好,下次来还会选择这家酒店.', 'star': 3}
{'descr': '我非常喜欢这家酒店,住着非常舒适,价格也是很合理的,卫生服务也非常好,下次来还会选择这家酒店.', 'star': 3}
{'descr': '酒店的条件还可以，很干净，服务也很不错，里面的硬件设施也不错，我是去八大处顺便就住那方便，所以感觉还不错。', 'star': 3}
{'descr': '既然是订好的酒店，就必须要有，去了说没有算什么，下次还能去你那吗。诚信问题', 'star': 1}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不方便的，酒店的价格有点高了。', 'star': 5}
{'descr': '酒店的整体还可以的，服务卫生以及设施都很好的，酒店的位置以及交通都很方便的，有地铁公交的，价格还可以的酒店', 'star': 5}
{'descr': '服务热情，礼貌规范。', 'star': 5}
{'descr': '卫生真的很一般啊，卫生间里的马桶都没有打扫，很郁闷，不过只住一晚，不讲究那么多了！', 'star': 1}
