{'短评内容': '嗯呢', '短评打分': 5}
{'短评内容': '1前台接待领班态度生硬；2房间内吹风机、浴衣等东西都省掉了；3冰箱里没放任何食物，客人需要购买时不方便。总结：不会再住。', '短评打分': 1}
{'短评内容': '不错，干净', '短评打分': 5}
{'短评内容': '酒店有点老。', '短评打分': 1}
{'短评内容': '地點方便, 價格合理.', '短评打分': 5}
{'短评内容': '临近美术学院.地铁站.及机场快线,很方便.楼下食肆众多,是不错的选择.', '短评打分': 3}
{'短评内容': '弄不懂房间到现在还有个电视柜的?广州特色?大堂还是很华丽的,就是一进房间就觉得特别恶心!全国都走遍了,从性价比方面这是最差的一个酒店!灯光昏暗,办公桌特别小,行李架和如家酒店一样的混蛋.最可恶的是电视机藏在电视柜里,怕我们这些乡巴佬弄坏了?', '短评打分': 1}
{'短评内容': '感觉性价比一般，还OK啦', '短评打分': 3}
{'短评内容': '酒店地理位置还不错，服务也还不错，不过感觉舒适度不够好！', '短评打分': 5}
{'短评内容': '每次出差都住这里，服务不错。附近吃饭也很方便', '短评打分': 5}
{'短评内容': '不错的酒店，服务也好。下次会继续入住。', '短评打分': 5}
{'短评内容': '总体感觉还不错，交通很方便，从机场到酒店再到机场都是极为便利的！我之前也在这个酒店住过，现在好像比以前稍微的差一些，可能是因为天气潮湿所以楼道和房间里有一种怪味道，最好可以改进！谢谢！', '短评打分': 5}
{'短评内容': '机场大巴可以直接到，很方便！', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '环境不错，交通方便，设施也齐全，所以每天出差到广州都住。', '短评打分': 5}
{'短评内容': '交通出行比较方便。机场、火车站都有直达车或地铁。房间卫生比较好。但隔音效果不是很好。', '短评打分': 5}
{'短评内容': '交通很方便，环境也不错。下次还会再住', '短评打分': 3}
{'短评内容': '很舒服，干净。物有所值', '短评打分': 5}
{'短评内容': '不错，环境很好，交通也很便利，服务态度也很不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，不过打的不好打', '短评打分': 3}
{'短评内容': '在海珠区，离高架不远，出行较方便；到机场也可以直接坐机场大巴3线，位置不错。', '短评打分': 5}
{'短评内容': '卫生及服务相当好，可能是春节的缘故，接待也相当热情，有家的感觉。周围地处闹市，购物、吃放很方便。唯一缺陷：入住期间比较阴冷，热空调不足，再加上房间的窗户不能打开，通风不是很好。', '短评打分': 5}
{'短评内容': '早餐不错，地理位置还不错，只是还在修地铁，交通有点堵', '短评打分': 3}
{'短评内容': '26楼，环境不错，不过价格稍微贵了一点\r\n交通还比较方便', '短评打分': 5}
{'短评内容': '卫生，方便，周到。', '短评打分': 3}
{'短评内容': '方便，周到', '短评打分': 5}
{'短评内容': '前台服务可以,酒店位置也不错, 就是房间设施相对差了些.', '短评打分': 5}
{'短评内容': '價位合理，舒適度佳，可惜電視台少了些~~', '短评打分': 3}
{'短评内容': '考量住宿的原因在於離出差地點近，尤其是廣州的taxi好難叫，真打不到的，走路到地鐵站約10分鐘，還可以接受。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '周边交通方便，走上15分钟有地铁；酒店外有喝早茶的地方，麦当劳，茶餐厅出酒店就是；超市就在边上50米，银行附近也有。酒店内环境安静，入住的基本上都是做商务的，很少有旅行团。所以适合商务出差。其它城市也有这个酒店，所以我总是选择珀丽。', '短评打分': 5}
{'短评内容': '前台的服务感觉不好！', '短评打分': 1}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '卫生不错，性价比高，早餐人太多，食品补充欠及时', '短评打分': 5}
{'短评内容': '设施旧', '短评打分': 5}
{'短评内容': '酒店位置不错, 服务也可以,就是房间设施相对差了些. 不过商务住住一两天也能接收.', '短评打分': 5}
{'短评内容': '酒店很陈旧了,房间应该重新翻新一下,感觉有些异味.\r\n\r\n位置还不错,周边也有餐饮.', '短评打分': 1}
{'短评内容': 'A comfortable hotel with reasonable price but the services are just so so and a little bite far from railway stations', '短评打分': 5}
{'短评内容': '还行.因为有客户就住在边上,方便.', '短评打分': 1}
{'短评内容': '酒店设施和位置都不错，早餐有点简单', '短评打分': 5}
{'短评内容': '位置不错，就是打的不好打', '短评打分': 3}
{'短评内容': '酒店位置环境不错，就是不好打的', '短评打分': 5}
{'短评内容': '虽然酒店比较老了，但是总体还不错。个人认为有两点不方便：电视机是摆放在柜子里的，要看电视要把柜门打开，但是两扇柜门打开后看着很不舒服，过道走路也不方便了。再一点，我给手机充电，竟然找不到两相插头，都是三相的。', '短评打分': 3}
{'短评内容': '虽然酒店比较老了，但是总体还不错。个人认为有两点不方便：电视机是摆放在柜子里的，要看电视要把柜门打开，但是两扇柜门打开后看着很不舒服，过道走路也不方便了。再一点，我给手机充电，竟然找不到两相插头，都是三相的。', '短评打分': 5}
{'短评内容': '地点好，地标性位置，视野好，交通方便，推荐', '短评打分': 5}
{'短评内容': '我住的是400多的房型，环境和卫生服务都可以，打车时主动问您帮您从马路上找车！值得推荐', '短评打分': 5}
{'短评内容': '位置挺好,卫生可以,ok', '短评打分': 5}
{'短评内容': '酒店不错，早餐稍微简单了一点。', '短评打分': 3}
{'短评内容': '酒店的服务还不错.每次到广州都住这家酒店,不过酒店是比较老了,设施条件就比较一般.窗户不能通风如果在高层室内可能会比较闷一些.不过位置很好,上次很方便出行.', '短评打分': 3}
{'短评内容': '酒店地理位置不错，自助早餐的选择稍微少了点', '短评打分': 5}
{'短评内容': '我定的是行政房，结果Check in的时候，因为我要大床房，酒店帮我升到700块一晚的珀丽楼层，非常好。早餐吃的东西比较少，只能马马虎虎吃一下，比没有总归好。', '短评打分': 5}
{'短评内容': '我订的是行政房却不在行政房楼层，房间只能算是三星标准间．让人很失望．', '短评打分': 1}
{'短评内容': '另外，斜对面有到机场的大巴，进出都比较方便，对面还有广医附二院。', '短评打分': 3}
{'短评内容': '靠近江南商业街，还不错', '短评打分': 3}
{'短评内容': '酒店很不错，特别是位置很不错，原来一直在越秀住，这次海珠区的感觉也不错。靠近江南商业区，夜里小吃还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施不错，服务要跟上。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间装修不错', '短评打分': 5}
{'短评内容': '房间被升级到行政间，还是比较小。设施比较旧。位置不错，出去吃东西也很多选择', '短评打分': 5}
