{'短评内容': '京东订酒店速度很快，很好，很喜欢，不错，下次还要用京东定', '短评打分': 5}
{'短评内容': '十一期间入住的该酒店,应该说总体还是不错的.我住的是精致套房和丽家套房B,房间很大很舒服.精致套房是一间大房间,中间用落地玻璃做的隔断,分开卧室和客厅,丽家套房B都是北面的房间,有书房,客厅卧室三个房间,而且卧室超大,很舒服,卫生间也是明卫,整个一面大落地窗,洗澡还能看风景.但是大堂真的是很乱,也很寒酸,绝对没有五星的风范,如果只讲住的话,还是值得一住的.', '短评打分': 3}
{'短评内容': '上午接到酒店人員的來電與簡訊,代表酒店總經理與員工誠摯的歉意!並希望當面向我致歉,不過我現在已經回台北了,只有婉謝他們的好意!看來酒店管理階層還挺重視客戶在網上的意見!不錯!值得鼓勵!&lt;br /&gt;\n也真心希望他們能針對敝人所提出的缺點做改進,畢竟標榜五星級酒店的招牌,不應只是徒具有金碧輝煌的硬體建設,溫馨體貼符合人性化的服務才是重點!&lt;br /&gt;\n蘇寧雖受交通環境與一般辦公', '短评打分': 3}
{'短评内容': '剛結束1週的南京假期,這一週來我們全家入住麗家套房A ,房間內部的陳設與裝潢挺溫馨也很明亮的,極為乾淨與舒適,很適合像我們這樣2個大人與2個小孩的家庭入住,但就只有這項硬體的優點了,出了房門就處處不對勁了&lt;br /&gt;\n這間酒店是與其他寫字樓,公司行號共用電梯雖然有規劃2部電梯標明是酒店房客專用,但是每逢上下班期間總是不少上班族佔用專用電梯先搭上22樓的酒店樓層,再走安全梯到21,20樓', '短评打分': 3}
{'短评内容': '餐饮后评&lt;br /&gt;\n早餐: 3星水平&lt;br /&gt;\n晚餐: 不错&lt;br /&gt;\n送餐: 有给人家讨了便宜的感觉. 菜牌写道: 新如坡炒米粉配虾仁、肉丝、鸡蛋、蔬菜。 送到房间发现: 虾仁没有了、肉丝没有了、鸡蛋只有一条。 没错, 是一条! 是送餐的偷吃了吗? 连15%服务费还敢收三十多元!!!&lt;br /&gt;\n另餐厅内较高级的亚姐会非常高调及高声教育其下属', '短评打分': 3}
{'短评内容': '这次来南京探望朋友之所以选了这家酒店是我南京的朋友告诉我酒店在国庆期间推出了特价房，虽然698元一天的房间听起来有点贵但连续住2晚第3晚就可以免费，我的行程正好3天。这样每天房费就3百多一天而且含了双早不用再额外支付68元的早餐费了。酒店的房间是我喜欢的格调，而且房间的免费宽带上网也为我的工作提供了很大的便利。南京这两天的天气也不错，总体感觉此酒店还是值得感受的。', '短评打分': 3}
{'短评内容': '每次来,都是别人为我订的房这次房间的卫生不如我7月来住时好,打扫也不太及时总台先生服务不够热情,好象技术不够熟练,入住速度太慢.而且笑容很少.商务中心的设施太简陋,真不知道酒店总经理怎么想的,堂堂5星级酒店布置成这样&lt;br /&gt;\n餐厅食物总的来不错,但是上菜的速度慢了一点&lt;br /&gt;\n每次来等电梯的时间太长,还有餐厅员工和客人一起乘,大厅杂人太多总让人扫兴&lt;br /&', '短评打分': 3}
{'短评内容': '刚开始不知酒店电梯和写字楼电梯队是分开使用。房间够大，床也够大并且套间不是用蠢蠢的白墙而是玻璃和窗帘挺温馨！唯一遗憾没配电脑。', '短评打分': 3}
{'短评内容': '就硬件来说，这真是南京性价比最好的五星级酒店,值得去住住。客房服务非常周到，比南京其他酒店强多了，我女儿不慎多次弄湿被褥，服务员一天来更换了3次，每次都非常热情，下次有机会我还会去。可惜的是游泳池和健身房的会员太多，住店客人没有什么机会使用这些设施，而且那里的服务员也不太热情，好像他们对会员比住店客人热情，是不是因为住店客人是免费使用这些设施？', '短评打分': 3}
{'短评内容': '我到是觉得总机小姐的服务还不错，她们还提前预报天气，对我们出门在外的人来说很方便！', '短评打分': 3}
{'短评内容': 'Jason先生：&lt;br /&gt;\n&lt;br /&gt;\n看到您的评论，我们非常重视。&lt;br /&gt;\n&lt;br /&gt;\n因为事隔较久，且您没有留下联系方式，请您在方便时候和饭店联系以便我们进一步了解情况。&lt;br /&gt;\n&lt;br /&gt;\n联系电话：25-83232888转市场营销部&lt;br /&gt;\n&lt;br /&gt;\n再次感谢您的关注和批', '短评打分': 3}
{'短评内容': '另：酒店总机一般好像不问找谁，只要报上房间号就能转过来。客人私密性得不到保障，容易被打扰。', '短评打分': 3}
{'短评内容': '六月八号又一次入住了环球......可能由于是和写字楼共用一个大堂，礼宾员看见我进门丝毫没有反应，没有帮助开门，可能我不像住店的。登记时前台毫不犹豫的给了我一个朝北的精致，但我下午预约确认明明是朝南的房间。问了一下下午茶的时间，前台说到六点，四点多跑过去却看见服务员在收盘子。晚上要冰块，服务员进来找了一圈也没有发现冰桶，还问我厨房在哪？说是一般在那。只好很不好意思的告诉他，我这种房型没有厨房。最后', '短评打分': 3}
{'短评内容': '总体还行！', '短评打分': 3}
{'短评内容': 'XiaoFeng先生：&lt;br /&gt;\n&lt;br /&gt;\n饭店管理层看到您的投诉之后，非常重视。对您此次在居住期间所遇到的不愉快和投诉中提到的一些问题，向您表示歉意。因无法获得您的联络方式，所以一直无法跟您取得联系致歉。&lt;br /&gt;\n&lt;br /&gt;\n请您在方便时候与我们联系，以便我们在将来更好的为您提供服务。&lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '这是一家5星级酒店，但22楼以下为写字楼，大堂是一个，中午入住时，无数各公司员工从电梯蜂拥而出，混乱不堪.酒店的设施很好，可惜服务太差。楼城没有取冰设备，要冰电话后，40分钟才有人来，而且是拿了一个巨大的铁盒子让我自取，哭笑不得。估计不是酒店管理集团的原因，员工完全没有星级酒店的服务经验。早上6点/7点，有人按门铃。开门却无人。上午8点有电话，却是找楼下公司的，8点半开始有人施工，通告说，周末决不', '短评打分': 3}
{'短评内容': '我住过好几次,感觉很好,交通也方便.', '短评打分': 5}
{'短评内容': '偶尔住了一次它们的总统套近七百个平方住了六个朋友，房费才近二万挺值的。', '短评打分': 3}
{'短评内容': '不错！挺好的！值得我们学习！', '短评打分': 3}
{'短评内容': '我对饭店感觉好质朴中感受至尊', '短评打分': 3}
{'短评内容': '十一和我女友在这住了一宿,感觉非常好.特别温馨.装修的不错,服务也很好.下次到宁,它是首选酒店.', '短评打分': 3}
{'短评内容': '有的人认为这是一家品味高层次高消费猛的饭店其实上海广州北京的商务客人特喜欢这类酒店安静/现代//交通便捷//有钱的客人很喜欢这类私人会馆性质的饭店', '短评打分': 3}
{'短评内容': '一个很有贵族气息\\欧洲皇家风范的现代商务饭店!', '短评打分': 3}
{'短评内容': '做为五星级酒店，早餐质量实在不如三星级酒店。另外服务生在酒店走廊里与客人迎面而过竟连招呼都不打，实在达不到五星标准。', '短评打分': 3}
