{'短评内容': '居然无故取消我订单 如果没房就不要挂出来', '短评打分': 5}
{'短评内容': '请问：是否有独立卫生间，是否有机场接送服务？&lt;br /&gt;\n', '短评打分': 5}
{'短评内容': '这是我住过的三星级中性价比最合适的一个大酒店，并且提供“特服”，印象特别深刻，房间好极了。', '短评打分': 5}
{'短评内容': '单人间太小了而且没有空调太热太冷的时候入住不是很方便，并且不含早餐。但是比较干净还好，比较适合春秋季节入住。', '短评打分': 3}
{'短评内容': '你好，我想请问一下，我可以和我男朋友住一间房吗？需要什么样的手续？', '短评打分': 3}
{'短评内容': '请速回woshininger_1981@sohu.com', '短评打分': 3}
{'短评内容': '请问国庆期间的单人间的价格，请2天内速回~谢谢 graceberlin1231@hotmail.com', '短评打分': 3}
{'短评内容': '押金多少？', '短评打分': 3}
{'短评内容': '我想问一下这家酒店的标准房浴室如何，是否24小时热水，是否宽敞！另外，标准房的床是多大的？？紧急，如有人知道，麻烦你留言给我！谢谢！', '短评打分': 3}
{'短评内容': 'The room is ok, but the location is too remote, so taxi driver may not where it is.&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': 'good', '短评打分': 3}
