{'短评内容': '房间小，洗澡不方便', '短评打分': 5}
{'短评内容': '房间太小，洗手间没有下水地漏，洗脸盆的水一旦溢出满地流，就是不往卫生间的地漏流。', '短评打分': 5}
{'短评内容': '性价比还是不错的。', '短评打分': 5}
{'短评内容': '住的是顶楼的大床房，房间设施一般，但是很干净。房间的环境很好，就是窗子很小，毕竟是特价房，总体上说很好。值得一去。不过位置一般，找了一阵才找到。', '短评打分': 5}
{'短评内容': '这家酒店位置不是很明显，出租车司机也不知道在哪，其实酒店周边环境不错，交通挺便利的，就是自己的招牌没有设施明显点，所以很难找，一进去感觉房间面积好小啊，尤其是卫生间，感觉放个马桶也就没什么地方了，房间里的卫生打扫的还比较干净，设施方面一般了，整体感觉住的不是很舒适。', '短评打分': 1}
{'短评内容': '房间太小，安全、卫生、服务等都还可以，在这个价位上算是不错了。', '短评打分': 5}
{'短评内容': '标间房间不大，但还算干净', '短评打分': 5}
{'短评内容': '入住的特价单人房，房间不算小，两个人都够住了。只是仿木的地板有一块翻卷起来了，开合浴室的门很不方便。酒店提供的拖鞋有点滑，走在浴室容易摔跤。床很软，想不到这样的特价单人房竟然还有窗户，真是惊喜。住了3天，房间打扫的很及时，洗漱用具添置的也很贴心。总之，满意。', '短评打分': 5}
{'短评内容': '位置还可以！交通不错！卫生一般！', '短评打分': 5}
{'短评内容': '细致周到。性价比高，推荐。', '短评打分': 5}
{'短评内容': '还是很方便的  感觉都是一般  ', '短评打分': 5}
{'短评内容': '还可以，不过大床房真的有点不好。在最顶层，几乎算是没有窗。而且房间里一块大斜板，空气不好！', '短评打分': 1}
{'短评内容': '感觉还行，就是厕所有点味道', '短评打分': 5}
{'短评内容': '很不错~~', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '还不错~就是地方稍微难找了点~', '短评打分': 5}
{'短评内容': '还是那句话，来过很多次了，就是这里性价比最高。', '短评打分': 5}
{'短评内容': '房间有点小，但是很干净，服务也周到，还是不错！', '短评打分': 5}
{'短评内容': '地点不错，打车到地铁也就１０块钱', '短评打分': 3}
{'短评内容': '不错，房间还可以', '短评打分': 5}
{'短评内容': '地方不好找', '短评打分': 3}
{'短评内容': '位置不好找，到了门口才看到门牌了呢\r\n', '短评打分': 1}
{'短评内容': '房间还不错蛮干净的，而且宾馆有送饭服务也是很不错的。盖饭跟外面餐馆德价格差不多', '短评打分': 5}
{'短评内容': '地点不是很好找，其他都还可以的，旁边购物和交通业还可以，也有同一首歌\r\n关键是晚上比较安静，没有骚扰电话。里面干湿分离的布局比较居家。看着比较舒服', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间挺干净，就是位置比较偏，找了好久', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错啦，朋友住的，觉得房间小一点，但是毕竟这个价位应该满足了', '短评打分': 3}
{'短评内容': '房间虽然小了点，但是比较干净啦，主要是地理位置好，还不错，以后应该还会入住！！', '短评打分': 3}
{'短评内容': '我觉得除了房间有点小外，别的还不错，挺方便的，价格也实惠', '短评打分': 3}
{'短评内容': '隔音差点，另外交通还可以，门口有购物中心，走路去西直门地铁也就15分钟', '短评打分': 5}
{'短评内容': '地理位置很好 旁边的枫蓝国际挺实惠！就是隔音不太好', '短评打分': 5}
{'短评内容': '酒店非常满意，下次一定再来．', '短评打分': 5}
{'短评内容': '酒店的位置不太好找,在一个小胡同里,酒店的内部环境还是可以的,房间打扫的还是蛮干净的,服务也还可以.价格方面整体感觉还比较合适的.', '短评打分': 3}
{'短评内容': '地理优势相当明显 公交很多到那里 旁边的枫蓝国际购物折扣还是很不错滴', '短评打分': 5}
{'短评内容': '单人房质量也太差了,特别是浴室小不说,洗漱的用品也很粗糙,住的房间太小了,一张床一个过道,是在...168的价格也不见得有多实惠,我觉得另可多加十来块钱去住打折的锦江之星,找宾馆打车都花了几十...多的都去了~~反正不是很实惠啦~', '短评打分': 1}
{'短评内容': '标准间不错，房间适中，很简洁，设施有质感，卫生环境都不错，出行也较方便，下次去还会去住的。', '短评打分': 3}
{'短评内容': '酒店内的设施还是不错，感觉挺温馨的，而且绝对安静，价钱相对不贵，总之一句话性价比不错。提两点意见：酒店前院内好像还在施工，挺杂乱的；特价房太小了。', '短评打分': 5}
{'短评内容': '比较干净，经济实惠，位置在西直门那里，交通很便利', '短评打分': 3}
{'短评内容': '房间偏小', '短评打分': 5}
{'短评内容': '卫生很好，性价比不错', '短评打分': 5}
{'短评内容': '房间有点小，感觉有点压抑', '短评打分': 5}
{'短评内容': '比较物美价廉的选择，房间比较整洁干净，周边饭馆商场电影院等设施都很齐全', '短评打分': 5}
{'短评内容': '我是去北邮考试的,位置很方便,住的单人间,面积有点小,感觉布局也不太合理,只有一张桌子,上面还放了电视,而且住的是1层,窗户外面是饭店,半夜还有人在整理垃圾,因为当时还没睡,所以听到声音,感觉不太安全,不过房间里面还算干净,主要是价格很便宜.', '短评打分': 3}
{'短评内容': '房间的设施和卫生都挺不错的,酒店的位置也挺好找的出行挺方便的,服务态度一般,性价比还是比较好的,总体还是比较满意的.', '短评打分': 3}
{'短评内容': '感觉很安静很温馨很舒适，有点公寓的感觉。尤其是有一个小隔间摆有小书桌，用手提电脑上网很方便，还可以看书，推荐需要去附近学校考试的朋友住。', '短评打分': 5}
{'短评内容': '很不错，又去住了一次，有家的感觉。', '短评打分': 3}
{'短评内容': '周边交通比较便利，吃饭逛街也挺方便，酒店服务态度不错，卫生也挺好的。虽然房间小了点，还是很舒服滴~~', '短评打分': 5}
{'短评内容': '还不错了，位置不是很难找，路上有路标指示。卫生还可以，房间里灯光不错，设备也可以，总之还是不错的。', '短评打分': 5}
{'短评内容': '挺不错的酒店,设施和卫生都挺好的,价格也还算比较适中,比较满意这家酒店的.', '短评打分': 3}
{'短评内容': '设施比较旧，给我的单人房居然没有窗户。\r\n服务比较热情，退房速度还比较快。', '短评打分': 1}
{'短评内容': '单人间很小，就一个桌子上还放了个超大的电视，东西都没地方放，只能放床上，买了吃的还得在床上吃。\r\n周边还是很方便的，有超市，商场，离北邮挺近。', '短评打分': 1}
{'短评内容': '楼上很不厚道，酒店是有点难找，但服务和质量都没的说，尤其是性价比非常高，我住的普通单人间，环境非常好。', '短评打分': 5}
{'短评内容': '特价房性价比超级高，比莫泰168便宜（用消费券，提前预定，特价房只要105）不说，而且还在地上有窗，电视、宽带、卫生间一应俱全，地方有点难找但这并不是很大的问题，唯一的遗憾就是洗澡的水小了。提示：这个或许是北京2环附近性价比最高的酒店了，实在是旅游、学生家长暂住（在北师大、北邮等旁边）、周末情侣小聚等的极佳选择，不过你需要提前很久规划好哦，特价房很难订上的。', '短评打分': 5}
{'短评内容': '房间小点，不过很安静，总体可以的', '短评打分': 5}
{'短评内容': '比较实惠，住的房间也不错，就是比较难找。', '短评打分': 5}
{'短评内容': '昨天刚住过的,真是很不错的酒店!很干净设施也很新很新~木制家具很可爱^^~普通大床房是阁楼式的很有意思~', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '位置还可以，步行到西直门大街2分钟，步行到二号线积水潭站20分钟。房间不怎么大，不过很干净，比较郁闷的就是有些单人间没有窗户，只有排气扇透气。有宽带，很方便，价格不算贵。', '短评打分': 5}
{'短评内容': '单人间很小,卫生服务还不错比较安静,设施很齐全,位置靠近办事地点很方便.', '短评打分': 5}
{'短评内容': '酒店规模有点小,不太好找,房间里面条件还不错,住着挺舒服的,物有所值', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 5}
{'短评内容': '还好,没什么意见,住着还算比较舒适.', '短评打分': 5}
{'短评内容': '酒店太不好找了，我找了一个多小时才找到，房间小了点，隔音有点差，其他的还行。', '短评打分': 5}
{'短评内容': '价格便宜,里面环境也不错,只是酒店位置有些靠里,不怎么好找.', '短评打分': 5}
{'短评内容': '酒店的价格在北京还是非常优惠的，而且地理位置也便利，整体挺满意的', '短评打分': 5}
{'短评内容': '总体来说还可以了.', '短评打分': 5}
{'短评内容': '酒店还是比较一般的，毕竟属于快捷酒店，他的服务配套设施都还可以，房间比较干净，位置也算是不错，虽然门前马路比较窄，不过除了小路一拐弯就是大马路很方便。', '短评打分': 5}
{'短评内容': '人员服务态度很好,房间也很干净,就是价格贵了点', '短评打分': 5}
{'短评内容': '挺不错的，设施很新!', '短评打分': 5}
{'短评内容': '很个性的酒店', '短评打分': 5}
{'短评内容': '酒店属于经济型酒店，我觉得在环境服务比较一般，不是很舒服，不过价格便宜，而且交通很方便。', '短评打分': 5}
{'短评内容': '床有些不稳,床垫有些硬,其他方面都还挺好的,价格蛮实惠的,而且也比较干净,但是酒店没有钟房点', '短评打分': 5}
{'短评内容': '酒店卫生不错。服务等总体印象好。', '短评打分': 3}
{'短评内容': '服务级差,前台服务员一个类似地主婆的及其蛮横,开地下室旅馆的挂个牌就想搞连锁,嘿,世道变了', '短评打分': 3}
{'短评内容': '前台服务员态度恶劣,本来住十天只住三天只好改别的酒店', '短评打分': 1}
{'短评内容': '我感觉各方面都不错，服务也很周到', '短评打分': 5}
{'短评内容': '我住的是单人间，房间小了点，不过房间里的设施很先进，服务也不错，干净又，就是酒店有点难找。', '短评打分': 5}
{'短评内容': '性价比高，周围环境也不错。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 3}
{'短评内容': '鍓嶅巺渚犲皬锛岃溅绁ㄨ\ue179璐\ue15d笉鑳藉綋鏃跺彇锛屼笉鏂逛究銆傚叾浠栬繕鍙\ue219互銆?,3/18/2008 1:19:00 AM\r\nbtv.12345@yahoo.com.cn&quot;', '短评打分': 5}
