{'短评内容': '前台服务热情 徐汇 王亚南服务好 还赠送了早餐 感谢', '短评打分': 5}
{'短评内容': '服务卫生方面还不错，设施也蛮齐全的，位置一般了，出行不是很方便，价格方面整体感觉还可以。', '短评打分': 5}
{'短评内容': '房间太闷不透气，空调温度也打不低，到一定温度就自动关掉了，晚上睡的很不舒适。', '短评打分': 1}
{'短评内容': '2楼餐厅服务员的态度很差', '短评打分': 5}
{'短评内容': '如果去黄岛出差的话，这家酒店是非常不错的酒店。很满意，谢谢你们提供这么好的酒店', '短评打分': 5}
{'短评内容': '总体来说，该酒店相当不错，无论是硬件、还是软件均属中上层次。我将推荐给我所有去青岛市黄岛区的朋友。但有些地方还需完善，就我住过的1921房来说，1）脸盆热水太小；2）淋浴房下水太慢；3）书桌台灯灯柱太松，不能随意调整高度，等等这些请酒店适时予以改进。', '短评打分': 3}
{'短评内容': '酒店的服务非常好，前台接待小姐的服务态度、待客礼仪、操作业务均令人满意，酒店设施还需完善（淋浴房下水较满）、早餐还需丰富（增加些具有山东特色的面点）。', '短评打分': 5}
{'短评内容': '新的酒店，值得推荐。但空调的设定温度需要改进，3月份入住，空调温度仅能达到24度就上不去了，可能是为了省电吧，建议天冷时能达到26度。', '短评打分': 5}
{'短评内容': '比较舒适，比较新的酒店，性价比还不错！', '短评打分': 3}
{'短评内容': '在黄岛，除了蓝海以外，估计是最好的酒店了！', '短评打分': 3}
{'短评内容': '很不错的酒店 ！', '短评打分': 5}
{'短评内容': '新的酒店，设施配置不错。尤其是寝具方面很不错，还附有pillow  menu。。。。。。在开发区酒店中属性价比最高的了。', '短评打分': 5}
{'短评内容': '第一次入住这家酒店，印象非常不错，忍不住想多赞美几句。车到酒店，礼宾员会主动帮你开车门、拿行李，办理入住手续的时候有点儿不顺利，但服务人员态度很好，并没引起太多不快。商务单人间房间面积略有点小，因为房间布局的限制，在办公桌前办公的时候不能看电视，在床上可以看电视但不能上网，对于我这种喜欢一心二用人有点儿不方便。无论在宾馆的什么地方，无论碰到礼宾员，客房或餐厅服务员，还是保洁员，都会主动和你打招呼，', '短评打分': 3}
{'短评内容': '不错的酒店，因为开业时间不长，设施都比较新。', '短评打分': 5}
{'短评内容': '感觉不错！', '短评打分': 5}
